"Rs. million","","","","",""
"Item
2017
2018
2019 (a)
2020 (a)(b)","","","","",""
"10,382,832
12,030,548
13,031,543
Total Government Debt
5,664,215
6,071,001
6,830,260
Domestic Debt (c)
By Maturity Period
Short Term 
1,031,181
1,134,553
1,270,374
Medium and Long Term
4,633,033
4,936,447
5,559,887
By Institution (d)
Bank 
2,361,254
2,321,802
2,888,451
Non Bank
3,302,961
3,749,199
3,941,809
4,718,618
5,959,547
6,201,283
Foreign Debt 
By Type
Concessional Loans
2,130,482
2,705,836
2,767,459
Non Concessional Loans
2,588,135
3,253,711
3,433,824
Multilateral 
243,581
58,586
112,943
Bilateral 
316,626
209,970
198,733
Commercial
2,027,928
2,985,156
3,122,148
International Sovereign Bonds
Foreign Currency Term Financing Facilities
27,552
11,909
23,727
Non Resident  Investment in Treasury Bills
295,059
146,914
80,294
Non Resident Investment in Treasury Bonds
Other
13,215
275,747
432,159
By Currency
SDR
829,537
954,761
927,372
US Dollars
2,650,431
3,781,626
4,076,588
Japanese Yen
516,218
622,852
624,956
Euro
208,075
225,831
228,713
Other
514,356
374,477
343,653","1,475,049
2,220,411","","","15,117,247
9,065,068
2,197,594
6,867,473
4,735,738
4,329,330
6,052,179
2,988,113
3,064,066
156,252
184,051
2,723,763",""
"","","","2,343,777","1,796,579",""
"","217,054
330,174","","","",""
"","","","242,191","","279,612"
"","","","","670
6,204
640,698
970,714
3,875,950
664,291
251,406
289,818",""
"Central Government Debt/GDP (e)
77.9
84.2
86.8
101.0","","","","",""
"Memorandum Items
Total Exchange Rate Variation
225,223
1,063,218
12,401
On Foreign Debt  
On Foreign Currency Denominated Domestic Debt","","","","355,663",""
"","211,868","963,181","16,857","","329,895"
"","13,355","100,037","-4,456","",""
"","","","","","25,767"
"","","","","",""
"(a)  As  per  the  guidelines  of  compiling government  debt  statistics  in  the  Manual  of Government Finance Statistics published by the IMF in 2014, 
Sources: Ministry of Finance
Central Bank of Sri Lanka
non resident holdings of outstanding SLDBs have been classified under foreign debt and resident holdings of outstanding ISBs of the Sri Lankan 
Government have been classified under domestic debt.
(b) Provisional    
(c)    Includes Treasury bonds of Rs. 13,125 million  issued to capitalise SriLankan Airlines in March 2013 (matured on 01 June 2018) and Rs. 78,441 million 
issued to CPC in January 2012 (of which Rs. 21,778 million matured on 01 January 2017 and the current outstanding is Rs. 56,662 million)
(d) The composition of domestic debt held by the banking and non banking sectors was revised from 2017 due to the adjustment for holdings of 
SLDBs by businesses and individuals  
(e) For 2018 and 2019, revised GDP estimates were used, as released by the Department of Census and Statistics on 16 March 2021.","","","","",""
