"Date","Item","","","","","","","","","","","","Revision","","","","","","","","",""
"27.10.2020","Fish  (fresh,  chilled  or  frozen),  dried  fish  and  Maldive 
Fish","","","","","","","","","","","","SCL was increased for a period of 
six months (Extraordinary Gazette 
Notification No. 2199/1).","","","","","","","","",""
"","Sprats,  Green  Gram  (Moong),  Mangoesteens  (fresh 
and dried) and Kiwifruit","","","","","","","","","","","","Imposition 
of 
SCL 
was 
extended 
for  a  period  of 
six 
months 
(Extraordinary  Gazette 
Notification No. 2199/1).","","","","","","","","",""
"18.11.2020","Canned Fish","","","","","","","","","","","","SCL 
was 
increased 
to  
Rs.  100  per  kg  from  25  cents 
per 
kg 
months 
(Extraordinary  Gazette 
Notification No. 2202/4).","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","for 
a","","","period 
of 
six","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"22.11.2020","Yoghurt,  Red  Onions,  Garlic,  Peas  (whole  and  split), 
Chickpeas  (whole  and  split),  Dates  (fresh  and  dried), 
Oranges  (fresh  and  dried),  Lemons  (fresh  and  dried), 
Grapes  (fresh  and  dried),  Apples,  Quinces,  Chillies 
(Dried, neither crushed), Chillies (Crushed or ground), 
Seeds of Cumin, Seeds of Fennel, Maize, Ground Nuts 
(shelled), Margarine and Face Masks","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Imposition  of  SCL  was  extended","","","","","","","","",""
"","","","","","","","","","","","","","for 
a 
period 
of 
six  months","","","","","","","","",""
"","","","","","","","","","","","","","(Extraordinary Gazette Notification","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","No. 2202/44).","","","","","","","","",""
"15.12.2020","Potatoes,  Clementines  (fresh  and  dried),  Grapefruit, 
including  pomelos  (fresh  and  dried),  Pears,  Apricots, 
Sour cherries (Prunus cerasus), Cherries (other), Peaches 
(including nectarines), Plums and Sloes, Vegetable fats 
and oils and their fractions and Margarine (other)","","","","","","","","","","","","Imposition 
of 
SCL 
was 
extended 
for  a  period  of 
six 
months 
(Extraordinary  Gazette 
Notification No. 2206/3).","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"16.12.2020","Salt","","","","","","","","","","","","Waived-off 
the  balance  amount 
after  collecting  Rs.  10  per  kg  from 
the  applicable  SCL  of  Rs.  40  per 
kg  on  the  importation  of  Salt,  by 
any pharmaceuticals manufacturing 
enterprises, 
registered 
with 
the 
National 
Medicines 
Regulatory 
Authority (NMRA) for manufacturing 
pharmaceuticals, not for commercial","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","purpose 
(Extraordinary","","","","","","","Gazette",""
"","","","","","","","","","","","","","","Notification No. 2206/10).","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"14.01.2021","B’onions, Red and Yellow Lentils (whole and split), Beet 
and  Cane  Sugar,  Sugar  (containing  added  flavouring 
or  colouring  matter)  and  White  Crystalline  Cane  and 
Beet Sugar","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","Imposition 
of","","","","","","","SCL 
was",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","extended  for  a  period  of  three","","","","","","","",""
"","","","","","","","","","","","","","","months 
(Extraordinary  Gazette","","","","","","","",""
"","","","","","","","","","","","","","","Notification No. 2210/16).","","","","","","","",""
"19.01.2021","Gram Flour","","","","","","","","","","","","","Imposition  of  SCL  was  extended","","","","","","","",""
"","","Grated  or  powdered  cheese,  Seeds  of  coriander, 
Turmeric (neither crushed nor ground and other), Black","","","","","","","","","","","","for 
a 
period 
of","","","","","","","six  months",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","(Extraordinary Gazette Notification","","","","","","","",""
"","","","","","","","","","","","","","","No. 2211/8).","","","","","","","",""
"12.02.2021","Sprats","","","","","","","","","","","","","SCL was increased to Rs. 100 per 
kg from Rs. 1 per kg for a period of 
six months (Extraordinary Gazette 
Notification No. 2214/58).","","","","","","","",""
"","Dried Fish, Potatoes","","","","","","","","","","","","","SCL was decreased for a period of 
six months (Extraordinary Gazette 
Notification No. 2214/58).","","","","","","","",""
"04.03.2021","Mackerel,  Jack  and  Horse  mackerel,  Black  Gram, 
Cowpeas, Millet and Kurakkan","","","","","","","","","","","","","Imposition 
of 
extended 
for  a  period  of  one 
year 
(Extraordinary","","","","","","","SCL 
was 
Gazette",""
"","","","","","","","","","","","","","","Notification No. 2217/23).","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
