"","","","","","","","","",""
"","Date","Item","","","Revision","","","",""
"","27.06.2020","Vegetable oils (except coconut oil), Vegetable fats and 
oils and their fractions and Margarine (other)","","","SCL was decreased for a period of 
six months (Extraordinary Gazette 
Notification 
No. 
2181/23","","","",""
"","","","","","and 
Extraordinary 
Gazette 
Notification No. 2181/24).","","","",""
"","","Coconut oil","","","SCL was increased for a period of 
six months (Extraordinary Gazette 
Notification No. 2181/23).","","","",""
"","11.07.2020","Coconut oil","","","SCL was decreased for a period of 
six months (Extraordinary Gazette 
Notification No. 2183/44).","","","",""
"","19.07.2020","Maldive  Fish,  Grated  or  powdered  cheese,  Seeds  of 
coriander,  Turmeric  (Neither  crushed  nor  ground  and 
other)","","","Imposition 
of 
SCL 
was 
extended 
for  a  period  of 
six 
months 
(Extraordinary  Gazette 
Notification No. 2184/53).","","","",""
"","","Black gram flour","","","SCL 
was 
increased 
to","","","",""
"","","","","","","Rs.  325  per  kg 
from  Rs.  200","","",""
"","","","","","per 
kg 
for 
a 
months 
(Extraordinary  Gazette 
Notification No. 2184/53).","","period 
of 
six","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","01.08.2020","","Sprats, Dried Fish, Green Gram (Moong), Mangoesteens","","Imposition 
of 
SCL 
was 
extended  for  a  period  of  three","","","",""
"","","","","","","","","",""
"","","","(fresh and dried) and Kiwifruit","","months 
(Extraordinary  Gazette 
Notification No. 2186/32).","","","",""
"","","","","","","","","",""
"","","B’onions","","","SCL was increased to Rs. 50 per 
kg from Rs. 15 per kg for a period 
of 
three  months 
(Extraordinary 
Gazette 
Notification 
No. 
2186/32).","","","",""
"","","","","","","","","",""
"","15.08.2020","Potatoes","","","SCL was increased to Rs. 55 per kg 
from Rs. 50 per kg for a period of 
four months (Extraordinary Gazette 
Notification No. 2188/50).","","","",""
"","22.08.2020","Jack and Horse Mackerel","","","Imposition of SCL of Rs. 6 per kg 
was extended for a period of three 
months 
(Extraordinary  Gazette 
Notification No. 2189/39).","","","",""
"","04.09.2020","Fish (fresh, chilled or frozen), Mackerel, Jack and Horse 
mackerel, Black Gram, Cowpeas, Millet and Kurakkan","","","Imposition 
of 
SCL 
was 
extended 
for  a  period  of 
six 
months 
(Extraordinary  Gazette 
Notification No. 2191/26).","","","",""
"","01.10.2020","Butter,  Dairy  Spreads,  Mathe  Seed,  Kurakkan  Flour, 
Mustard Seeds and Salt","","","Imposition 
of 
SCL 
was 
extended 
for  a  period  of  one 
year 
(Extraordinary 
Gazette 
Notification No. 2195/29).","","","",""
"","14.10.2020","B’onions,  Red  and  Yellow  Lentils 
(whole  and  split), 
Canned Fish, Beet and Cane Sugar, Sugar (containing 
added 
flavouring  or  colouring  matter)  and  White 
Crystalline Cane and Beet Sugar","","","SCL  was 
reduced 
to  25  cents 
per  kg 
for  a  period  of 
three 
months 
(Extraordinary  Gazette 
Notification No. 2197/12).","","","",""
"","","","","","","","","",""
