"Date","Item","","","","","","Revision","","","","","","",""
"10.04.2020","Vegetable Oils","","","","","","SCL  was  increased  for  a  period 
of 
three  months 
(Extraordinary 
Gazette Notification No. 2170/5).","","","","","","",""
"17.04.2020","Oranges  (fresh  and  dried),  Grapes  (fresh  and  dried), 
Apples, Pears, Cherries and Plums and Sloes","","","","","","SCL was increased for a period of 
two months (Extraordinary Gazette 
Notification No. 2171/2).","","","","","","",""
"","Clementines 
(fresh  and  dried),  Grapefruit 
including 
pomelos  (fresh  and  dried),  Lemons  (fresh  and  dried), 
Quinces,  Apricots,  Sour  cherries  (Prunus  cerasus)  and 
Peaches (including nectarines)","","","","","","","","","","","","",""
"","","","","","","","SCL  was  imposed  for  a  period  of","","","","","","",""
"","","","","","","","two months (Extraordinary Gazette 
Notification No. 2171/2).","","","","","","",""
"","","","","","","","","","","","","","",""
"","Coconut Oil","","","","","","SCL was decreased to Rs. 195 per 
kg from Rs. 295 per kg for a period 
of 
three  months 
(Extraordinary 
Gazette Notification No. 2171/3).","","","","","","",""
"","","","","","","","","","","","","","",""
"01.05.2020","B’onions","","","","","","SCL was increased to Rs. 15 per kg 
from  Rs.  1  per  kg  for  a  period  of 
three months (Extraordinary Gazette 
Notification No. 2173/12).","","","","","","",""
"08.05.2020","","Sprats, Dried Fish, Green gram (Moong), Mangoesteens","","","","","Imposition 
of 
SCL 
was 
extended  for  a  period  of  three","","","","","","",""
"","","","","","","","","","","","","","",""
"","","(fresh and dried) and Kiwifruit","","","","","months 
(Extraordinary  Gazette 
Notification No. 2174/7).","","","","","","",""
"","","","","","","","","","","","","","",""
"22.05.2020","Yoghurt,  Potatoes,  Red  Onions,  Garlic,  Peas 
Chickpeas (whole and split), Red and Yellow Lentils (whole 
and split), Dates (fresh and dried), Oranges (fresh), Lemons 
(fresh and dried), Grapes (fresh), Apples (fresh), Quinces 
(fresh), Chillies (dried, neither crushed nor ground), Maize, 
Ground Nuts (shelled), Vegetable Oils except Coconut Oil, 
Margarine, Canned Fish, Beet and Cane Sugar and White 
Crystalline Cane and Beet Sugar","","","","(split),","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","SCL was increased for a period of 
six months (Extraordinary Gazette 
Notification No. 2176/18).","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","Oranges (dried), Grapes (dried) and Coconut Oil","","","","","","SCL was decreased for a period of 
six months (Extraordinary Gazette 
Notification No. 2176/18).","","","","","","",""
"","Jack and Horse Mackerel","","","","","","SCL  was  decreased 
to  Rs.  6 
per  kg  from  Rs.  150  per  kg  or 
10  per  cent,  for  a  period  of  six 
months 
(Extraordinary  Gazette 
Notification No. 2176/18).","","","","","","",""
"","Peas  (whole),  Chillies  (crushed  or  ground),  Seeds  of 
Cumin, Seeds of Fennel and Face Mask","","","","","","Imposition 
of 
SCL 
was 
extended 
for  a  period  of 
six 
months 
(Extraordinary  Gazette 
Notification No. 2176/18).","","","","","","",""
"17.06.2020","Vegetable fats and oils and their fractions and Margarine 
(other)","","","","","","Imposed 
SCL 
of 
Rs. 
600","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","per","months","kg","for 
a","","period 
of 
six","",""
"","","","","","","","","","","(Extraordinary  Gazette","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","Notification No. 2180/10).","","","","","",""
"","","","","","","","","","","","","","",""
"","Clementines  (fresh  and  dried),  Grapefruit,  including 
pomelos (fresh and dried), Pears, Apricots, Sour cherries 
(Prunus  cerasus),  Cherries  (other),  Peaches  (including 
nectarines), Plums and Sloes","","","","","","Imposition 
of 
SCL 
extended 
for  a  period  of 
months 
(Extraordinary  Gazette 
Notification No. 2180/11).","","","","","","","was 
six"
