"","","","","","","",""
"","Date","Item","Revision","","","",""
"","07.02.2020","Fish (fresh, chilled or frozen)","SCL was decreased to Rs. 25 per 
kg from 10 per cent or Rs. 100 per 
kg, the amount of levy whichever is 
higher, for a period of three months 
(Extraordinary Gazette Notification 
No. 2161/34).","","","",""
"","25.02.2020","Potatoes","Imposition  of  SCL  of  Rs.  25  per 
kg  was  extended  for  a  period  of 
31  days 
(Extraordinary  Gazette 
Notification No. 2164/10).","","","",""
"","","","","","","",""
"","","","","","","",""
"","04.03.2020","Fish (fresh, chilled or frozen)","SCL was increased to 10 per cent 
of 
levy  whichever 
a 
period  of 
six  months 
from  
Rs. 25 per kg (Extraordinary Gazette 
Notification No. 2165/12).","","","",""
"","","","","or  Rs.  150  per  kg,  the  amount","","",""
"","","","","is  higher, 
for","","",""
"","","","","","","",""
"","08.03.2020","Mackerel, Black Gram, Cowpeas and Kurakkan","Imposition 
of 
SCL 
was 
extended 
for  a  period  of 
six 
months 
(Extraordinary  Gazette 
Notification No. 2165/73).","","","",""
"","","","","","","",""
"","13.03.2020","Fish (fresh, chilled or frozen) - to use as fish bait","Subject 
to  confirmation  of 
the 
import  having 
shipped  on  or 
before 04 March 2020, by the Bill 
of  Lading  and  recommendation 
of  the  Ministry  of  Fisheries  and 
Aquatic  Resources,  the  balance 
amount  after  collecting  Rs.  25 
per  kg  from  the  applied  SCL  of 
10 per cent or Rs. 150 per kg was 
waived off (Extraordinary Gazette 
Notification No. 2166/34).","","","",""
"","18.03.2020","Fish (fresh, chilled or frozen)","Subject 
to  confirmation  of 
the 
import  having 
shipped  on  or 
before 04 March 2020, by the Bill 
of  Lading  and  recommendation 
of  the  Ministry  of  Fisheries  and 
Aquatic  Resources,  the  balance 
amount  after  collecting  Rs.  25 
per  kg  from  the  applied  SCL  of 
10 per cent or Rs. 150 per kg was 
waived off (Extraordinary Gazette 
Notification No. 2167/10).","","","",""
"","19.03.2020","Sanitizers and Face Masks","SCL 
of 
Rs. 
1 
per 
kg 
was 
imposed 
(Extraordinary  Gazette 
Notification No. 2167/11).","","","",""
"","27.03.2020","Potatoes","Imposition of SCL of Rs. 25 per kg 
was extended for a period of three 
months 
(Extraordinary  Gazette 
Notification No. 2168/7).","","","",""
"","","","","","","",""
