"","","","","","","","Change (%)",""
"","packaging materials, as well as the limited supply","","","Weight","","","",""
"","","","Division","in IIP","2021(a) 2022 (b)","","",""
"","","","","","","","2020/21","2021/22"
"of  several 
food","ingredients  caused  by","import","","(%)","","","",""
"","","","","","","","(a)","(b)"
"restrictions.","In  contrast,","the  performance  of 
the","","","","","",""
"","","","1. Manufacture of Food Products","35.2","109.3","93.1","0.2","-14.8"
"","manufacture  of  beverages  subsector  recorded  a","","2. Manufacture of Beverages","3.8","106.0","127.5","9.8","20.3"
"","","","","","","","",""
"","notable expansion among all the other subsectors","","3. Manufacture of Tobacco Products","1.7","77.9","83.2","8.0","6.8"
"","","","4. Manufacture of Textiles","3.3","128.7","101.5","25.9","-21.1"
"","of the IIP during the year, on account of the growth","","","","","","",""
"","","","5. Manufacture of Wearing Apparel","19.8","95.4","100.5","17.5","5.3"
"","","","","","","","",""
"","in  the  production  of  arrack,  beer,  and  soft  drinks.","","6. Manufacture of Leather and Related","0.3","78.6","87.4","1.3","11.2"
"","","","Products","","","","",""
"","Accordingly, the beverage manufacturing activities","","7. Manufacture of Wood and Products of Wood","","","","",""
"","","","and Cork, Except Furniture; Manufacture of","0.2","82.5","81.0","15.0","-1.8"
"","recorded a year-on-year growth of 20.3 per cent in","","Articles of Straw and Plaiting Material","","","","",""
"","","","8. Manufacture of Paper and Paper Products","1.7","86.5","49.0","5.8","-43.4"
"","2022, over the year-on-year growth of 9.8 per cent","","9.
Printing and Reproduction of Recorded","","","","",""
"","","","","1.4","117.9","112.1","4.8","-4.9"
"","","","Media","","","","",""
"","in  2021.  Despite  the  overall  positive  performance","","","","","","",""
"","","","10. Manufacture of Coke and Refined","","","","",""
"","","","","7.4","71.1","30.0","-26.8","-57.8"
"","","","Petroleum Products","","","","",""
"","of the beverage manufacturing activities in 2022, a","","","","","","",""
"","","","11. Manufacture of Chemicals and Chemical","","","","",""
"","","","","4.1","89.8","98.6","-4.7","9.8"
"","","","Products","","","","",""
"","slight moderation in the performance of the sector","","","","","","",""
"","","","12. Manufacture of Basic Pharmaceutical","","","","",""
"","","","","0.1","117.9","102.5","12.6","-13.1"
"","was observed during the fourth quarter of 2022.","","Products and Pharmaceutical Preparations","","","","",""
"","","","13. Manufacture of Rubber and Plastic Products","5.7","102.9","92.7","35.7","-9.9"
"","","","14. Manufacture of Other Non-metallic Mineral","","","","",""
"The  manufacturing","","of  wearing 
apparel,","","7.8","137.4","113.5","23.0","-17.4"
"","","","Products","","","","",""
"","","","","","","","",""
"","which  is  the  second  largest  subsector  in  the","","15. Manufacture of Basic Metals","2.4","133.6","88.1","20.7","-34.1"
"","","","16. Manufacture of Fabricated Metal Products","","","","",""
"","","","","1.3","124.6","72.0","23.5","-42.2"
"","iip,  recorded  a  favourable  recovery","in  2022,","(Except Machinery and Equipment)","","","","",""
"","","","17. Manufacture of Electrical Equipment","2.0","81.4","65.1","20.6","-20.0"
"","largely  supported  by  the  recovery","in  global","","","","","",""
"","","","18. Manufacture of Machinery and Equipment","0.7","122.0","139.1","18.6","14.0"
"","","","n.e.c.","","","","",""
"","supply  chains,  whereas  the  textiles  subsector","","","","","","",""
"","","","19. Manufacture of Furniture","0.8","77.5","63.3","0.7","-18.3"
"witnessed 
a","contraction.","Accordingly, 
the","20. Other Manufacturing","0.3","69.6","69.6","6.0","-"
"manufacturing","of 
wearing","apparel 
subsector","Index of Industrial Production","","104.2","91.6","7.3","-12.1"
"","","","n.e.c. - not elsewhere classified","Source: Department of Census and Statistics","","","",""
