"","","","","","","0.8"
"","","","","SELECTED FOREIGN DEBT","(% of GDP)",""
"","","","","SERVICE PAYMENTS","","-0.7"
"CCC(+)(S)","CCC","Caa1(S)","$","","",""
"2020 End","","","100.1","","","-3.7"
"","","","","","",""
"","","","(% of GDP)","","",""
"","","","","","Rs 12 Tn","2022
2023
2024
2025"
"","","","","","","Public Debt as a % of GDP"
"","","","","Foreign Debt","",""
"CCC+(N)","CC","Caa2(S)","","","",""
"2021 End","","","Rs 7 Tn","","",""
"","","","","","Rs 15 Tn",""
"","","","","","","128.1"
"","","","","Domestic Debt","",""
"","","","Rs 11 Tn","","",""
"","","","","","","90.1"
"2022 End
SD","RD","Ca(S)","","","",""
"","","","","","","2022
2032"
"","","","2021","","2022","Based on IMF Country Report - Mar 2023"
"","Key Fiscal Balances","","","","",""
"","","","","Revenue and Expenditure (as a % of GDP)","",""
"","","","","","","Government Revenue"
"","(as a % GDP)","","","","",""
"","","","Expenditure","Revenue","","Rs. 2.0 Tn"
"","","","","","","(2022)"
"","","11.7%","","2022","",""
"","","","","","",""
"","","2021","Interest Payments","","","37.5%"
