"and Milk (d)","","","","","","","","","","",""
"Domestic Nut Consumption","“","1,826","1,830","1,874","1,787","1,656","1,794","1,807","1,826","1,833","1,848"
"Total (e)","“","2,513","2,870","3,056","3,011","2,450","2,623","3,086","2,792","3,120","3,391"
"4.  Other Export Crops","","","","","","","","","","",""
"Coffee","mt","3,000","2,674","2,639","2,824","2,496","2,294","2,287","2,345","2,439","4,827"
"Cocoa","“","515","500","457","650","471","413","548","612","658","1,221"
"Cinnamon","“","17,500","17,600","17,707","18,945","22,341","20,398","20,352","20,866","22,872","23,764"
"Pepper","“","28,000","18,660","28,177","18,476","29,546","22,551","22,156","23,970","25,047","44,090"
"Clove","“","6,190","3,225","5,253","1,823","6,413","3,360","4,786","3,512","3,837","5,722"
"Cardamom","“","50","87","91","120","113","86","69","86","104","690"
"Nutmeg and Mace","“","2,545","2,960","2,750","2,723","3,545","4,180","5,119","2,751","2,818","3,618"
"Cashew Kernel","“","2,072","2,400","1,600","1,800","1,600","1,602","2,400","2,450","1,225","n.a."
"(a)  Revised","","","","","","","","Sources:  Sri Lanka Tea Board","","",""
