"CENTRAL BANK OF SRI LANKA | ANNUAL REPORT 2022","","","","","","",""
"Table 7.3","","","","","this  and  the  notable  moderation  in  the  yields  on","",""
"","Movements of Interest Rates","","","","","",""
"","","Per cent per annum","","","government  securities,  particularly  from  January","",""
"","","","Change","","","",""
"Interest Rate","End 2021","End 2022","","","","",""
"","","","","","","",""
"","","","in % pts","","2023, the declining trend in deposit interest rates","",""
"Key Policy Interest Rates","","","","","","",""
"Standing Deposit Facility Rate (SDFR)","5.00","14.50","9.50","","","",""
"","","","","","is expected to continue in the period ahead.","",""
"Standing Lending Facility Rate (SLFR)","6.00","15.50","9.50","","","",""
"Average Weighted Call Money Rate (AWCMR)","5.95","15.50","9.55","","","",""
"Yield Rates on Government Securities","","","","","","",""
"Primary Market (a)","","","","","","",""
"","","","","","Market lending interest rates also increased","",""
"Treasury bills","","","","","","",""
"91-day","8.16","32.64","24.48","","","",""
"182-day","8.33","32.20","23.87","","notably  during  2022  in  response  to  the  tight","",""
"364-day","8.24","29.27","21.03","","","",""
"","","","","","","",""
"Treasury bonds","","","","","monetary and liquidity conditions, while certain","",""
"2-year","9.16 (b)","33.01 (c)","23.85","","","",""
"3-year","9.70 (b)","31.36 (c)","21.66","","","",""
"4-year","8.55 (b)","-","-","lending","interest 
rates  began","","to  moderate"
"5-year","11.14 (b)","31.78 (c)","20.64","","","",""
"10-year","8.86 (b)","30.86 (c)","22.00","","towards end 2022. The unprecedented increase","",""
"Secondary Market","","","","","","",""
"Treasury bills","","","","","","",""
"","","","","","in  the  Central  Bank’s  policy  interest  rates,  the","",""
"91-day","7.77","30.75","22.98","","","",""
"182-day","8.07","29.50","21.43","","","",""
"364-day","8.22","28.39","20.17","","substantial liquidity deficit in the domestic money","",""
"Treasury bonds","","","","","","",""
"","","","","","","",""
"2-year","8.58","28.19","19.61","market","that  drove  up  deposit","interest","rates,"
"3-year","9.55","28.32","18.77","","","",""
"4-year","10.38","27.60","17.22","","","",""
"5-year","10.66","26.78","16.12","","the  pricing  in  of  elevated  credit  risk  amidst  the","",""
"10-year","11.71","26.18","14.47","","","",""
"Interest Rates on Deposits","","","","","contraction of economic activity, and the elevated","",""
"Licensed Commercial Banks (d)","","","","","","",""
"Savings deposits","0.05-6.35","0.25-6.00","-","","","",""
"1 Year Fixed Deposits (e)","0.15-15.00","4.50-30.00","-","","yields on government securities, mainly caused the","",""
"AWDR (f)","4.94","14.06","9.12","","","",""
"","","","","","","",""
"AWFDR (f)","5.94","18.49","12.55","","rise in market lending interest rates in 2022. Certain","",""
"AWNDR (f)","6.45","23.07","16.62","","","",""
"AWNFDR (f)","6.67","23.73","17.06","","","",""
"","","","","","market lending interest rates reached the highest","",""
"Other Financial Institutions (g)","","","","","","",""
"National Savings Bank","","","","","","",""
"Savings Deposits","3.50","3.00","-0.50","","levels on record in 2022. The Average Weighted","",""
"1 Year Fixed Deposits","5.50","12.00","6.50","","","",""
"Licensed Finance Companies (h)","","","","","","",""
"Savings Deposits","3.46-4.69(i)","4.63-8.03","-","Lending  Rate","(AWLR)6","increased  by  around",""
"1 Year Fixed Deposits","9.02-10.13","20.48-27.15","-","","","",""
"","","","","","","",""
"Interest Rates on Lending","","","","","9 percentage points to 18.70 per cent by end 2022,","",""
"Licensed Banks (j)","","","","","","",""
"AWSR","10.49","20.73","10.24","","","",""
"","","","","","while  the  Average  Weighted  New  Lending  Rate","",""
"AWNSR","10.04","26.91","16.87","","","",""
"Licensed Commercial Banks (d)","","","","","","",""
"AWPR (Monthly)","8.33","28.19","19.86","","(AWNLR)7 recorded the historically highest value","",""
"AWLR","9.87","18.70","8.83","","","",""
"","","","","","","",""
"AWNLR","9.48","26.20","16.72","","of  26.20  per  cent  in  December  2022,  increasing","",""
"Licensed Specialised Banks","","","","","","",""
"National Savings Bank","7.50-11.50","28.00-32.00","-","","","",""
"","","","","6","AWLR is based on interest rates of all outstanding rupee loans and advances extended","",""
"State Mortgage and Investment Bank (k)","7.50-12.50","18.00-27.25","-","","","",""
"","","","","by LCBs.","","",""
"Licensed Finance Companies (h)","","","","","","",""
"Finance Leasing","12.77-28.33","21.53-35.37","-","7","AWNLR captures interest rates of all new rupee loans and advances extended by LCBs","",""
"","","","","during a particular month.","","",""
"Hire Purchase","11.08-27.00","16.94-38.28","-","","","",""
"Loans against Immovable Properties","15.29-16.77(i)","26.80-28.43","-","","","",""
"Interest Rates on Foreign Currency Deposits (l)","","","","","","",""
"Savings Deposits - USD","0.03-4.60","0.10-7.77","-","","","",""
"","","","","","Figure 7.10","",""
"Savings Deposits - GBP","0.03-3.00","0.20-4.83","-","","","",""
"","","","","","Average Weighted Lending Rates by","",""
"Time Deposits - USD","0.02-7.00","0.02-11.50","-","","","",""
"Time Deposits - GBP","0.02-5.75","0.02-7.00","-","","Type of Securities (%)","",""
"Corporate Debt Market","","","","","","",""
"Debentures","8.00-12.00","15.42-28.00","-","","Stock, Bonds, Debentures,","",""
"Commercial Papers","6.00-12.00","11.00-36.00","-","","Sundries including Life Insurance","",""
"","","","","","Policies","",""
"(a)  Weighted average yield rates at the latest","","Sources: Respective Financial Institutions","","","24","",""
