"","","","","","","","","Year-on-Year","","","","Annual Average","","","","Contribution to Annual","",""
"","","","","Average Index","","","","","","","","","","","","","",""
"","Base","","","","","","","Percentage Change","","","","Percentage Change","","","","Average Increase (%)","",""
"Index","","","","","","","","","","","","","","","","","",""
"","Weights","","","","","","","","","","","","","","","","",""
"","","2018","2019","2020","2021","2022","Dec-19 Dec-20 Dec-21 Dec-22","","","","2019","2020","2021","2022","2019","2020","2021","2022"
"All items","100.0","124.1","129.5","135.4","143.4","209.9","4.8","4.2","12.1","57.2","4.3","4.6","6.0","46.4","100.0","100.0","100.0","100.0"
"Commodity-wise","","","","","","","","","","","","","","","","","",""
"Food and Non Alcoholic Beverages","28.2","131.8","132.8","147.9","165.2","272.2","6.3","9.2","22.1","64.4","0.8","11.4","11.7","64.7","5.3","72.2","60.7","45.4"
"Alcoholic Beverages and Tobacco","1.0","193.5","215.9","223.5","231.2","295.1","9.7","4.3","7.9","36.1","11.6","3.5","3.4","27.7","4.3","1.3","1.0","1.0"
"Clothing and Footwear","2.3","134.9","145.5","153.2","163.4","239.4","8.0","5.0","10.9","79.9","7.9","5.3","6.6","46.5","4.5","3.0","2.9","2.6"
"Housing, Water, Electricity, Gas and","","","","","","","","","","","","","","","","","",""
"","32.0","111.4","115.5","117.8","119.3","139.9","2.5","2.4","4.4","26.7","3.7","1.9","1.3","17.2","24.9","12.0","6.2","9.9"
"Other Fuels","","","","","","","","","","","","","","","","","",""
"Furnishing, Household Equipment and","","","","","","","","","","","","","","","","","",""
"","2.5","127.2","135.2","134.3","142.4","203.4","5.4","-1.2","14.2","61.1","6.3","-0.7","6.0","42.8","3.8","-0.4","2.6","2.3"
"Routine Household Maintenance","","","","","","","","","","","","","","","","","",""
"Health","4.4","158.2","175.9","173.9","183.5","228.7","3.7","-2.9","11.1","39.8","11.2","-1.1","5.5","24.6","14.6","-1.5","5.2","3.0"
"Transport","10.6","105.8","112.4","117.2","125.1","252.3","4.4","4.8","7.5","132.1","6.2","4.3","6.8","101.6","13.0","8.6","10.5","20.3"
"Communication","3.3","118.0","108.9","97.3","97.3","109.3","-8.5","-3.1","0.0","35.9","-7.7","-10.7","0.0","12.3","-5.6","-6.5","0.0","0.6"
"Recreation and Culture","1.3","112.9","117.0","117.5","118.2","161.4","3.3","0.0","2.9","65.5","3.7","0.4","0.7","36.6","1.0","0.1","0.1","0.8"
"Education","5.9","140.6","162.6","168.9","169.8","202.0","16.1","1.9","1.8","29.2","15.6","3.9","0.5","19.0","24.1","6.3","0.6","2.8"
"Restaurants and Hotels","5.1","127.8","135.0","138.5","151.4","251.2","2.9","2.4","26.8","72.5","5.6","2.6","9.3","66.0","6.9","3.0","8.2","7.7"
"Miscellaneous Goods and Services","3.3","139.4","144.6","148.0","153.0","223.0","4.2","2.3","7.1","71.9","3.7","2.4","3.3","45.8","3.2","1.9","2.0","3.5"
