"","","Monetary Aggregates","","Net Foreign Assets","","","","","","","","","","","","","","","Money"
"","","","","","","","","","","Domestic Assets","","","","","","","","",""
"","","(Monetary Liabilities)","","(b)","","","","","","","","","","","","Net Other Liabilities","","","Multiplier"
"","","","","","","","Central Bank","","","","Commercial Banks","","","","","","","",""
"","","","","","","","","","","","","","","Gross","","","","Reserve",""
"End","Narrow","Broad","","","","","","Net","","","Net","Credit to","","","","","","",""
"","","","","","","","","","","","","","","Domestic","","","","Money",""
"of","Money","Money","Monetary","Commer-","","Claims","Deposits","Credit to","Claims","Deposits","Credit to","Public","Credit to","","Monetary","Commer-","","",""
"","","","","","Total","","","","","","","","","Assets","","","Total","(RM)
M1","M2"
"Period","Supply","Supply (M2)","Authorities","cial","","on","of","the Govt.","on","of","the Govt.","Corpora-","Private","","Authori-","cial","","",""
"","","","","","(3)+(4)","","","","","","","","","(8)+(11)","","","(15)+(16)","",""
"","","","","","","","","","","","","","","","","","","RM","RM"
"","(M1)","(5)+(14)-","(d)","Banks","","Govt.","the Govt.","(e)","Govt.","the Govt.","(e)","tions/","Sector","","ties","Banks","","",""
"","","","","","","","","","","","","","","+(12)+(13)","","","","",""
"","(c)","(17)","","","","","","(6)-(7)","","","(9)-(10)","SOBEs","","","","","","",""
"","(1)","(2)","(3)","(4)","(5)","(6)","(7)","(8)","(9)","(10)","(11)","(12)","(13)","(14)","(15)","(16)","(17)","(18)",""
"2018","830,793","6,427,330","750,541","-202,093","548,448","473,118","301","472,817","1,763,914","120,729","1,643,185","432,854","5,135,547","7,684,403","582,368","1,223,153","1,805,521","961,096  0.86","6.69"
"2019","865,467","6,912,710","895,997","-482,405","413,593","363,476","444","363,032","2,095,409","115,722","1,979,687","481,222","5,375,077","8,199,017","581,006","1,118,894","1,699,900","932,604  0.93","7.41"
"2020","1,177,150","8,495,788","526,779","-472,573","54,206","870,322","1,430","868,892","3,323,967","120,274","3,203,694","584,274","5,748,117","10,404,976","560,832","1,402,561","1,963,393","964,440  1.22","8.81"
"2021","1,459,895","9,638,905","-387,263","-686,342","-1,073,604","2,095,481","1,387","2,094,095","3,531,443","170,103","3,361,340","972,821","6,498,862","12,927,118","701,728","1,512,881","2,214,608  1,305,809  1.12","","7.38"
"2022","1,453,597","10,497,052","-1,613,861","-1,228,566","-2,842,427","3,432,703","210","3,432,493","3,828,089","188,799","3,639,290","1,686,729","6,734,988","15,493,501","792,053","1,361,968","2,154,021  1,349,389  1.08","","7.78"
"2021 January","1,183,134","8,600,019","417,927","-508,470","-90,542","925,704","1,386","924,317","3,507,269","112,233","3,395,036","611,189","5,756,203","10,686,746","497,447","1,498,737","1,996,184","975,897  1.21","8.81"
"February","1,199,944","8,706,198","393,859","-517,407","-123,548","997,022","563","996,460","3,473,682","114,509","3,359,173","619,593","5,828,486","10,803,712","537,493","1,436,473","1,973,966","978,090  1.23","8.90"
"March","1,232,814","8,860,584","341,034","-527,622","-186,588","1,093,239","1,044","1,092,195","3,527,503","116,502","3,411,001","631,763","5,926,001","11,060,961","532,570","1,481,219","2,013,789","1,028,599  1.20","8.61"
"April","1,244,200","8,944,644","342,923","-557,052","-214,130","1,071,408","860","1,070,547","3,568,293","113,766","3,454,527","648,935","5,981,867","11,155,877","502,351","1,494,751","1,997,103","1,031,144  1.21","8.67"
"May","1,246,551","9,016,772","349,094","-555,935","-206,841","1,055,456","845","1,054,612","3,628,664","108,471","3,520,193","650,602","6,029,091","11,254,498","483,338","1,547,546","2,030,885","1,036,010  1.20","8.70"
