"","2021 (b)","","2022 (c)","","2021 (b)","","2022 (c)",""
"","Net","Net","Net","Net","Net","Net","Net","Net"
"FINANCIAL ACCOUNT","","","","","","","",""
"","Acquisition","Incurrence","Acquisition","Incurrence","Acquisition","Incurrence","Acquisition","Incurrence"
"","of Financial","of","of Financial","of","of Financial","of","of Financial","of"
"","Assets","Liabilities","Assets","Liabilities","Assets","Liabilities","Assets","Liabilities"
"Financial Account","-2,113","2,098","84","2,030","-417,001","427,972","123,226","661,378"
"Direct Investment","17","592","15","898","3,468","117,894","4,892","309,142"
"Equity and Investment Fund Shares","13","312","11","289","2,512","62,047","3,403","111,567"
"Equity other than Reinvestment of Earnings","9","23","7","125","1,709","4,492","2,291","49,353"
"Direct Investor in Direct Investment Enterprise (h)","9","23","7","125","1,709","4,492","2,291","49,353"
"Reinvestment of Earnings","4","289","3","164","803","57,555","1,112","62,214"
"Debt Instruments","5","281","5","610","955","55,847","1,489","197,574"
"Direct Investor in Direct Investment Enterprise (h)","5","281","5","610","955","55,847","1,489","197,574"
"Portfolio Investment","-","-1,547","-","355","-","-305,900","-","168,647"
"Equity and Investment Fund Shares","-","-232","-","137","-","-46,061","-","30,342"
"Debt Securities","-","-1,315","-","218","-","-259,838","-","138,305"
"Deposit-taking Corporations","-","-","-","-","-","-","-","-"
"Long term","-","-","-","-","-","-","-","-"
"General Government","-","-1,315","-","212","-","-259,838","-","136,080"
"Short term (Treasury Bills)","-","-2","-","30","-","-460","-","9,956"
"Long term","-","-1,313","-","183","-","-259,378","-","126,124"
"Treasury Bonds","-","-25","-","21","-","-5,001","-","7,806"
"Sri Lanka Development Bonds","-","-2","-","2","-","-488","-","833"
"Sovereign Bonds","-","-1,285","-","159","-","-253,890","-","117,485"
"Issuances","-","-","-","-","-","-","-","-"
"Maturities","-","-700","-","-391","-","-140,566","-","-78,783"
"Secondary Market Transactions","-","-586","-","-","-","-113,324","-","-"
"Accrued Interest","-","-","-","551","-","-","-","196,268"
"Other Sectors","-","-","-","6","-","-","-","2,224"
"Long term","-","-","-","6","-","-","-","2,224"
"Financial Derivatives","-","-","-","-","-","-","-","-"
"Other Investment","387","3,053","1,302","776","77,454","615,978","390,162","183,589"
"Currency and Deposits","306","4,016","514","272","62,761","810,195","152,168","-9,248"
"Central Bank","-","1,375","-","403","-","280,306","-","81,578"
"Short term","-","1","-","...","-","187","-","-133"
"Long term","-","1,374","-","403","-","280,119","-","81,710"
"Deposit-taking Corporations","306","2,641","514","-131","62,761","529,889","152,168","-90,826"
"Short term","256","2,641","605","-131","51,282","529,889","168,925","-90,826"
"Long term","50","-","-91","-","11,479","-","-16,757","-"
"Loans","-","-1,503","-","-92","-","-299,296","-","51,432"
"Central Bank","-","-57","-","-140","-","-11,377","-","-48,316"
"Credit and Loans with the IMF","-","-57","-","-140","-","-11,377","-","-48,316"
"Deposit-taking Corporations","-","-2,152","-","-1,645","-","-429,506","-","-495,847"
"Short term","-","-2,169","-","-1,301","-","-433,880","-","-385,116"
"Long term","-","17","-","-344","-","4,373","-","-110,731"
"General Government","-","873","-","1,679","-","174,382","-","580,605"
"Long term","-","873","-","1,679","-","174,382","-","580,605"
"Other Sectors (i)","-","-167","-","13","-","-32,795","-","14,989"
"Long term","-","-167","-","13","-","-32,795","-","14,989"
"Trade Credit and Advances","257","-426","282","-895","51,199","-87,405","89,293","-279,812"
"Deposit-taking Corporations","-3","-","-27","","-479","-","-10,595","-"
"Short term","-3","-","-27","","-479","-","-10,595","-"
"Other Sectors (j)","260","-426","310","-895","51,679","-87,405","99,888","-279,812"
"Short term","260","-426","310","-895","51,679","-87,405","99,888","-279,812"
"Other Accounts Receivable/Payable","-176","180","506","1,492","-36,506","34,713","148,700","421,218"
"Central Bank","-","180","1,492","-","-","34,713","-","421,218"
"Short term (k)","-","180","1,492","-","-","34,713","-","421,218"
"Deposit-taking Corporations","-176","-","506","-","-36,506","-","148,700","-"
"Short term","-176","-","506","-","-36,506","-","148,700","-"
