"","","","In Rupees per unit of Foreign Currency","","","","","Percentage Change over Previous Year (a)","",""
"Currency","","End Year Rate","","","Annual Average Rate","","End Year","","Annual Average",""
"","2020","2021","2022","2020","2021","2022","2021","2022","2021","2022"
"Euro","229.42","226.86","386.93","212.07","235.10","339.04","1.13","-41.37","-9.80","-30.66"
"Indian Rupee","2.55","2.69","4.39","2.50","2.69","4.11","-5.33","-38.67","-6.96","-34.56"
"Japanese Yen","1.81","1.74","2.74","1.74","1.81","2.44","3.91","-36.46","-3.95","-25.93"
"Pound Sterling","254.35","270.60","437.35","238.22","273.51","396.89","-6.00","-38.13","-12.90","-31.09"
"US Dollar","186.41","200.43","363.11","185.52","198.88","324.55","-7.00","-44.80","-6.72","-38.72"
"Special Drawing Rights (SDR)","268.48","280.53","483.24","258.61","283.18","431.91","-4.29","-41.95","-8.68","-34.43"
"Effective Exchange","","","","","","","","Percentage Change over Previous Year","",""
"","","End Year Index","","","Annual Average Index","","","","",""
"Rate Indices (b) (c)","","","","","","","End Year Index","","","Annual Average Index"
"(2017=100)","2020","2021","2022","2020","2021","2022","2021","2022","2021","2022"
"NEER 24-currencies","83.12","79.65","47.32","85.93","78.64","53.99","-4.18","-40.59","-8.48","-31.34"
"REER 24-currencies","88.37","83.31","46.23","91.52","83.58","54.33","-5.72","-44.51","-8.67","-35.00"
"(a)   Changes computed on the basis of foreign currency equivalent of Sri Lanka rupees.  The sign (-) indicates depreciation of Sri Lanka rupee","","","","","","","","","Source: Central Bank of Sri Lanka",""
