"","Composition of Imports according to the SITC (a)","","","","","","",""
"","","Rs. million","","","","US$ million","",""
"Category","","","","","","","",""
"","2019","2020","2021","2022 (b)","2019","2020","2021","2022 (b)"
"0. Food and Live Animals","350,023","391,195","451,938","680,678","1,958","2,108","2,275","2,162"
"00 Live Animals other than Animals of Division 03","822","625","970","985","5","3","5","3"
"01 Meat and Meat Preparations","1,015","808","782","1,313","6","4","4","4"
"02 Dairy Products and Birds’ Eggs","55,747","62,011","63,174","68,459","312","334","318","226"
"03 Fish, Crustaceans, Molluscs and Aquatic Invertebrates and Preparations Thereof","38,626","35,234","24,591","20,814","216","190","124","68"
"04 Cereals and Cereal Preparations","68,137","77,077","102,316","229,961","381","415","513","729"
"05 Vegetables and Fruit","70,119","77,825","90,858","114,470","392","419","458","365"
"06 Sugars, Sugar Preparations and Honey","35,998","51,360","56,934","83,088","201","277","289","258"
"07 Coffee, Tea, Cocoa, Spices and Manufactures Thereof","28,658","29,905","33,658","56,920","160","161","169","180"
"08 Feeding Stuff for Animals","28,104","31,531","46,142","59,607","157","170","232","187"
"09 Miscellaneous Edible Products and Preparations","22,796","24,817","32,511","45,061","128","134","163","142"
"1. Beverages and Tobacco","26,307","17,376","15,275","32,613","147","94","77","101"
"11 Beverages","10,648","5,250","4,423","12,107","59","28","22","38"
"12 Tobacco and Tobacco Manufactures","15,659","12,126","10,852","20,507","88","65","55","63"
"2. Crude Materials, Inedible, except Fuels","83,245","80,849","116,300","146,194","466","436","585","465"
"21 Hides, Skins, Furskins, Raw","36","21","22","30","…","…","…","…"
"22 Oil-seeds and Oleaginous Fruits","2,836","1,459","882","1,437","16","8","4","6"
"23 Crude Rubber","35,075","33,700","69,797","89,780","196","182","351","284"
"24 Cork and Wood","9,988","7,487","10,305","8,140","56","40","52","27"
"25 Pulp and Waste Paper","575","737","1,430","2,673","3","4","7","8"
"26 Textile Fibres and Their Wastes","14,199","13,947","4,975","9,884","79","75","25","31"
"27 Crude Fertilisers, other than those of Division 56, and Crude Minerals","10,304","12,720","16,104","17,480","58","69","81","58"
