"","Approvals","","Contracted","","Approvals","","Contracted","","Approvals","","Contracted","","Approvals","","Contracted",""
"","2021","2022","2021","2022","2021","2022","2021","2022","2021","2022","2021","2022","2021","2022","2021","2022"
"","(a)","(b)","(a)","(b)","(a)","(b)","(a)","(b)","(a)","(b)","(a)","(b)","(a)","(b)","(a)","(b)"
"Food, Beverages and Tobacco Products","4","6","2","2","12,786","1,830","-","1,061","13,805","8,386","884","2,105","383","600","300","166"
"Textile, Wearing Apparel and Leather","","","","","","","","","","","","","","","",""
"","6","9","2","9","10,282","1,079","151","8,180","14,210","27,096","706","29,177","1,705","6,589","1,442","5,085"
"Products","","","","","","","","","","","","","","","",""
"Wood and Wood Products","1","1","-","-","93","-","-","-","93","158","-","-","55","4","-","-"
"Paper Products, Publishing and Printing","1","3","-","3","-","209","-","209","282","9,883","-","6,267","54","391","-","259"
"Chemical, Petroleum, Coal,","","","","","","","","","","","","","","","",""
"","2","2","3","2","2,357","828","2,424","-","4,897","2,223","4,099","1,289","779","271","671","232"
"Rubber and Plastic Products","","","","","","","","","","","","","","","",""
"Non-metallic Mineral Products","2","3","-","1","106","41,965","-","-","3,413","58,428","-","1,601","583","986","-","475"
"Fabricated Metal Products,","","","","","","","","","","","","","","","",""
"","4","3","1","4","935","103","127","103","41,736","603","260","729","576","250","28","276"
"Machinery and Transport Equipment","","","","","","","","","","","","","","","",""
"Manufactured Products (n.e.s.)","2","4","2","2","10,934","2,628","10,934","1,288","10,934","4,653","10,934","3,308","461","1,054","461","885"
"Services","20","44","11","27","282,697","169,149","4,811","255,986","315,254","295,744","20,438","338,656","4,778","5,045","628","4,119"
"Expanded Projects","93","85","72","92","27,682","65,051","22,858","60,983","109,433","139,198","78,114","133,542","16,258","10,987","12,947","10,188"
"Total","135  160","","93","142","347,871","282,842","41,305","327,810","514,056","546,371","115,436","516,674","","25,632   26,177   16,477   21,685","",""
"n.e.s. - not elsewhere specified","","","","","","","","","","","","Source: Board of Investment of Sri Lanka","","","",""
