"","Gross National Income by Industrial Origin at Constant (2015) Prices (a)(b)","","","","","","","","","",""
"","","","","As a percentage of GDP","","","Growth","","","Contribution to Growth",""
"","Rs. billion","","","","","","","","","",""
"Economic Activity","","","","(%)","","","(%)","","","(%)",""
"","2021(c)","2022","2021(c)","","2022","2021(c)","","2022","2021(c)","","2022"
"Agriculture, Forestry & Fishing","949.9","906.5","7.3","","7.5","0.9","","-4.6","0.1","","-0.3"
"Agriculture and Forestry","812.4","783.4","6.2","","6.5","0.8","","-3.6","0.1","","-0.2"
"Fishing","137.6","123.1","1.1","","1.0","1.5","","-10.5","0.0","","-0.1"
"Industries","3,937.9","3,309.8","30.2","","27.5","5.7","","-16.0","1.7","","-4.8"
"Mining and Quarrying","288.0","198.7","2.2","","1.7","1.4","","-31.0","0.0","","-0.7"
"Manufacturing","2,247.2","1,963.3","17.2","","16.3","7.4","","-12.6","1.2","","-2.2"
"Electricity, Gas, Water and Waste Treatment","230.0","220.0","1.8","","1.8","2.2","","-4.3","0.0","","-0.1"
"Construction","1,172.8","927.7","9.0","","7.7","4.4","","-20.9","0.4","","-1.9"
"Services","7,414.3","7,265.1","56.9","","60.5","3.5","","-2.0","2.0","","-1.1"
"Wholesale and Retail Trade, Transportation","","","","","","","","","","",""
"and Storage, and Accommodation","","","","","","","","","","",""
"and Food Service Activities","3,149.8","3,230.3","24.2","","26.9","1.3","","2.6","0.3","","0.6"
"Information and Communication","421.8","415.9","3.2","","3.5","18.0","","-1.4","0.5","","0.0"
"Financial, Insurance and Real Estate Activities","","","","","","","","","","",""
"including Ownership of Dwellings","1,375.3","1,163.3","10.5","","9.7","7.5","","-15.4","0.8","","-1.6"
"Professional Services and Other Personal","","","","","","","","","","",""
"Service Activities","1,294.6","1,286.3","9.9","","10.7","1.8","","-0.6","0.2","","-0.1"
"Public Administration, Defence, Education,","","","","","","","","","","",""
"Human Health and Social Work Activities","1,172.8","1,169.4","9.0","","9.7","2.2","","-0.3","0.2","","0.0"
"Gross Value Added at Basic Price","12,302.1","11,481.4","94.4","","95.5","4.0","","-6.7","3.7","","-6.3"
"Taxes less Subsidies on products","735.9","536.5","5.6","","4.5","-3.6","","-27.1","-0.2","","-1.5"
"Gross Domestic Product at Market Price","13,037.9","12,017.8","100.0","","100.0","3.5","","-7.8","3.5","","-7.8"
"Net Primary Income from Rest of the World","-294.1","-304.2","","","","12.6","","-3.5","","",""
"Gross National Income at Market Price","12,743.8","11,713.6","","","","4.0","","-8.1","","",""
"(a) Based on the GDP estimates (base year 2015)","","","","","","","","Source: Department of Census and Statistics","","",""
