"","","","","","Rs. million"
"End of Period","2018","2019","2020","2021 (b)","2022 (c)"
"ASSETS","1,431,332","1,432,675","1,401,666","1,487,689","1,611,211"
"Cash and Bank Balances","96,271","99,886","112,156","87,680","101,397"
"Cash in Hand","7,653","7,086","7,718","9,572","9,279"
"Demand Deposits with Commercial Banks","35,154","32,031","41,561","17,441","12,222"
"Time and Savings Deposits with Commercial Banks","50,323","58,854","61,992","59,033","78,880"
"Deposits with Other Deposit Taking Institutions","3,140","1,914","884","1,634","1,017"
"Investments","109,667","132,150","158,857","167,369","199,630"
"Investments in Government of Sri Lanka Securities","65,072","73,427","75,603","92,485","115,206"
"Treasury Bills","62,806","71,768","61,323","82,061","100,182"
"Treasury Bonds","2,266","1,659","14,280","10,424","15,024"
"Shares Held for Trading Investments","4,424","4,070","3,324","3,431","2,738"
"Debentures","5,440","3,695","4,553","6,286","10,792"
"Shares in Other Companies","1,731","1,859","4,409","6,773","2,834"
"Shares in Subsidiaries and Associate Companies","16,674","15,861","15,032","12,317","13,354"
"Investment Properties","18,116","25,252","29,510","35,982","48,984"
"Other Investments","2,431","11,728","29,505","13,360","7,058"
"Provision for Decline in Value of Investment Securities","-4,222","-3,743","-3,079","-3,264","-1,336"
"Loans and Advances (Net)","1,137,046","1,102,738","1,039,827","1,142,455","1,199,159"
"Leasing","635,651","631,800","621,833","608,052","549,290"
"Hire Purchase","19,112","14,824","11,771","20,723","31,179"
"Real Estate","2,919","2,782","2,366","12,972","16,314"
"Pawning Advances and Gold Loans (d)","43,943","59,467","71,355","129,490","229,800"
"Dues from Related Party","10,964","13,491","6,050","5,549","8,681"
"Other Loans","492,413","472,302","445,342","483,052","483,787"
"Loan Loss Provisions and Suspended Interest","-67,957","-91,929","-118,891","-117,382","-119,892"
"Trading Stocks","13,852","16,379","8,434","5,210","3,987"
"Real Estate","3,511","3,883","2,662","2,799","1,632"
"Vehicle and Other Equipment for Sale (e)","9,410","10,409","3,737","367","410"
"Other","930","2,088","2,035","2,044","1,945"
"Fixed Assets","43,925","50,792","51,154","55,458","64,738"
"Other Assets","30,572","30,730","31,238","29,517","42,299"
"EQUITY AND LIABILITIES","1,431,332","1,432,675","1,401,666","1,487,689","1,611,211"
"Equity","183,671","203,222","248,053","303,991","364,090"
"Paid-up Capital","71,949","82,537","84,238","102,138","303,498"
"Retained Earnings and Reserves","111,723","120,685","163,815","201,853","60,593"
"Deposits","716,848","756,687","748,578","783,286","864,469"
"Fixed Deposits","681,317","722,234","710,464","744,297","830,197"
"Savings Deposits","34,601","33,528","37,333","38,372","34,261"
"Certificate of Deposits","929","925","780","617","11"
"Borrowings","463,817","405,590","328,040","325,925","322,584"
"Financial Institutions","340,708","303,952","242,606","242,778","238,087"
"Others","123,109","101,639","85,434","83,147","84,497"
"Other Liabilities","66,996","67,175","76,995","74,488","60,067"
"No. of Institutions","48","46","43","42","38"
"","(a)  Non-Bank Financial Institutions sector represents Licensed Finance Companies and Specialised Leasing","","","Source: Central Bank of Sri Lanka",""
