"","","Direction of Trade - Exports (a)","","","","","","","",""
"","","","","","","","","","Value in US$ million",""
"","2018","","2019","","2020","","2021","","2022 (b)",""
"Countries","","","","","","","","","",""
"","Value","Share (%)","Value","Share (%)","Value","Share (%)","Value","Share (%)","Value","Share (%)"
"Largest Export Destinations in 2022","","","","","","","","","",""
"United States of America","3,085","25.9","3,141","26.3","2,500","24.9","3,108","24.9","3,321","25.3"
"United Kingdom","980","8.2","998","8.4","908","9.0","938","7.5","963","7.3"
"India","777","6.5","768","6.4","606","6.0","829","6.6","860","6.6"
"Germany","614","5.2","648","5.4","570","5.7","758","6.1","742","5.7"
"Italy","572","4.8","528","4.4","455","4.5","581","4.6","641","4.9"
"Netherlands","258","2.2","301","2.5","290","2.9","426","3.4","428","3.3"
"Canada","211","1.8","241","2.0","213","2.1","316","2.5","361","2.8"
"United Arab Emirates","290","2.4","276","2.3","190","1.9","287","2.3","355","2.7"
"Belgium - Luxembourg","361","3.0","357","3.0","297","3.0","343","2.7","310","2.4"
"Australia","193","1.6","200","1.7","175","1.7","260","2.1","256","2.0"
"Other Export Destinations","","","","","","","","","",""
"Austria","44","0.4","44","0.4","33","0.3","44","0.4","51","0.4"
"Azerbaijan","55","0.5","56","0.5","53","0.5","49","0.4","69","0.5"
"Bangladesh","136","1.1","162","1.4","153","1.5","222","1.8","211","1.6"
"Brazil","54","0.5","57","0.5","43","0.4","60","0.5","65","0.5"
"Chile","49","0.4","40","0.3","55","0.5","56","0.4","46","0.4"
"China","239","2.0","240","2.0","225","2.2","277","2.2","255","1.9"
"Czech Republic","18","0.2","24","0.2","24","0.2","32","0.3","37","0.3"
"France","182","1.5","191","1.6","184","1.8","252","2.0","249","1.9"
"Hong Kong","153","1.3","135","1.1","108","1.1","179","1.4","168","1.3"
"Hungary","54","0.5","44","0.4","28","0.3","39","0.3","36","0.3"
"Indonesia","37","0.3","41","0.3","35","0.3","49","0.4","50","0.4"
"Iran","148","1.2","112","0.9","79","0.8","78","0.6","82","0.6"
"Iraq","145","1.2","126","1.1","110","1.1","177","1.4","156","1.2"
"Ireland, Republic of","50","0.4","84","0.7","60","0.6","75","0.6","96","0.7"
"Israel","105","0.9","119","1.0","103","1.0","234","1.9","189","1.4"
"Japan","226","1.9","283","2.4","188","1.9","227","1.8","231","1.8"
"Jordan","37","0.3","35","0.3","37","0.4","47","0.4","62","0.5"
"Kenya","20","0.2","24","0.2","25","0.2","40","0.3","44","0.3"
"Libya","57","0.5","46","0.4","29","0.3","47","0.4","42","0.3"
"Maldives","110","0.9","114","1.0","78","0.8","103","0.8","106","0.8"
"Malaysia","39","0.3","48","0.4","57","0.6","74","0.6","66","0.5"
"Mexico","176","1.5","161","1.3","135","1.3","205","1.6","190","1.4"
"Pakistan","76","0.6","82","0.7","74","0.7","92","0.7","78","0.6"
"Peru","34","0.3","27","0.2","39","0.4","31","0.2","41","0.3"
"Poland","45","0.4","67","0.6","64","0.6","81","0.7","72","0.5"
"Russia","185","1.6","167","1.4","163","1.6","152","1.2","139","1.1"
"South Africa","40","0.3","41","0.3","33","0.3","41","0.3","35","0.3"
"South Korea","65","0.5","75","0.6","71","0.7","80","0.6","82","0.6"
"Slovak Republic","29","0.2","26","0.2","21","0.2","26","0.2","36","0.3"
"Singapore","148","1.2","120","1.0","93","0.9","101","0.8","131","1.0"
"Spain","72","0.6","69","0.6","70","0.7","93","0.7","101","0.8"
"Saudi Arabia","72","0.6","86","0.7","76","0.8","76","0.6","98","0.7"
"Sweden","90","0.8","73","0.6","74","0.7","108","0.9","111","0.8"
"Switzerland","123","1.0","106","0.9","91","0.9","146","1.2","147","1.1"
"Syria","57","0.5","55","0.5","45","0.5","38","0.3","34","0.3"
"Thailand","58","0.5","101","0.8","39","0.4","62","0.5","62","0.5"
"Turkey","218","1.8","210","1.8","208","2.1","178","1.4","120","0.9"
"Vietnam","101","0.8","79","0.7","37","0.4","63","0.5","47","0.4"
"Other","1,003","8.4","912","7.6","803","8.0","717","5.7","1,033","7.9"
"European Union (EU)  (c)","3,474","29.2","3,552","29.8","3,177","31.6","2,967","23.7","3,035","23.2"
"Asian Clearing Union (ACU) (d)","1,266","10.6","1,252","10.5","1,004","10.0","1,338","10.7","1,343","10.2"
"SAARC Region (e)","1,107","9.3","1,133","9.5","917","9.1","1,259","10.1","1,259","9.6"
"Middle East (f)","1,155","9.7","1,092","9.1","918","9.1","1,185","9.5","1,159","8.8"
"APTA  Region (g)","1,218","10.2","1,247","10.4","1,058","10.5","1,410","11.3","1,409","10.7"
"BIMSTEC (h)","990","8.3","1,046","8.8","812","8.1","1,127","9.0","1,139","8.7"
"C.I.S.  Countries (i)","284","2.4","271","2.3","265","2.6","250","2.0","245","1.9"
"(a)","The countries which are not mentioned have relatively smaller value of exports.","","","","","","","Sources:  National Gem and Jewellery","",""
