"","","","","","","","","","","","","Industries Under BOI","","","","","","","","","","","","",""
"","","Industries Registered under","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","Total","",""
"","","","Ministry of Industries","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Under Section 17 of the BOI Act (b)","","","","200 Garment Factory Programme (c)","","","","","","Under Section 16 of the BOI Act","","","","","","","",""
"District","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2018","2019","2020","2021","2022","2018","2019","2020","2021","2022","2018","2019","2020","2021","2022","2018","2019","2020","2021","2022","2018","2019","2020","2021","2022"
"","","","","(d)","(e)","","","","(d)","(e)","","","","(d)","(e)","","","","(d)","(e)","","","","(d)","(e)"
"1. 
 Colombo","1,494","1,553","1,599","1,664","1,728","635","628","626","646","643","20","20","23","30","27","343","318","311","298","287","2,492","2,519","2,559","2,638","2,685"
"2. 
 Gampaha","516","565","622","692","737","530","549","609","646","653","10","10","10","10","9","92","87","84","83","79","1,148","1,211","1,325","1,431","1,478"
"3. 
 Kalutara","165","180","196","223","240","149","148","147","159","165","5","5","7","9","7","22","20","19","19","16","341","353","369","410","428"
"4. 
 Kurunegala","77","80","83","110","125","70","77","83","91","90","5","6","6","7","8","6","6","6","7","5","158","169","178","215","228"
"5. 
 Kandy","100","103","105","108","116","73","75","77","77","94","4","4","4","4","4","24","24","21","20","7","201","206","207","209","221"
"6. 
 Galle","50","57","58","61","62","79","78","86","88","91","4","4","7","11","7","56","52","53","51","48","189","191","204","211","208"
"7. 
 Puttalam","64","69","75","88","97","79","87","88","93","78","3","4","4","4","4","12","7","7","7","20","158","167","174","192","199"
"8. 
 Matara","49","49","50","54","61","25","29","29","33","68","1","1","1","1","5","6","6","6","6","1","81","85","86","94","135"
"9. 
 Ratnapura","22","49","49","54","61","52","52","48","50","44","6","6","6","7","1","5","5","4","4","4","85","112","107","115","110"
"10.  Kegalle","21","34","35","39","45","39","40","41","48","32","5","6","6","6","1","3","3","3","3","6","68","83","85","96","84"
"11.  Hambantota","16","16","16","20","21","34","33","32","37","48","3","4","5","4","7","8","9","9","9","4","61","62","62","70","80"
"12.  Anuradhapura","15","17","17","17","19","21","21","19","20","39","3","3","4","4","4","1","-","-","-","9","40","41","40","41","71"
"13.  Nuwara Eliya","6","6","6","7","8","67","67","67","67","46","6","5","5","4","6","2","2","2","2","3","81","80","80","80","63"
"14.  Matale","21","24","29","32","34","40","42","42","42","18","1","1","1","1","5","5","4","4","4","-","67","71","76","79","57"
"15.  Badulla","8","8","9","9","9","35","35","35","36","37","2","1","1","1","1","2","2","2","2","2","47","46","47","48","49"
"16.  Ampara","10","16","17","18","21","10","9","8","8","17","4","4","4","7","2","3","3","3","3","-","27","32","32","36","40"
"17.  Polonnaruwa","9","10","10","16","18","7","8","6","6","8","2","2","2","2","7","-","-","-","-","3","18","20","18","24","36"
"18.  Moneragala","3","3","3","3","3","8","10","9","11","24","1","1","1","-","-","-","-","-","-","-","12","14","13","14","27"
"19.  Batticaloa","11","15","16","16","17","14","13","14","17","7","1","1","2","2","2","-","-","-","-","-","26","29","32","35","26"
"20.  Trincomalee","6","9","11","11","11","23","25","24","25","12","1","1","1","1","-","-","-","-","-","-","30","35","36","37","23"
"21.  Jaffna","5","6","7","9","10","6","7","10","10","10","-","-","-","1","-","-","-","-","-","-","11","13","17","20","20"
"22.  Vavuniya","2","3","3","4","4","6","7","8","10","11","-","-","-","-","-","-","-","-","-","-","8","10","11","14","15"
"23.  Mannar","2","2","2","2","2","1","2","1","2","6","1","1","-","-","-","1","1","1","1","-","5","6","4","5","8"
