"","2018","","2019","","2020","","2021","","2022 (b)",""
"Countries","","","","","","","","","",""
"","Value","Share  (%)","Value","Share (%)","Value","Share (%)","Value","Share (%)","Value","Share (%)"
"Largest Import Origins in 2022","","","","","","","","","",""
"India","4,231","19.0","3,899","19.6","3,079","19.2","4,625","22.4","4,738","25.9"
"China","4,116","18.5","4,034","20.2","3,579","22.3","4,756","23.0","3,285","18.0"
"Malaysia","794","3.6","853","4.3","611","3.8","803","3.9","969","5.3"
"Singapore","1,372","6.2","964","4.8","692","4.3","792","3.8","871","4.8"
"United Arab Emirates","1,835","8.3","1,669","8.4","1,035","6.4","1,413","6.8","666","3.6"
"South Africa","258","1.2","191","1.0","224","1.4","484","2.3","433","2.4"
"United States of America","519","2.3","542","2.7","495","3.1","511","2.5","378","2.1"
"Russia","204","0.9","206","1.0","232","1.4","191","0.9","376","2.1"
"Indonesia","427","1.9","422","2.1","333","2.1","470","2.3","343","1.9"
"Pakistan","428","1.9","370","1.9","324","2.0","394","1.9","342","1.9"
"Other Import Origins","","","","","","","","","",""
"Australia","158","0.7","153","0.8","123","0.8","291","1.4","182","1.0"
"Austria","72","0.3","118","0.6","91","0.6","61","0.3","49","0.3"
"Bangladesh","35","0.2","41","0.2","48","0.3","83","0.4","82","0.4"
"Belgium - Luxembourg","81","0.4","76","0.4","48","0.3","119","0.6","58","0.3"
"Brazil","46","0.2","33","0.2","28","0.2","37","0.2","34","0.2"
"Canada","226","1.0","224","1.1","208","1.3","119","0.6","102","0.6"
"Denmark","48","0.2","40","0.2","50","0.3","36","0.2","30","0.2"
"Finland","10","0.05","9","0.05","9","0.1","14","0.1","17","0.1"
"France","261","1.2","220","1.1","116","0.7","137","0.7","110","0.6"
"Germany","488","2.2","388","1.9","316","2.0","347","1.7","286","1.6"
"Hong Kong","393","1.8","304","1.5","221","1.4","291","1.4","247","1.3"
"Hungary","6","0.03","6","0.03","6","0.04","5","0.02","14","0.1"
"Iraq","3","0.01","29","0.1","9","0.1","37","0.2","25","0.1"
"Israel","64","0.3","85","0.4","67","0.4","100","0.5","121","0.7"
"Italy","318","1.4","307","1.5","266","1.7","315","1.5","289","1.6"
"Japan","1,585","7.1","875","4.4","528","3.3","419","2.0","252","1.4"
"Kuwait","25","0.1","15","0.1","60","0.4","16","0.1","15","0.1"
"Maldives","193","0.9","33","0.2","35","0.2","220","1.1","157","0.9"
"Netherlands","78","0.4","123","0.6","82","0.5","87","0.4","79","0.4"
"New Zealand","311","1.4","276","1.4","301","1.9","276","1.3","164","0.9"
"Norway","12","0.1","9","0.05","13","0.1","11","0.1","19","0.1"
"Oman","107","0.5","132","0.7","191","1.2","95","0.5","115","0.6"
"Philippines","51","0.2","36","0.2","43","0.3","65","0.3","30","0.2"
"Poland","51","0.2","20","0.1","18","0.1","27","0.1","25","0.1"
"Portugal","9","0.04","7","0.04","8","0.05","20","0.1","19","0.1"
"Qatar","92","0.4","26","0.1","27","0.2","60","0.3","24","0.1"
"Romania","18","0.1","16","0.1","3","0.02","48","0.2","53","0.3"
"Saudi Arabia","261","1.2","334","1.7","217","1.4","353","1.7","105","0.6"
"South Korea","309","1.4","253","1.3","194","1.2","300","1.5","225","1.2"
"Spain","70","0.3","94","0.5","86","0.5","121","0.6","108","0.6"
"Sweden","56","0.3","51","0.3","52","0.3","49","0.2","46","0.3"
"Switzerland","295","1.3","109","0.5","129","0.8","99","0.5","105","0.6"
"Thailand","497","2.2","437","2.2","363","2.3","398","1.9","293","1.6"
"Turkey","133","0.6","106","0.5","91","0.6","131","0.6","164","0.9"
"Ukraine","74","0.3","74","0.4","76","0.5","91","0.4","48","0.3"
"United Kingdom","367","1.7","369","1.9","210","1.3","237","1.1","194","1.1"
"Vietnam","263","1.2","302","1.5","250","1.6","398","1.9","243","1.3"
"Other","985","4.4","1,055","5.3","867","5.4","683","3.3","1,760","9.6"
"European Union (EU)(c)","2,013","9.1","1,952","9.8","1,468","9.1","1,479","7.2","1,241","6.8"
"Asian Clearing Union (ACU) (d)","4,941","22.2","4,402","22.1","3,517","21.9","5,340","25.9","5,331","29.1"
"SAARC Region (e)","4,887","22.0","4,343","21.8","3,486","21.7","5,323","25.8","5,319","29.1"
"Middle East (f)","2,611","11.7","2,443","12.3","1,747","10.9","2,243","10.9","1,254","6.9"
"APTA Region (g)","8,699","39.1","8,230","41.3","6,900","43.0","9,766","47.3","8,331","45.5"
"BIMSTEC (h)","4,803","21.6","4,428","22.2","3,514","21.9","5,114","24.8","5,120","28.0"
"C.I.S.  Countries (i)","325","1.5","319","1.6","345","2.2","324","1.6","430","2.4"
"(a)  The countries which are not mentioned have relatively smaller value of imports.","","","","","","","","Sources: Ceylon Petroleum Corporation","",""
