"","No. of Projects","","","","Estimated Investment (Rs. million)","","","","","",""
"Category","","","","","","","","","(No.)","",""
"","2021","2022","","2021 (a)","","","2022 (b)","","","",""
"","","","","","","","","","2021 (a)","2022 (b)",""
"","(a)","(b)","Foreign","Local","Total","Foreign","Local","Total","","",""
"BOI  (Under Act No. 4 of 1978)","","","","","","","","","","",""
"Projects Approved","135","160","347,871","166,184","514,056","282,842","263,529","546,371","25,632","26,177",""
"Under Section 17 (c)","130","158","346,878","165,735","512,613","281,789","262,707","544,496","25,459","26,013",""
"Under Section 16","5","2","993","449","1,442","1,054","821","1,875","173","164",""
"Projects Contracted Under Section 17 (c)","93","142","41,305","74,130","115,436","327,810","188,864","516,674","21,685","21,685",""
"Realised Investment Under Section 17 (d)(e)","1,875","1,922","2,258,989","2,021,406","4,280,395","2,420,110","2,055,046","4,475,156","486,362","n.a.",""
"Projects in Commercial Operations (d)","2,735","2,718","651,662","1,057,348","1,709,010","662,641","1,059,813","1,722,454","459,828","461,371","2"
"Under Section 17 (c)","2,100","2,116","625,665","1,020,523","1,646,188","637,450","1,029,961","1,667,412","375,007","380,939",""
"","","","","","","","","","","",""
"Under 200 Garment Factory Programme","116","107","505","25,639","26,143","503","18,714","19,217","56,543","52,513",""
"Under Section 16","519","495","25,492","11,187","36,679","24,688","11,137","35,825","28,278","27,919",""
"Ministry of Industries","","","","","","","","","","",""
"Companies Registered (d)","3,259","3,451","-","-","209,366","-","-","204,600","n.a.","n.a.",""
"(a) Revised","","","","","","","","Sources:  Board of Investment of Sri Lanka","","",""
