"","","","Labour Force Trends (a)","","","","",""
"","","","","","","2022 (b)","",""
"Item","2019","2020","2021","","","","",""
"","","","","1st Quarter","2nd Quarter","3rd Quarter","4th Quarter","Annual"
"Household Population, ‘000","16,424","16,739","17,134","17,105","17,126","17,186","17,230","17,162"
"Labour Force, ‘000","8,592","8,467","8,553","8,762","8,576","8,430","8,421","8,547"
"Employed","8,181","7,999","8,114","8,389","8,177","8,010","8,015","8,148"
"Unemployed","411","468","440","373","399","419","406","399"
"Labour Force Participation Rate","","","","","","","",""
"( % of Household Population)","52.3","50.6","49.9","51.2","50.1","49.0","48.9","49.8"
"Male","73.0","71.9","71.0","71.8","70.9","70.4","69.0","70.5"
"Female","34.5","32.0","31.8","33.6","32.1","31.0","31.6","32.1"
"Employment Status (%)","","","","","","","",""
"Public Sector Employees","14.9","14.8","15.2","14.9","15.1","15.1","15.3","15.1"
"Private Sector Employees","43.0","42.7","42.0","43.3","42.7","42.2","43.4","42.9"
"Employers","2.6","2.5","2.7","2.7","3.1","3.0","2.8","2.9"
"Own Account Workers","32.5","33.2","33.4","33.4","32.6","33.7","32.8","33.1"
"Unpaid Family Workers","7.0","6.8","6.6","5.6","6.5","6.0","5.6","5.9"
"Total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Unemployment, % of Labour Force","","","","","","","",""
"By Gender","","","","","","","",""
"Male","3.3","4.0","3.7","3.0","3.7","4.2","3.9","3.7"
"Female","7.4","8.5","7.9","6.5","6.5","6.4","6.5","6.5"
"By Level of Education","","","","","","","",""
"Grade 5 and below","...","...","...","...","...","...","...","..."
"Grade 6-10","3.3","4.0","3.4","3.0","3.0","3.4","4.2","3.4"
"GCE(O/L)","6.5","7.2","7.1","5.0","6.6","6.8","6.2","6.2"
"GCE(A/L) and above","8.5","9.8","9.1","7.5","7.8","8.7","7.2","7.8"
"By Age Group","","","","","","","",""
"15 - 19 years","26.0","31.7","25.2","20.5","21.9","38.6","30.5","27.9"
"20 - 29 years","15.3","18.1","18.3","14.2","17.1","16.6","17.2","16.3"
"30 - 39 years","3.1","3.5","3.8","3.1","2.5","3.4","3.6","3.1"
"40 years and above","1.2","1.1","1.0","1.1","1.1","1.3","1.1","1.2"
"Youth Unemployment Rate (age 15-24 years)","21.5","26.5","26.5","19.2","23.8","23.8","24.5","22.8"
"Overall Unemployment Rate","4.8","5.5","5.1","4.3","4.6","5.0","4.8","4.7"
"(a) Household population aged 15 years and above","","","","","","","Source: Department of Census and Statistics",""
