"","","","Major Rubber Export Destinations","","","","","","",""
"","","","Volume (kg  ‘000)","","","","","Value (US$ million)","",""
"Country","","","","","","","","","",""
"","2018","2019","2020","2021","2022 (a)","2018","2019","2020","2021","2022 (a)"
"European Union (b)","3,542","2,439","2,282","3,207","2,825","8.1","4.3","4.7","10.0","8.5"
"O/W Germany","1,467","1,161","865","1,237","970","3.6","2.1","1.9","4.1","3.2"
"China","865","500","714","980","1,120","2.2","1.0","1.6","3.2","3.8"
"Japan","1,578","1,486","1,294","1,658","1,555","4.3","3.2","3.0","5.9","5.9"
"Malaysia","456","1,055","2,481","2,121","835","0.7","1.3","3.3","3.7","1.0"
"Pakistan","3,054","3,474","5,948","4,363","5,490","5.1","5.2","9.8","8.7","8.7"
"Other Countries","4,487","4,049","3,047","3,161","3,314","11.2","9.2","7.6","10.6","13.3"
"Total","13,982","13,003","15,766","15,490","15,138","31.6","24.2","30.1","42.2","41.4"
"(a)  Provisional","","","","","","","","","Source: Sri Lanka Customs",""
