"","","","","Imports by Major Categories","","","","","","","","","","",""
"","","","Value in Rs. million","","","","","Value in US$ million","","","","","Percentage of Total Imports","",""
"Category","","","","","","","","","","","","","","",""
"","2018","2019","2020","2021","2022 (a)","2018","2019","2020","2021","2022 (a)","2018","2019","2020","2021","2022 (a)"
"1.  Consumer Goods","806,608","707,594","631,052","764,979","872,256","4,980","3,957","3,402","3,849","2,813","22.4","19.8","21.2","18.6","15.4"
"1.1  
Food and Beverages","259,659","255,125","288,477","330,670","502,195","1,606","1,427","1,554","1,666","1,608","7.2","7.2","9.7","8.1","8.8"
"Lentils","12,764","14,302","18,055","28,381","38,658","79","80","97","143","117","0.4","0.4","0.6","0.7","0.6"
"Onions","17,500","22,265","27,617","30,754","34,287","109","124","149","155","113","0.5","0.6","0.9","0.8","0.6"
"Sugar","40,045","35,714","51,146","56,672","82,644","248","200","276","288","256","1.1","1.0","1.7","1.4","1.4"
"Rice","16,679","2,293","1,936","14,680","87,423","107","13","11","73","292","0.5","0.1","0.1","0.4","1.6"
"Flour","494","490","1,252","1,044","39,003","3","3","7","5","113","…","…","…","…","0.6"
"Milk and Milk Products","54,002","55,647","61,933","63,094","68,332","332","312","334","318","225","1.5","1.6","2.1","1.5","1.2"
"Fish","31,128","37,553","34,650","23,761","19,261","192","210","186","119","63","0.9","1.1","1.2","0.6","0.3"
"Oil and Fats","7,561","5,256","19,818","36,494","12,538","47","29","107","184","44","0.2","0.1","0.7","0.9","0.2"
"Spices","18,562","20,668","23,572","25,265","43,181","114","115","127","127","137","0.5","0.6","0.8","0.6","0.7"
"Other","60,924","60,939","48,497","50,525","76,868","375","341","262","254","247","1.7","1.7","1.6","1.2","1.4"
"1.2   Other Consumer Goods","546,949","452,468","342,575","434,309","370,061","3,374","2,530","1,847","2,182","1,205","15.2","12.7","11.5","10.6","6.6"
"Personal Vehicles","254,586","145,905","52,561","2,547","3,912","1,574","816","283","13","12","7.1","4.1","1.8","0.1","0.1"
"Home Appliances - Radio Receivers","","","","","","","","","","","","","","",""
"","20,096","18,240","15,555","25,064","8,046","124","102","84","126","29","0.6","0.5","0.5","0.6","0.2"
"and Television Sets","","","","","","","","","","","","","","",""
"Household and Furniture Items","27,487","30,747","27,223","32,039","34,660","169","172","147","161","116","0.8","0.9","0.9","0.8","0.6"
"Rubber Products","15,456","14,825","10,806","20,326","18,707","95","83","58","102","61","0.4","0.4","0.4","0.5","0.3"
"Medical and Pharmaceutical Products","86,546","98,828","110,503","176,115","167,289","532","553","596","883","533","2.4","2.8","3.7","4.3","2.9"
"Other","142,777","143,923","125,927","178,218","137,448","880","805","680","897","454","4.0","4.0","4.2","4.3","2.5"
"2. 
Intermediate Goods","2,027,460","2,032,997","1,681,070","2,447,907","3,934,047","12,488","11,370","9,077","12,309","12,439","56.2","57.0","56.5","59.6","68.0"
"Fertiliser","42,682","39,570","48,227","31,414","96,506","262","221","259","158","276","1.2","1.1","1.6","0.8","1.5"
"Fuel","674,295","695,727","469,677","743,664","1,551,667","4,152","3,892","2,543","3,743","4,897","18.7","19.5","15.8","18.1","26.8"
"Chemical Products","146,939","148,647","154,280","213,541","307,427","904","831","831","1,074","966","4.1","4.2","5.2","5.2","5.3"
"Wheat and Maize","60,637","61,887","71,366","83,326","97,065","373","346","384","418","303","1.7","1.7","2.4","2.0","1.7"
"Textiles and Textile Articles","465,334","520,335","432,484","610,217","968,598","2,859","2,909","2,335","3,067","3,065","12.9","14.6","14.5","14.9","16.8"
"Diamonds, Precious Stones and Metals","90,070","36,051","21,666","28,583","66,731","573","201","117","144","204","2.6","1.0","0.7","0.7","1.1"
"Base Metals","111,908","100,678","85,443","172,882","89,138","683","563","460","866","323","3.1","2.8","2.9","4.2","1.8"
"Vehicle and Machinery Parts","48,036","48,301","44,398","69,442","78,936","296","270","239","349","255","1.3","1.4","1.5","1.7","1.4"
"Paper and Paperboards","86,136","81,781","71,048","93,287","149,237","529","457","383","469","466","2.4","2.3","2.4","2.3","2.5"
"Other","301,422","300,020","282,479","401,552","528,743","1,857","1,678","1,524","2,020","1,684","8.4","8.4","9.5","9.8","9.2"
"3. 
Investment Goods","760,942","822,954","660,212","887,914","928,089","4,690","4,603","3,563","4,463","3,030","21.1","23.1","22.2","21.6","16.6"
"Building Materials","247,730","269,733","191,816","248,519","282,596","1,525","1,509","1,036","1,249","926","6.9","7.6","6.5","6.1","5.1"
"Transport Equipment","108,057","106,528","64,835","79,412","39,173","668","597","348","399","132","3.0","3.0","2.2","1.9","0.7"
"Machinery and Equipment","404,175","445,332","402,967","558,819","605,441","2,492","2,490","2,176","2,810","1,969","11.2","12.5","13.6","13.6","10.8"
"Other","979","1,360","593","1,163","879","6","8","3","6","3","…","…","…","…","…"
"4.  Unclassified Imports","11,634","1,484","2,583","3,418","2,941","75","8","14","17","9","0.3","…","0.1","0.1","..."
"5.  Total Imports","3,606,644","3,565,028","2,974,915","4,104,218","5,737,333","22,233","19,937","16,055","20,637","18,291","100.0","100.0","100.0","100.0","100.0"
"(a) Provisional","","","","","","","","","","","","Sources:  Ceylon Petroleum Corporation","","",""
