"","","","","","","","","","","","","","","","","","","Rs. million"
"","","","","","","","","","","","Net Domestic Assets","","","","","","",""
"","","","","","","","","","","Domestic Credit","","","","","","","",""
"","","","","Credit to the Government (net) (f)","","","","","","Credit to Public Corporations","","","Credit to the Private Sector","","","","",""
"","","","","","","","","Total","","","Commercial","","","","","Total","",""
"","","","Commercial Banks","","LSBs","","","","","","","","LSBs","","","","","Total 
Total Net"
"","","","","","","","","","","","Banks","","","","","","Total",""
"","End","","","","","","","Credit to","Commercial","","","","","","","Credit","",""
"","","","","","","","","","","Total","","","","","","","Domestic","Other
Domestic"
"","of","Central","","","","","","the Govt.","Banks","","","","","","","to Private","",""
"","","","","","RDB/","","","","","Credit","","","","","LFCs","","Credit","Items
Assets"
"","Period","","","","","","","","","","","","RDB/","","","","",""
"","","Bank of","","","","","LFCs","(14)+(15)","(DBUs","","","","","","","Sector","",""
"","","","","","Pradeshiya","","","","","to Public","","","Pradeshiya","","(g)","","(20)+(22)","(net)
(29)+(30)"
"","","Sri Lanka","DBUs","OBUs","","Other","","+(16)+","and","","DBUs","OBUs","","Other","","(23)+(24)","",""
"","","","","","Sanwardhana","","","","","Corporations","","","Sanwardhana","","","","+(28)",""
"","","","","","","","","(17)+","OBUs)","","","","Bank","","","+(25)+","",""
"","","","","","Bank","","","","","","","","","","","","",""
"","","","","","","","","(18)+(19)","","","","","","","","(26)+(27)","",""
"","","(14)","(15)","(16)","(17)","(18)","(19)","(20)","(21)","(22)","(23)","(24)","(25)","(26)","(27)","(28)","(29)","(30)
(31)"
"2018","","472,817","1,643,185","400,709","6,750","511,820","64,756","3,100,037","755,380","755,380","5,135,547","425,805","142,102","611,724","1,185,946","7,501,124","11,356,541","-2,493,288
8,863,253"
"2019","","363,032","1,979,687","453,209","10,790","603,065","73,169","3,482,951","817,953","817,953","5,375,077","421,782","154,234","659,916","1,182,241","7,793,251","12,094,155","-2,738,391
9,355,764"
"2020","","868,892","3,203,694","475,476","10,178","732,035","75,471","5,365,746","1,002,174","1,002,174","5,748,117","422,820","172,102","764,378","1,177,098","8,284,515","14,652,435","-2,973,445 11,678,990"
"2021","","2,094,095","3,361,340","376,985","9,078","835,450","92,380","6,769,328","1,188,103","1,188,103","6,498,862","482,566","200,803","892,943","1,263,770","9,338,944","17,296,375","-3,312,401 13,983,974"
"2022","","3,432,493","3,639,290","399,325","15,440","866,044","116,037","8,468,630","1,747,033","1,747,033","6,734,988","679,143","237,062","922,074","1,346,892","9,920,159","20,135,822","-3,529,206 16,606,616"
"2021","January","924,317","3,395,036","438,606","9,983","745,651","66,933","5,580,527","1,058,127","1,058,127","5,756,203","440,410","173,704","774,352","1,199,556","8,344,226","14,982,879","-3,010,616 11,972,263"
"","February","996,460","3,359,173","437,488","10,384","772,376","67,917","5,643,798","1,080,014","1,080,014","5,828,486","447,532","177,984","789,573","1,196,087","8,439,661","15,163,473","-2,972,667 12,190,805"
"","March","1,092,195","3,411,001","438,651","10,237","773,447","74,465","5,799,997","1,098,446","1,098,446","5,926,001","462,174","180,695","810,687","1,189,804","8,569,361","15,467,803","-3,012,910 12,454,893"
"","April","1,070,547","3,454,527","439,981","11,166","769,024","74,119","5,819,364","1,093,379","1,093,379","5,981,867","464,048","182,693","819,790","1,188,352","8,636,750","15,549,493","-2,952,983 12,596,510"
"","May","1,054,612","3,520,193","439,478","11,916","783,904","75,567","5,885,669","1,112,730","1,112,730","6,029,091","472,406","182,477","820,292","1,190,264","8,694,530","15,692,929","-2,987,436 12,705,493"
