"","2018","2019","2020","2021","2022"
"Category","","","","",""
"","December","December","December","December(a)","December(b)"
"1. Capital Adequacy","","","","",""
"1.1 Core Capital to Risk Weighted Assets (CCR) (c)","23.6","27.2","33.3","29.4","46.2"
"1.2 Capital Base to Risk Weighted Assets (RWCAR) (d)","23.6","27.9","34.1","30.2","46.2"
"1.3 Capital Funds to Total Assets (Net)","30.4","36.5","45.7","40.2","63.8"
"1.4 Borrowings to Equity (times)","2.0","1.6","1.1","1.4","0.4"
"2. Asset Quality","","","","",""
"2.1 Gross Non Performing Advances to Total Advances","3.7","4.9","13.6","18.5","66.2"
"2.2 Net Non Performing Advances to Total Advances (e)","2.0","1.5","5.2","8.4","34.3"
"2.3 Impairment Made Against Total Advances (f)","1.7","3.4","8.1","9.8","31.9"
"2.4 Impairment Coverage Ratio (Stage 03 Impairment to","","","","",""
"","46.1","69.2","61.3","54.6","46.5"
"Stage 03 Advances) (g)","","","","",""
"3. Liquidity","","","","",""
"3.1 Regulatory Liquid Assets to Total Assets","7.6","6.4","4.7","12.0","7.4"
"3.2 Regulatory Liquid Assets to Borrowings","12.5","11.7","10.8","24.8","41.1"
"4. Earnings (h)","","","","",""
"4.1 Return on Assets (i)","6.0","6.3","5.5","8.6","5.6"
"4.2 Return on Equity (j)","12.0","10.0","6.1","11.4","9.8"
"4.3 Interest Income to Interest Expenses","287.7","295.3","404.2","598.1","484.8"
"4.4 Net Interest Margin (NIM) (k)","10.5","14.4","15.1","14.4","5.5"
"4.5 Efficiency Ratio (l)","46.8","52.9","55.0","42.7","26.8"
"4.6 Cost to Income Ratio","66.4","73.5","74.5","57.1","30.6"
"5. Assets/Funding Structure (as a % of Total Net Assets)","","","","",""
"5.1 Equity","30.4","36.5","45.7","40.2","63.8"
"5.2 Borrowings","62.2","56.9","48.4","54.4","25.7"
"5.3 Loans and Advances","86.2","86.3","87.9","83.6","77.6"
"5.4 Investments","1.2","1.2","1.1","0.9","0.2"
