"","","","","","","","","","","","Commodities","",""
"","","","","","","","","Manufactured","","","","",""
"","","","","Crude","Mineral Fuels,","","Chemicals","","Machinery","","and","",""
"","","","","","","Animal and","","Goods","","Miscellaneous","","","Total Exports"
"","Period","Food and","Beverages","Materials,","Lubricants","","and Related","","and","","Transactions","Total",""
"","","","","","","","","","","","","","(Rs. million)"
"","","","","","","Vegetable Oils,","","Classified","","Manufactured","","",""
"","","Live Animals","and Tobacco","Inedible,","and Related","","Products,","","Transport","","Not Classified","Exports",""
"","","","","","","Fats and Waxes","","Chiefly by","","Articles","","",""
"","","","","except Fuels","Materials","","n.e.s.","","Equipment","","Elsewhere in","",""
"","","","","","","","","Material","","","","",""
"","","","","","","","","","","","the SITC","",""
"2018","","2,633","165","348","622","89","215","1,599","541","5,677","…","11,890","1,933,533"
"2019","","2,542","162","343","521","74","223","1,628","532","5,914","…","11,940","2,134,796"
"2020","","2,409","117","369","374","97","224","1,344","396","4,719","…","10,047","1,858,927"
"2021","","2,846","145","433","506","129","292","1,701","632","5,813","2","12,499","2,486,943"
"2022 (b)","","2,702","136","450","568","90","271","1,876","692","6,320","1","13,106","4,234,913"
"2020","1st  Quarter","536","27","82","178","16","47","334","101","1,327","-","2,650","483,205"
"","2nd Quarter","542","20","72","42","18","49","261","71","688","-","1,763","330,996"
"","3rd  Quarter","732","39","111","77","33","63","401","118","1,457","…","3,032","561,826"
"","4th  Quarter","599","30","103","77","29","64","347","107","1,247","…","2,602","482,899"
"2021","1st  Quarter","676","34","111","86","30","67","407","148","1,424","…","2,982","578,579"
"","2nd Quarter","603","31","99","111","27","72","386","141","1,247","…","2,717","540,716"
"","3rd  Quarter","741","34","113","152","36","73","437","147","1,507","…","3,239","650,462"
"","4th  Quarter","826","46","111","158","36","80","471","195","1,636","1","3,560","717,186"
"2022 (b)","1st  Quarter","633","33","121","180","25","64","462","163","1,573","…","3,254","713,406"
"","2nd Quarter","649","35","113","166","28","71","466","162","1,578","…","3,268","1,136,284"
"","3rd  Quarter","742","36","104","95","21","75","507","187","1,703","…","3,470","1,253,940"
"","4th  Quarter","677","31","113","128","16","61","442","180","1,467","…","3,114","1,131,283"
"2021","January","209","10","31","34","7","22","132","47","444","…","937","178,426"
"","February","210","9","33","23","10","21","123","47","475","-","952","184,698"
"","March","257","14","47","29","13","25","152","54","504","-","1,094","215,454"
"","April","172","9","30","36","8","18","105","37","404","-","818","161,528"
"","May","204","9","33","33","8","27","131","47","398","…","892","177,970"
"","June","227","14","36","41","10","27","149","57","445","-","1,007","201,218"
"","July","275","10","38","52","13","25","146","55","490","-","1,104","220,762"
"","August","241","15","38","46","14","24","157","49","518","-","1,101","220,754"
"","September","224","9","38","54","10","24","133","44","499","...","1,034","208,946"
"","October","278","13","36","48","13","24","155","87","539","…","1,192","239,767"
"","November","303","15","39","59","12","26","161","57","540","1","1,211","244,545"
"","December","246","18","36","51","12","30","155","52","557","…","1,156","232,875"
"2022 (b)","January","216","9","38","67","7","21","146","52","547","…","1,103","222,136"
"","February","213","12","42","57","9","19","153","55","533","…","1,093","220,566"
"","March","204","12","41","56","9","24","163","57","492","…","1,058","270,704"
"","April","183","10","36","59","9","23","130","49","472","…","971","310,147"
"","May","193","12","37","53","9","24","163","54","503","…","1,048","376,276"
"","June","273","13","40","54","10","24","173","59","604","…","1,249","449,861"
"","July","236","14","33","32","8","26","166","65","584","-","1,165","420,271"
"","August","269","11","36","32","8","23","176","62","607","…","1,225","442,357"
"","September","238","11","34","30","5","26","164","60","512","…","1,080","391,312"
"","October","227","11","42","38","5","25","159","70","476","-","1,052","381,874"
"","November","227","9","24","41","5","18","139","55","478","…","995","361,697"
"","December","224","11","47","49","5","18","144","56","513","-","1,068","387,713"
"","(a) Data is compiled based on the latest version of SITC - Revision 4 published in 2006.","","","","","","","","","","Sources: Ceylon Petroleum Corporation and Other Exporters of Petroleum","",""
