"","","","Daily","Non-National","","","All","","","","","","","","","Sectoral Share Price Indices (1985=100) (b)","","","","","","","",""
"","","Total","","","","Market","","S&P","","","","","","","","","","","","","","","",""
"","","","Average","Transactions","","","Share","","","","","","","","","","","","","","","","",""
"","","Turnover","","","","Capitalisation","","Sri","","","","","","","","","","","","","","","",""
"","","","Turnover","","","","Price","","","","","","","","","","","","","","","","",""
"","End","","","","","","","Lanka","","","","","","","","","","","","","","","",""
"","","","","Purchases","Sales","(a)","","","","","","","","","","","","","","","","","",""
"","","","","","","","Index","","","","","","","","","","","","","","","","",""
"","of","","","","","","","20 Index","","","","","","","","","","","","","","","",""
"","","","","","","","(ASPI)","","Automobiles & 
Components","Banks","Capital Goods","Commercial & 
Professional Services","Consumer Durables & 
Apparel","Consumer Services
Diversified Financials","Energy
Food & Staples 
Retailing","Food, Beverage & 
Tobacco","Healthcare 
Equipment & Services
Household & Personal 
Products","Insurance","Materials","Real Estate","Retailing","Software & Services","Telecommunication 
Services","Transportation
Utilities"
"","Period","","","","","","","(2004=","","","","","","","","","","","","","","","",""
"","","","","","","","(1985","","","","","","","","","","","","","","","","",""
"","","","","","","","","1,000)","","","","","","","","","","","","","","","",""
"","","Rs. mn","Rs. mn","Rs. mn","Rs. mn","Rs. bn","=100)","","","","","","","","","","","","","","","","",""
"","","","","","","","","(a)","","","","","","","","","","","","","","","",""
"","","","","","","","(a)","","","","","","","","","","","","","","","","",""
"2018","","200,069","834","77,077","100,316","2,839.5","6,052.4","3,135.2","","","","","","","","","","","","","","","",""
"2019","","171,408","711","56,538","68,272","2,851.3","6,129.2","2,937.0","","","","","","","","","","","","","","","",""
"2020","","396,882","1,899","52,889","104,245","2,960.7","6,774.2","2,638.1","1,159.5","587.3","1,023.0","832.2","1,127.4","277.0 
 891.6","745.4  1,244.2","967.5","1,303.5  1,320.2","1,416.1","1,351.5","798.0","1,009.9","-","943.3","4,870.2   1,002.6"
"2021","","1,173,157","4,888","34,016","86,665","","5,489.2  12,226.0","4,233.3","1,321.7","609.1","1,735.6","1,152.8","1,984.3","381.8   3,447.3","1,566.6  1,293.7","1,218.4","1,423.3  1,907.2","1,676.9","1,772.7","878.0","1,167.2","1,395.9","922.8","62,493.3   1,027.9"
"2022","","686,602","2,972","67,488","36,863","3,847.2","8,489.7","2,635.6","777.5","383.4","1,224.6","1,319.5","1,295.9","353.9   1,670.5","3,523.8  1,372.0","880.9","1,249.9  1,633.0","1,548.5","1,323.7","560.8","826.7","705.4","914.1","30,378.2 
 758.9"
"2021 January","","185,770","10,321","3,447","11,958","3,789.2","8,668.1","3,514.2","1,262.7","742.1","1,436.0","856.0","1,311.0","275.9   1,700.1","830.1  1,434.4","1,092.2","1,155.6  1,336.4","1,468.2","1,868.6","922.0","1,086.4","-","1,015.5","8,468.9   1,012.3"
"","February","97,740","5,430","2,572","7,532","3,269.4","7,476.3","2,966.6","1,057.6","632.6","1,184.4","766.9","1,144.2","250.6   1,331.6","664.5  1,379.9","977.7","1,062.5  1,239.4","1,398.9","1,591.7","800.8","916.9","-","971.3","7,795.0 
 915.0"
"","March","40,945","1,861","8,906","13,137","3,111.3","7,121.3","2,850.1","1,045.6","622.9","1,120.7","684.1","1,098.6","239.6   1,167.8","628.5  1,369.3","938.0","1,014.5  1,207.1","1,430.5","1,476.8","792.7","884.6","-","963.5","7,493.9 
 919.9"
"","April","52,996","2,944","2,082","5,854","3,178.8","7,208.2","2,869.3","1,126.0","600.1","1,175.8","680.6","1,168.1","232.6   1,211.6","601.3  1,351.5","931.7","1,052.3  1,287.9","1,353.1","1,593.7","766.5","915.4","-","949.7","7,826.8 
 909.5"
"","May","37,024","2,057","2,521","6,369","3,268.3","7,403.4","2,978.8","1,139.4","632.8","1,200.1","690.5","1,189.1","232.2   1,288.6","660.4  1,395.7","938.2","1,211.7  1,282.5","1,357.4","1,576.1","767.8","944.7","-","976.1","7,672.9 
 968.5"
"","June","46,473","2,213","2,510","3,670","3,470.2","7,837.8","2,968.3","1,130.0","636.1","1,164.5","747.9","1,170.4","238.6   1,800.4","663.6  1,416.7","961.8","1,110.8  1,403.0","1,354.6","1,585.5","800.3","949.6","-","932.7","8,385.9 
 960.0"
"","July","53,813","2,691","2,051","10,218","3,598.6","8,120.5","3,062.2","1,273.5","622.6","1,226.9","935.1","1,398.2","287.9   1,783.6","627.8  1,442.2","987.9","1,147.1  1,532.3","1,365.8","1,705.6","807.3","1,005.6","-","911.4","11,199.1 
 982.7"
"","August","143,510","6,523","2,096","5,447","4,009.5","8,997.6","3,364.6","1,118.0","633.5","1,266.6","1,043.3","1,872.4","274.8   2,215.1","626.6  1,390.7","1,022.2","1,181.7  1,764.1","1,290.7","1,598.9","809.4","917.1","-","860.2","27,986.2 
 959.1"
"","September","134,727","6,416","2,466","9,370","4,215.6","9,459.9","3,534.8","1,139.4","631.4","1,351.2","1,032.2","1,822.0","348.3   2,357.6","661.0  1,394.1","1,027.6","1,295.3  1,796.4","1,328.2","1,552.4","821.7","936.4","-","903.7","33,228.8 
 982.8"
"","October","77,677","4,088","938","2,362","","4,529.3  10,162.9","3,708.5","1,205.1","683.3","1,438.7","956.6","1,843.4","381.5   2,734.1","782.0  1,351.7","1,066.1","1,356.6  1,745.3","1,360.6","1,640.8","848.5","963.0","-","918.0","36,053.1 
 984.7"
"","November","153,391","7,670","2,126","6,125","","5,105.7  11,440.5","3,876.0","1,132.7","632.0","1,521.3","1,143.1","1,925.1","342.4   3,805.6","771.6  1,264.8","1,123.4","1,303.9  1,583.6","1,381.0","1,688.1","833.9","1,049.3","-","917.5","46,906.5   1,024.1"
"","December","149,092","6,482","2,304","4,624","","5,489.2  12,226.0","4,233.3","1,321.7","609.1","1,735.6","1,152.8","1,984.3","381.8   3,447.3","1,566.6  1,293.7","1,218.4","1,423.3  1,907.2","1,676.9","1,772.7","878.0","1,167.2","1,395.9","922.8","62,493.3   1,027.9"
"2022 January","","164,203","8,642","15,331","18,061","","5,815.5  13,009.5","4,397.6","1,394.1","628.1","1,876.7","1,166.5","2,122.5","392.2   3,664.0","1,411.0  1,301.7","1,275.6","1,880.1  1,828.2","1,999.8","1,821.3","905.3","1,574.9","1,180.7  1,041.3","","59,195.8 
1106.7"
"","February","86,582","4,810","1,834","2,225","","5,251.8  11,577.9","3,936.8","1,147.5","616.7","1,632.3","1,007.2","1,805.6","363.1   3,232.2","1,244.2  1,229.1","1,107.2","1,817.6  1,628.1","1,720.1","1,521.8","817.1","1,205.6","","937.6  1,019.2","49,314.3 
1004.2"
"","March","52,141","2,483","2,669","1,249","3,826.5","8,903.9","3,031.2","776.1","505.2","1,274.9","715.6","1,582.5","294.0   2,183.5","781.9  1,129.6","844.3","1,388.7  1,447.0","1,504.5","1,105.9","664.4","784.6","681.3","843.1","34,629.7 
867.3"
"","April","17,740","1,613","1,341","957","3,226.4","7,624.3","2,509.2","612.6","419.6","1,071.7","694.8","1,536.3","258.4   1,675.5","678.6  1,014.9","768.4","1,280.9  1,296.0","1,305.2","970.0","583.5","695.3","712.8","795.8","28,260.4 
810.7"
"","May","29,956","1,762","1,402","1,253","3,611.2","8,108.1","2,679.3","683.7","401.5","1,099.5","773.3","1,581.8","263.5   1,967.5","1,239.8  1,087.7","867.0","1,301.7  1,429.6","1,389.7","1,011.8","597.6","703.7","735.5","799.7","36,048.2 
778.8"
