"","NATIONAL  OUTPUT,  EXPENDITURE, INCOME AND EMPLOYMENT","","","","","","","","","TABLE 4"
"","Provincial Gross Domestic Product by Industrial Origin (Current Market Prices) (2017-2021)(a)","","","","","","","","",""
"","","","South-","North-","","North","North","","Sabarag-",""
"Year / Province","Western","Central","","","Eastern","","","Uva","","Sri Lanka"
"","","","ern","ern","","Western","Central","","amuwa",""
"GDP (Rs. mn)","","","","","","","","","",""
"2017","5,061,327","1,613,128","1,332,555","549,750","747,652","1,455,091","748,798","772,204","1,047,598","13,328,103"
"2018","5,595,202","1,676,090","1,447,992","598,885","797,183","1,531,660","817,205","777,237","1,049,454","14,290,907"
"2019(b)","6,703,457","1,660,097","1,489,169","754,053","831,294","1,740,670","751,232","875,927","1,105,077","15,910,976"
"2020(b)(c)","6,616,934","1,655,492","1,425,534","655,584","918,637","1,715,526","788,154","820,005","1,075,670","15,671,535"
"2021(b)(c)","7,514,447","1,791,668","1,619,026","729,573","952,822","1,934,402","852,240","918,457","1,287,556","17,600,191"
"GDP Shares (Percentage)","","","","","","","","","",""
"2017","38.0","12.1","10.0","4.1","5.6","10.9","5.6","5.8","7.9","100.0"
"2018","39.2","11.7","10.1","4.2","5.6","10.7","5.7","5.4","7.3","100.0"
"2019(b)","42.1","10.4","9.4","4.7","5.2","10.9","4.7","5.5","6.9","100.0"
"2020(b)(c)","42.2","10.6","9.1","4.2","5.9","10.9","5.0","5.2","6.9","100.0"
"2021(b)(c)","42.7","10.2","9.2","4.1","5.4","11.0","4.8","5.2","7.3","100.0"
"GDP By Sector (Rs. mn)","","","","","","","","","",""
"2017","","","","","","","","","",""
"Agriculture","101,464","148,838","185,018","77,185","107,167","144,208","83,700","102,682","93,733","1,043,994"
"Industry","1,653,090","457,551","212,134","122,546","137,517","377,654","117,034","214,658","276,374","3,568,560"
"Services","2,836,492","856,853","811,586","298,938","433,498","798,027","478,489","383,114","580,151","7,477,148"
"GDP (d)","5,061,327","1,613,128","1,332,555","549,750","747,652","1,455,091","748,798","772,204","1,047,598","13,328,103"
"2018","","","","","","","","","",""
"Agriculture","107,257","144,971","187,689","90,923","133,470","191,511","108,798","89,987","92,066","1,146,672"
"Industry","1,838,385","448,019","255,884","141,073","133,884","353,808","129,375","205,984","245,956","3,752,368"
"Services","3,179,429","942,269","882,754","316,568","462,846","857,646","510,367","415,959","623,252","8,191,090"
"GDP (d)","5,595,202","1,676,090","1,447,992","598,885","797,183","1,531,660","817,205","777,237","1,049,454","14,290,907"
"2019 (b)","","","","","","","","","",""
"Agriculture","123,519","124,015","185,250","103,491","108,932","221,604","95,227","98,100","94,404","1,154,540"
"Industry","2,114,857","491,972","310,520","243,602","215,693","523,227","171,615","265,779","307,310","4,644,574"
"Services","3,941,749","914,509","877,142","348,092","441,771","859,947","425,742","443,666","617,091","8,869,710"
"GDP (d)","6,703,457","1,660,097","1,489,169","754,053","831,294","1,740,670","751,232","875,927","1,105,077","15,910,976"
"2020 (b)(c)","","","","","","","","","",""
"Agriculture","136,548","158,700","179,731","100,770","120,488","240,312","137,647","113,286","103,540","1,291,023"
"Industry","2,095,898","436,100","288,799","166,824","292,223","493,963","151,427","206,057","286,559","4,417,850"
"Services","3,998,547","964,134","873,858","349,752","452,346","881,191","453,110","452,834","622,831","9,048,602"
"GDP (d)","6,616,934","1,655,492","1,425,534","655,584","918,637","1,715,526","788,154","820,005","1,075,670","15,671,535"
"2021 (b)(c)","","","","","","","","","",""
"Agriculture","158,078","213,281","237,622","104,458","137,334","268,119","164,386","146,523","125,110","1,554,911"
"Industry","2,543,426","500,015","331,299","205,614","299,402","608,436","169,642","240,157","377,614","5,275,605"
"Services","4,395,521","978,845","960,169","378,974","463,158","950,393","470,870","480,758","713,309","9,791,997"
"GDP (d)","7,514,447","1,791,668","1,619,026","729,573","952,822","1,934,402","852,240","918,457","1,287,556","17,600,191"
"(a) 2017 and 2018 data are based on GDP estimates of base year 2010 while 2019, 2020 and 2021 data are based on","","","","","","","","","Source:  Central Bank of Sri Lanka",""
"","GDP estimates of base year 2015 compiled by the Department of Census and Statistics.","","","","","","","","",""
"(b) Revised","","","","","","","","","",""
