"","","","","","","Page"
"","5.12   Quarterly Gross Official Reserves and Total Foreign Assets","…","…","…","…","183"
"5.13","Sectorwise Composition of External Debt","…","…","…","...","186"
"5.14","Exchange Rate Movements","…","…","…","...","193"
"","5.15  Quarterly Inter-Bank Forward Transaction Volumes","…","…","…","...","193"
"6. FISCAL POLICY AND GOVERNMENT FINANCE","","","","","",""
"6.1","Performance of the Fiscal Sector","…","…","…","…","197"
"6.2","Key Fiscal Balances (as a percentage of GDP)","…","…","…","…","199"
"6.3","Composition of Government Revenue - 2022","…","…","…","…","205"
"6.4","Composition of Government Recurrent Expenditure - 2022","…","…","…","…","207"
"6.5","Total Expenditure and Lending by Function - 2022","…","…","…","…","207"
"6.6","Outstanding Central Government Debt","…","…","…","…","210"
"6.7","","Composition of Outstanding Central Government Domestic Debt - as at end 2022","","…","…","212"
"6.8","Central Government Debt Service Payments (as a percentage of GDP)","","…","…","…","214"
"7. MONETARY POLICY, INTEREST RATES, MONEY AND CREDIT","","","","","",""
"7.1","Monetary Sector Developments","…","…","…","…","221"
"7.2","Movements in Key Policy Instruments and the Operating Target","","…","…","…","223"
"7.3","Contribution to CCPI based Headline Inflation (year-on-year)   …","","…","…","…","224"
"7.4","Contribution to NCPI based Headline Inflation (year-on-year)   …","","…","…","…","224"
"7.5","Movements in Core Inflation (year-on-year)","…","…","…","…","225"
"7.6","Rupee Liquidity in the Domestic Money Market and AWCMR  …","","…","…","…","227"
"7.7","Primary Market Treasury Bill Yields","","…","…","…","228"
"7.8","Secondary Market Yield Curve for Government Securities","","…","…","…","228"
"7.9","Movement of Selected Market Interest Rates","…","…","…","…","229"
"7.10","Average Weighted Lending Rates by Type of Securities (%)","…","…","…","…","230"
"","7.11   Composition of the Central Bank Balance Sheet","…","…","…","…","233"
"","","","","","",""
"","7.12   Contribution to Year-on-Year Change in Broad Money - M2b (Assets Side)   …","","","","",""
"7.13   Monthly Change in Domestic Credit","","…","…","…","…","236"
"","7.14   Credit to the Private Sector by Commercial Banks","…","…","…","…","237"
"7.15","Year-on-Year Growth of Private Sector Credit to Key Sectors  (%)","","…","…","…","238"
"7.16","Year-on-Year Growth of Monetary Aggregates","…","…","…","…","240"
"8. FINANCIAL SECTOR PERFORMANCE AND SYSTEM STABILITY","","","","","",""
"8.1","Performance of the Financial Sector","...","...","…","…","245"
"8.2","Off-Balance Sheet Exposure of the Banking Sector as at end 2022","","…","…","…","251"
"8.3","Stage 3 Loans of the Banking Sector","...","...","…","…","251"
"8.4","Impairment on Loans and Receivables of the Banking Sector","…","…","…","…","251"
"8.5","Liquidity Ratios of the Banking Sector","…","…","…","…","253"
"8.6","Cumulative Maturity Gap as a percentage of  Cumulative Outflows","","","…","…","253"
"8.7","Profitability Ratios of the Banking Sector","…","…","…","…","254"
"8.8","Capital Ratios of the Banking Sector","…","…","…","…","254"
"8.9","Total Loans and Advances (Gross) by Productwise for 2021 and 2022","","…","…","…","261"
"8.10","","Non Performing Loans and Provision Coverage of the LFCs and SLCs Sector","","…","…","261"
"8.11","Regulatory Liquidity Indicators of the LFCs and SLCs Sector","…","…","…","…","262"
"8.12","Profitability Indicators of the LFCs and SLCs Sector","…","…","…","…","263"
"8.13","Risk Weighted Assets and CAR","…","…","…","…","263"
"8.14","Categorisation of the UT Sector in terms of the Number of Funds","","…","…","…","266"
"8.15","Gross Written Premium of the Insurance Sector","…","…","…","…","267"
"8.16","Factors that Affected Daily Changes in Money Market Liquidity  …","","…","…","…","271"
"","8.17  Open Market Operation Auctions, Standing Facility, Standing Rate Corridor and","","","","",""
"","Average Weighted Call Money Market Rate","…","…","…","…","276"
"8.18","","Primary Market Weighted Average Yield Rates of Treasury Bills and  Treasury Bonds (per cent per annum)","","","","279"
"8.19","Movements of Price Indices and Market Capitalisation","…","…","…","…","279"
"8.20","Foreign Participation at the CSE","…","…","…","…","280"
