"","","","","","Central Bank Trade Indices - Unit Value (a)","","","","","","","","","",""
"","","","","","","","","","","","","","","","2010=100"
"","","","","","","","Imports","","","","","","","",""
"","","Consumer Goods","","","","","Intermediate Goods","","","","","Investment Goods","","",""
"","","","","","","","","","","","","","","Total","Terms of"
"Period","","","","","","","","","","","","","","",""
"","","Non-Food","","","Textiles and","","","","","Machinery","","","","Imports","Trade"
"","Food and","","","","","","Chemical","Wheat and","","","Transport","Building","","",""
"","","Consumer","Total","Fuel","Textile","Fertiliser","","","Total","and","","","Total","",""
"","Beverages","","","","","","Products","Maize","","","Equipment","Materials","","",""
"","","Goods","","","Articles","","","","","Equipment","","","","",""
"2017","127.9","163.2","146.6","100.8","147.6","107.7","133.9","135.3","120.8","108.2","136.2","118.6","114.8","123.2","105.6"
"2018","134.1","171.3","157.2","128.6","157.6","115.5","151.3","150.5","137.3","107.1","147.5","125.7","117.4","136.5","105.8"
"2019","141.6","199.8","174.0","133.3","165.3","121.9","162.4","161.7","143.2","112.6","169.7","134.9","124.9","143.2","103.9"
"2020","151.4","204.5","176.2","102.6","166.8","110.8","166.2","171.2","131.8","100.7","192.0","139.8","115.6","134.9","106.4"
"2021 (b)","176.1","255.8","214.0","161.2","193.8","155.2","204.9","206.8","176.9","102.9","254.0","173.1","123.6","166.9","97.5"
"2019      1st    Quarter","140.1","197.8","171.9","131.9","163.5","142.4","170.9","169.6","144.0","122.9","149.6","131.3","128.0","144.2","103.3"
"2nd   Quarter","136.5","190.0","164.5","138.3","163.9","131.8","161.9","174.9","145.7","121.6","148.6","134.4","129.0","144.5","102.0"
"3rd    Quarter","147.1","201.6","180.3","128.8","166.4","120.3","156.7","162.7","141.0","108.4","201.8","136.9","125.8","143.3","110.3"
"4th    Quarter","143.1","207.5","178.2","134.6","167.2","104.1","160.8","149.0","142.2","101.5","183.6","137.1","118.1","141.1","100.3"
"2020  
   1st    Quarter","147.3","205.0","174.8","122.1","167.6","118.3","152.8","167.6","136.4","100.8","178.3","147.0","118.0","138.4","110.2(c)"
"2nd   Quarter","159.3","198.1","178.8","76.0","176.5","126.6","171.8","178.9","130.2","105.1","213.6","139.4","123.1","138.1","102.7"
"3rd    Quarter","147.8","210.9","176.3","95.1","163.3","114.9","165.5","169.0","126.7","106.1","193.9","132.9","115.9","131.1","109.5(c)"
"4th    Quarter","152.3","204.7","175.4","104.1","163.2","99.9","174.4","171.5","133.6","93.3","182.8","140.1","107.7","132.8","102.7(c)"
"2021 (b) 1st    Quarter","161.5","235.6","191.2","136.4","174.6","128.0","185.7","195.2","155.8","100.9","212.5","157.0","116.9","150.9","107.7"
"2nd   Quarter","176.8","234.5","204.6","150.6","183.9","142.7","209.8","197.3","172.2","114.9","226.8","168.6","133.0","166.3","88.0"
"3rd    Quarter","207.2","266.9","242.2","171.0","206.3","191.8","216.9","200.5","186.6","104.6","286.2","174.4","127.2","176.3","92.3"
"4th    Quarter","172.1","287.0","223.9","191.5","210.9","196.4","210.6","230.7","195.0","94.6","292.2","191.9","118.8","175.2","101.3"
"2020      January","139.8","205.9","173.4","144.0","167.7","121.1","155.1","135.9","146.4","108.3","181.0","141.4","122.0","144.0","103.9"
"February","156.9","199.4","179.3","130.4","162.6","121.7","148.0","156.3","136.7","114.1","189.3","149.9","129.3","142.7","116.9"
"March","147.0","212.5","171.5","94.4","174.2","110.2","155.8","175.0","124.9","77.7","165.7","152.7","100.5","126.7","109.9"
"April","165.2","197.0","181.2","71.2","170.5","134.7","164.9","184.3","121.0","103.1","227.3","129.9","130.5","135.4","91.1"
"May","161.1","182.7","172.1","65.6","174.6","138.8","174.7","178.2","133.5","144.7","196.9","147.0","149.3","146.0","104.4(c)"
"June","149.7","217.5","183.5","91.4","183.6","105.4","176.8","178.1","138.2","81.9","186.4","143.0","99.5","134.1","106.1"
"July","153.9","213.9","182.0","96.5","171.1","127.9","164.5","174.8","129.8","112.8","187.1","136.6","123.6","137.3","106.2"
"August","149.9","214.8","178.8","94.4","170.6","113.2","164.6","167.3","125.3","97.5","172.1","130.7","107.4","127.6","112.7"
"September","140.4","204.5","168.4","94.6","150.7","109.0","167.3","167.9","125.5","108.7","210.2","131.1","117.3","129.1","109.2"
"October","147.6","191.1","167.1","96.3","164.0","99.8","171.4","143.9","126.9","67.2","200.7","122.0","82.5","118.4","115.8"
"November","152.1","196.2","171.9","100.6","158.4","107.2","176.1","186.1","133.1","112.8","179.3","153.4","125.8","137.1","102.3"
"December","156.2","224.0","185.2","116.0","167.0","87.2","175.3","181.7","140.9","112.5","168.4","148.7","124.1","144.2","92.0"
"2021 (b)  January","152.8","224.0","179.5","121.9","172.0","139.7","178.2","168.2","144.6","108.1","177.6","151.1","120.9","144.7","108.7"
"February","170.1","225.1","194.7","136.6","171.0","134.5","188.4","191.7","155.5","115.2","198.0","152.3","128.0","154.6","112.5"
"March","164.6","255.1","200.1","151.9","180.5","120.3","189.9","209.2","166.1","88.7","260.0","166.5","107.5","153.2","103.1"
"April","165.6","239.3","199.9","147.1","182.9","138.1","203.1","206.6","165.1","84.7","210.7","159.9","102.8","150.6","86.5"
"May","181.3","217.9","198.8","153.4","184.9","164.1","217.3","207.4","171.7","145.9","245.0","170.6","158.3","172.6","87.5"
"June","182.8","242.3","212.4","160.1","183.8","135.3","208.8","187.8","182.7","135.5","228.3","174.6","151.4","178.9","88.2"
"July","219.0","256.4","242.2","166.3","200.6","191.6","212.3","178.4","186.0","103.9","301.3","186.7","130.0","177.3","94.0"
"August","197.6","268.9","237.4","167.7","202.6","172.4","220.8","227.6","180.5","113.3","233.0","168.1","130.9","174.8","90.7"
"September","206.3","277.4","247.3","183.6","215.5","259.2","218.3","177.7","195.1","97.9","320.1","168.7","121.2","176.8","92.3"
"October","205.5","258.4","233.3","202.6","217.9","189.7","199.4","242.6","205.2","63.3","204.5","196.6","84.7","163.1","116.6"
"November","172.8","278.5","218.9","177.3","211.0","212.6","217.9","250.5","193.8","117.4","419.8","194.1","150.3","185.2","93.8"
"December","157.0","312.5","222.5","193.5","204.9","198.8","213.9","194.9","188.2","114.4","183.7","186.2","130.5","177.5","95.5"
