"","","","","","","","","Year-on-Year","","","","Annual Average","","","","Contribution to Annual","",""
"","","","","Average Index","","","","","","","","","","","","","",""
"","Base","","","","","","","Percentage Change","","","","Percentage Change","","","","Average Increase (%)","",""
"Index","","","","","","","","","","","","","","","","","",""
"","Weights","","","","","","","","","","","","","","","","",""
"","","2017","2018","2019","2020","2021","Dec-18 Dec-19 Dec-20 Dec-21","","","","2018","2019","2020","2021","2018","2019","2020","2021"
"All items","100.0","119.0","124.1","129.5","135.4","143.4","2.8","4.8","4.2","12.1","4.3","4.3","4.6","6.0","100.0","100.0","100.0","100.0"
"Commodity-wise","","","","","","","","","","","","","","","","","",""
"Food and Non Alcoholic Beverages","28.2","127.5","131.8","132.8","147.9","165.2","-1.5","6.3","9.2","22.1","3.3","0.8","11.4","11.7","23.8","5.3","72.2","60.7"
"Alcoholic Beverages and Tobacco","1.0","186.0","193.5","215.9","223.5","231.2","7.0","9.7","4.3","7.9","4.0","11.6","3.5","3.4","1.5","4.3","1.3","1.0"
"Clothing and Footwear","2.3","126.3","134.9","145.5","153.2","163.4","7.7","8.0","5.0","10.9","6.8","7.9","5.3","6.6","3.9","4.5","3.0","2.9"
"Housing, Water, Electricity, Gas and","","","","","","","","","","","","","","","","","",""
"","32.0","110.2","111.4","115.5","117.8","119.3","1.4","2.5","2.4","4.4","1.0","3.7","1.9","1.3","7.2","24.9","12.0","6.2"
"Other Fuels","","","","","","","","","","","","","","","","","",""
"Furnishing, Household Equipment and","","","","","","","","","","","","","","","","","",""
"","2.5","118.0","127.2","135.2","134.3","142.4","3.9","5.4","-1.2","14.2","7.8","6.3","-0.7","6.0","4.6","3.8","-0.4","2.6"
"Routine Household Maintenance","","","","","","","","","","","","","","","","","",""
"Health","4.4","144.2","158.2","175.9","173.9","183.5","12.2","3.7","-2.9","11.1","9.7","11.2","-1.1","5.5","12.1","14.6","-1.5","5.2"
"Transport","10.6","96.9","105.8","112.4","117.2","125.1","12.2","4.4","4.8","7.5","9.2","6.2","4.3","6.8","18.6","13.0","8.6","10.5"
"Communication","3.3","119.8","118.0","108.9","97.3","97.3","-8.0","-8.5","-3.1","0.0","-1.5","-7.7","-10.7","0.0","-1.2","-5.6","-6.5","0.0"
"Recreation and Culture","1.3","109.9","112.9","117.0","117.5","118.2","2.0","3.3","0.0","2.9","2.7","3.7","0.4","0.7","0.8","1.0","0.1","0.1"
"Education","5.9","129.0","140.6","162.6","168.9","169.8","8.9","16.1","1.9","1.8","9.0","15.6","3.9","0.5","13.4","24.1","6.3","0.6"
"Restaurants and Hotels","5.1","116.4","127.8","135.0","138.5","151.4","7.2","2.9","2.4","26.8","9.8","5.6","2.6","9.3","11.6","6.9","3.0","8.2"
"Miscellaneous Goods and Services","3.3","134.0","139.4","144.6","148.0","153.0","1.2","4.2","2.3","7.1","4.1","3.7","2.4","3.3","3.6","3.2","1.9","2.0"
