"2021 (a)    1st    Quarter","11,592","5,810","2,905","1,248","488","1,266","1,676","1,639","457","3","33","14","1,390","901","243","49","1,470","31,185","161"
"2nd   Quarter","8,019","4,291","1,898","1,810","518","1,124","1,499","1,672","325","...","5","11","1,719","360","251","30","1,295","24,827","125"
"3rd    Quarter","15,100","5,061","1,277","2,780","434","1,625","1,282","2,095","546","400","14","16","3,158","709","256","26","1,628","36,406","181"
"4th    Quarter","15,182","8,517","901","2,048","576","1,669","1,822","2,158","746","331","16","22","2,383","1,108","353","5","1,810","39,645","197"
"2020         January","2,489","332","251","291","170","479","296","631","76","…","14","4","981","448","38","7","404","6,911","38"
"February","2,364","348","363","157","153","430","314","526","165","…","16","2","1,118","375","42","10","412","6,796","37"
"March","1,689","177","229","206","88","335","193","396","77","…","12","3","808","293","41","1","321","4,868","26"
"April","1,797","166","117","209","36","239","310","406","96","-","4","1","235","71","23","2","116","3,828","20"
"May","2,042","708","332","417","120","352","415","499","159","…","6","2","787","89","48","3","317","6,297","34"
"June","3,544","1,272","190","682","167","726","245","612","156","…","11","6","1,421","243","91","1","438","9,808","53"
"July","4,800","1,340","390","941","137","1,328","462","620","143","1","8","15","1,559","213","128","27","536","12,648","68"
"August","5,580","838","254","561","112","956","910","537","138","…","8","5","988","144","64","6","341","11,443","62"
"September","5,275","1,057","182","467","158","433","503","551","162","…","15","9","320","397","120","6","418","10,073","54"
"October","4,511","792","208","465","217","809","376","473","123","-","15","5","111","307","89","13","472","8,985","49"
"November","4,422","1,062","160","463","131","374","234","410","189","1","7","3","47","212","82","10","437","8,244","45"
"December","3,617","1,591","320","518","144","313","470","477","180","-","4","5","1","150","112","14","428","8,344","45"
"2021 (a)    January","5,105","1,699","742","318","145","316","419","505","149","…","11","2","109","214","87","14","446","10,280","54"
"February","3,162","1,640","1,006","526","93","297","468","488","144","…","7","7","421","246","87","7","385","8,985","46"
"March","3,325","2,471","1,157","404","250","653","789","646","164","3","15","5","860","441","69","28","640","11,920","61"
"April","1,769","1,632","643","262","112","368","539","555","77","…","3","3","681","153","49","4","394","7,242","37"
"May","2,667","828","513","845","166","380","346","552","138","-","1","4","655","97","93","6","427","7,720","39"
"June","3,583","1,831","742","703","241","376","614","565","110","…","1","4","383","110","108","20","474","9,864","49"
"July","5,701","1,615","483","1,201","169","802","530","794","275","126","3","5","772","274","78","19","675","13,521","68"
"August","4,363","1,933","423","1,097","137","446","530","709","128","208","3","7","1,486","106","75","5","416","12,073","60"
"September","5,035","1,513","371","482","127","377","222","592","143","67","8","5","900","329","102","2","537","10,812","54"
"October","6,172","1,870","312","532","133","486","368","636","354","44","6","10","1,054","271","63","1","575","12,887","64"
"November","4,848","3,277","365","635","286","728","1,035","810","271","211","7","6","762","538","169","2","644","14,593","72"
"December","4,162","3,370","224","880","156","456","418","713","120","76","3","7","567","299","121","2","591","12,165","60"
"(a) Provisional","","","","","","","","","","","","","","","","","","Source:  Sri Lanka Customs",""
