"","","","","","Assets (b)","","","","","","","","Liabilities (b)","","","",""
"","","Non Residents","","","","Residents","","","Non Residents","","","","","Residents","","",""
"","","","","","","","","","","","","","","","","","Total"
"","End of Period","","","","","","Other","","","","","","","","Other","","Assets/"
"","","Non","Central","Commercial","Inter","BOI","","Other","Non","","Central","Commercial","Inter","BOI","","Other",""
"","","Bank","","","","","Approved","","","Bank","","","","","Approved","","Liabilities"
"","","Bank","Bank","Banks","OBUs","Enterprises","","Assets","Bank","","Bank","Banks","OBUs","Enterprises","","Liabilities",""
"","","","","","","","Enterprises","","","","","","","","Enterprises","",""
"2017","","140,463   101,704","8,899","317,790","37,302","307,560","581,129","14,935","73,433","602,574","-","463,341","5,732","202,796","13,402","148,504","1,509,783"
"2018","","180,156   130,527","6,121","351,269","38,361","399,427","749,613","29,190","97,950","688,512","-","665,484","7,537","217,002","9,384","198,794","1,884,664"
"2019","","212,434   117,365","-","44,305","37,232","395,729","815,993","19,281","81,895","673,563","-","393,394","19,895","227,850","12,887","232,853","1,642,338"
"2020","","219,365   138,575","-","56,921","39,734","404,772","911,425","24,849","121,234","545,807","-","553,552","7,864","293,013","24,403","249,768","1,795,640"
"2021","","246,733   102,767","-","95,713","42,316","448,074","626,759","21,820","127,994","434,706","-","382,496","46,210","239,956","28,582","324,237","1,584,182"
"2020","January","215,377   126,293","-","40,795","38,571","396,018","868,817","20,111","78,028","738,945","-","408,584","19,672","218,752","9,412","232,589","1,705,982"
"","February","221,616   128,322","-","47,731","39,378","397,740","893,268","26,511","77,620","747,819","-","440,867","17,142","220,338","14,304","236,475","1,754,566"
"","March","237,794   144,040","-","50,842","41,060","425,862","963,192","17,472","77,598","806,396","-","474,903","14,586","251,432","13,144","242,204","1,880,261"
"","April","239,821   129,443","-","56,949","46,245","443,960","948,118","21,150","83,853","748,376","-","511,200","11,426","269,685","17,005","244,141","1,885,686"
"","May","235,150 
 93,146","-","54,258","52,325","432,213","928,905","18,302","79,464","721,361","-","504,007","9,915","256,439","19,910","223,204","1,814,299"
"","June","239,138 
 89,301","-","56,384","40,318","428,556","913,565","25,289","75,875","712,449","-","501,574","10,838","242,802","21,876","227,137","1,792,552"
"","July","237,653   113,051","-","48,339","50,024","424,751","922,943","26,626","71,297","707,246","-","524,677","10,064","255,541","23,209","231,354","1,823,388"
"","August","238,455   115,851","-","51,771","50,056","424,068","955,304","24,258","68,931","691,816","-","541,267","23,864","269,958","22,555","241,373","1,859,764"
"","September","227,915 
 99,147","-","51,002","46,658","413,084","949,479","21,851","76,647","667,150","-","522,951","10,237","266,207","26,152","239,792","1,809,136"
"","October","220,298   114,139","-","39,705","53,627","406,627","936,901","27,368","75,599","675,684","-","507,609","12,383","265,698","25,626","236,067","1,798,665"
"","November","225,885   127,522","-","47,832","62,036","398,254","938,626","23,602","80,592","671,878","-","515,339","11,503","271,166","25,518","247,762","1,823,757"
"","December","219,365   138,575","-","56,921","39,734","404,772","911,425","24,849","121,234","545,807","-","553,552","7,864","293,013","24,403","249,768","1,795,640"
"2021","January","239,627   153,368","-","54,842","50,355","419,076","906,878","22,625","89,245","566,714","-","591,903","14,233","295,159","27,307","262,211","1,846,773"
"","February","236,623   151,690","-","54,758","59,920","422,797","922,643","29,594","85,388","598,347","-","589,072","15,569","285,332","25,350","278,965","1,878,024"
"","March","246,048   120,193","-","64,503","45,016","432,733","934,775","21,319","85,407","555,495","-","595,758","28,407","292,019","30,631","276,870","1,864,586"
"","April","249,202   133,784","-","70,249","47,613","436,720","911,753","21,266","85,200","581,644","-","585,550","28,582","286,179","33,335","270,096","1,870,586"
"","May","249,698   144,321","-","65,209","50,159","439,405","934,606","22,948","89,731","601,404","-","569,505","29,836","304,754","27,771","283,346","1,906,347"
"","June","247,052   136,953","-","71,029","35,625","446,944","955,410","27,489","83,451","612,460","-","579,922","37,205","293,592","28,172","285,699","1,920,502"
"","July","250,403   157,403","-","66,257","45,891","459,677","953,470","22,672","79,590","604,481","-","614,244","44,116","287,890","28,828","296,626","1,955,774"
"","August","267,610   199,394","-","81,876","50,772","487,020","934,298","32,884","90,428","648,334","-","624,794","43,582","304,212","28,234","314,271","2,053,854"
"","September","255,702   166,461","-","56,110","44,602","450,936","902,100","19,584","93,573","510,438","-","625,171","41,967","275,884","27,272","321,192","1,895,496"
"","October","252,499   147,573","-","45,881","40,892","466,628","762,751","25,906","127,904","498,002","-","458,288","42,447","271,412","27,524","316,553","1,742,130"
"","November","253,016   134,621","-","53,857","41,942","461,044","714,813","20,882","107,011","474,094","-","431,506","46,516","268,698","29,195","323,155","1,680,174"
"","December","246,733   102,767","-","95,713","42,316","448,074","626,759","21,820","127,994","434,706","-","382,496","46,210","239,956","28,582","324,237","1,584,182"
"","(a)  An Offshore Banking Unit (OBU) is a unit in a commercial bank, established in terms of the Central Bank Circular No. 380 of 2 May 1979, which","","","","","","","","","","","","","","","Source: Central Bank of Sri Lanka",""
