"Total","1,277,875","118,850","1,396,725","1,297,087","127,059","1,424,146","1,297,521","119,823","1,417,344","1,352,324","108,747","1,461,071","1,386,957","106,515","1,493,472"
"","","","","","","","Percentage","","","","","","","",""
"Government Institutions","","","","","","","","","","","","","","",""
"Senior Level (e)","4.5","3.8","4.4","4.6","3.4","4.5","4.7","3.4","4.6","4.4","3.3","4.3","4.4","3.3","4.3"
"Tertiary Level (f)","7.2","14.8","7.8","7.0","13.7","7.6","6.8","14.2","7.3","6.6","15.2","7.2","3.5","3.0","3.5"
"Secondary Level (g)","66.4","66.9","66.4","66.7","65.7","66.6","67.2","66.0","67.1","66.3","68.2","66.4","69.9","82.1","70.7"
"Primary Level (h)","22.0","14.5","21.4","21.7","17.2","21.3","21.4","16.4","21.0","22.7","13.3","22.1","22.2","11.6","21.5"
"Total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Semi-Government Institutions","","","","","","","","","","","","","","",""
"Senior Level (e)","8.4","8.3","8.4","8.6","5.6","8.2","8.5","5.0","8.0","9.3","7.1","9.0","9.3","9.4","9.3"
"Tertiary Level (f)","13.8","8.4","13.2","14.5","8.5","13.7","13.4","8.1","12.7","13.2","8.4","12.7","12.8","11.3","12.6"
"Secondary Level (g)","35.0","20.1","33.2","33.2","18.4","31.3","33.5","15.6","31.2","32.4","16.6","30.7","31.6","20.2","30.5"
"Primary Level (h)","42.8","63.3","45.2","43.8","67.5","46.8","44.6","71.2","48.1","45.1","67.9","47.5","46.4","59.2","47.5"
"Total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Public Sector (Total)","","","","","","","","","","","","","","",""
"Senior Level (e)","5.2","4.9","5.1","5.3","3.9","5.1","5.3","3.8","5.2","5.2","4.2","5.1","5.1","4.5","5.1"
"Tertiary Level (f)","8.3","13.2","8.7","8.2","12.4","8.6","7.9","12.6","8.3","7.6","13.6","8.1","5.0","4.6","4.9"
"Secondary Level (g)","61.1","55.5","60.6","61.2","54.0","60.6","61.6","52.6","60.9","61.0","56.1","60.6","63.9","70.0","64.4"
"Primary Level (h)","25.5","26.4","25.6","25.3","29.7","25.7","25.2","31.0","25.7","26.2","26.2","26.2","25.9","20.9","25.6"
"Total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"(a)   Re-categorised in accordance with the definitions given in the Public Administration Circular No.06/2006 issued on 25th April 2006","","","","","","","","","","","","","","Source: Central Bank of Sri Lanka",""
