"Type of Security","","","","","","","","","",""
"","Amount","% of","Amount","% of","Amount","% of","Amount","% of","Amount","% of"
"","(Rs. mn)","Total","(Rs. mn)","Total","(Rs. mn)","Total","(Rs. mn)","Total","(Rs. mn)","Total"
"1. 
  Documentary Bills","11,783","0.3","13,654","0.3","10,963","0.2","5,597","0.1","7,342","0.1"
"2. 
  Government Securities","12,446","0.3","8,618","0.2","2,286","0.05","2,410","0.05","2,370","0.04"
"3. 
  Shares, Bonds, Debentures, Life Insurance","","","","","","","","","",""
"Policies and Other","101,586","2.5","107,103","2.3","106,650","2.2","137,012","2.7","163,344","2.8"
"4.    Fixed, Savings and Other Deposits, and","","","","","","","","","",""
"Certificates of Deposit","392,991","9.6","421,699","9.1","372,976","7.8","309,216","6.0","345,373","5.9"
"5.    Foreign Currency Deposits","19,289","0.5","22,922","0.5","21,994","0.5","25,678","0.5","48,935","0.8"
"6.    Stock in Trade/ Inventories","123,286","3.0","146,895","3.2","140,952","2.9","129,807","2.5","149,765","2.5"
"7.    Immovable Property, Plant and Machinery","1,283,108","31.3","1,405,673","30.2","1,497,987","31.3","1,555,058","30.4","1,652,649","28.0"
"8.    Personal Guarantees and Promissory Notes","716,409","17.5","783,843","16.9","760,367","15.9","985,425","19.2","1,097,779","18.6"
"9.    Trust Receipts","61,948","1.5","66,160","1.4","58,155","1.2","69,699","1.4","102,916","1.7"
"10.    Leasing and Hire Purchase Agreements","214,161","5.2","222,033","4.8","229,484","4.8","229,566","4.5","227,468","3.9"
"11.    Tractors and Motor Vehicles","60,577","1.5","79,744","1.7","73,816","1.5","75,740","1.5","84,281","1.4"
"12.    Other Types of Security","391,432","9.6","494,918","10.6","582,427","12.2","616,788","12.0","842,869","14.3"
"13.    Gold and Other Precious Metals under Pawning","241,655","5.9","253,582","5.5","293,838","6.1","332,650","6.5","392,973","6.7"
"14.    Unsecured","463,411","11.3","621,796","13.4","628,755","13.2","648,794","12.7","781,588","13.2"
"Total","4,094,082","100.0","4,648,640","100.0","4,780,650","100.0","5,123,439","100.0","5,899,652","100.0"
"Average Weighted Lending Rate (AWLR) (%)","13.88","","14.40","","13.59","","10.29","","9.87",""
