"","","","","Imports by Major Categories","","","","","","","","","","",""
"","","","Value in Rs. million","","","","","Value in US$ million","","","","","Percentage of Total Imports","",""
"Category","","","","","","","","","","","","","","",""
"","2017","2018","2019","2020","2021 (a)","2017","2018","2019","2020","2021 (a)","2017","2018","2019","2020","2021 (a)"
"1.  Consumer Goods","686,424","806,608","707,594","631,052","764,979","4,503","4,980","3,957","3,402","3,849","21.5","22.4","19.8","21.2","18.6"
"1.1  
Food and Beverages","280,646","259,659","255,125","288,477","330,670","1,841","1,606","1,427","1,554","1,666","8.8","7.2","7.2","9.7","8.1"
"Lentils","17,405","12,764","14,302","18,055","28,381","114","79","80","97","143","0.5","0.4","0.4","0.6","0.7"
"Onions","18,821","17,500","22,265","27,617","30,754","123","109","124","149","155","0.6","0.5","0.6","0.9","0.8"
"Sugar","39,041","40,045","35,714","51,146","56,672","256","248","200","276","288","1.2","1.1","1.0","1.7","1.4"
"Rice","45,881","16,679","2,293","1,936","14,680","301","107","13","11","73","1.4","0.5","0.1","0.1","0.4"
"Flour","300","494","490","1,252","1,044","2","3","3","7","5","…","…","…","…","…"
"Milk and Milk Products","48,145","54,002","55,647","61,933","63,094","316","332","312","334","318","1.5","1.5","1.6","2.1","1.5"
"Fish","32,685","31,128","37,553","34,650","23,761","214","192","210","186","119","1.0","0.9","1.1","1.2","0.6"
"Oil and Fats","7,010","7,561","5,256","19,818","36,494","46","47","29","107","184","0.2","0.2","0.1","0.7","0.9"
"Spices","14,132","18,562","20,668","23,572","25,265","93","114","115","127","127","0.4","0.5","0.6","0.8","0.6"
"Other","57,227","60,924","60,939","48,497","50,525","375","375","341","262","254","1.8","1.7","1.7","1.6","1.2"
"1.2   Other Consumer Goods","405,778","546,949","452,468","342,575","434,309","2,661","3,374","2,530","1,847","2,182","12.7","15.2","12.7","11.5","10.6"
"Personal Vehicles","117,811","254,586","145,905","52,561","2,547","773","1,574","816","283","13","3.7","7.1","4.1","1.8","0.1"
"Home Appliances - Radio Receivers","","","","","","","","","","","","","","",""
"","21,462","20,096","18,240","15,555","25,064","141","124","102","84","126","0.7","0.6","0.5","0.5","0.6"
"and Television Sets","","","","","","","","","","","","","","",""
"Household and Furniture Items","28,405","27,487","30,747","27,223","32,039","186","169","172","147","161","0.9","0.8","0.9","0.9","0.8"
"Rubber Products","14,373","15,456","14,825","10,806","20,326","94","95","83","58","102","0.4","0.4","0.4","0.4","0.5"
"Medical and Pharmaceutical Products","79,299","86,546","98,828","110,503","176,115","520","532","553","596","883","2.5","2.4","2.8","3.7","4.3"
"Other","144,428","142,777","143,923","125,927","178,218","948","880","805","680","897","4.5","4.0","4.0","4.2","4.3"
"2. 
Intermediate Goods","1,743,719","2,027,460","2,032,997","1,681,070","2,447,907","11,436","12,488","11,370","9,077","12,309","54.5","56.2","57.0","56.5","59.6"
"Fertiliser","15,703","42,682","39,570","48,227","31,414","103","262","221","259","158","0.5","1.2","1.1","1.6","0.8"
"Fuel","522,470","674,295","695,727","469,677","743,664","3,428","4,152","3,892","2,543","3,743","16.3","18.7","19.5","15.8","18.1"
"Chemical Products","127,232","146,939","148,647","154,280","213,541","834","904","831","831","1,074","4.0","4.1","4.2","5.2","5.2"
"Wheat and Maize","54,394","60,637","61,887","71,366","83,326","357","373","346","384","418","1.7","1.7","1.7","2.4","2.0"
"Textiles and Textile Articles","415,386","465,334","520,335","432,484","610,217","2,724","2,859","2,909","2,335","3,067","13.0","12.9","14.6","14.5","14.9"
"Diamonds, Precious Stones and Metals","117,845","90,070","36,051","21,666","28,583","772","573","201","117","144","3.7","2.6","1.0","0.7","0.7"
"Base Metals","95,895","111,908","100,678","85,443","172,882","629","683","563","460","866","3.0","3.1","2.8","2.9","4.2"
"Vehicle and Machinery Parts","44,908","48,036","48,301","44,398","69,442","295","296","270","239","349","1.4","1.3","1.4","1.5","1.7"
"Paper and Paperboards","73,927","86,136","81,781","71,048","93,287","485","529","457","383","469","2.3","2.4","2.3","2.4","2.3"
"Other","275,961","301,422","300,020","282,479","401,552","1,809","1,857","1,678","1,524","2,020","8.6","8.4","8.4","9.5","9.8"
"3. 
Investment Goods","746,175","760,942","822,954","660,212","887,914","4,895","4,690","4,603","3,563","4,463","23.3","21.1","23.1","22.2","21.6"
"Building Materials","242,621","247,730","269,733","191,816","248,519","1,591","1,525","1,509","1,036","1,249","7.6","6.9","7.6","6.5","6.1"
"Transport Equipment","102,914","108,057","106,528","64,835","79,412","675","668","597","348","399","3.2","3.0","3.0","2.2","1.9"
"Machinery and Equipment","399,453","404,175","445,332","402,967","558,819","2,621","2,492","2,490","2,176","2,810","12.5","11.2","12.5","13.6","13.6"
"Other","1,187","979","1,360","593","1,163","8","6","8","3","6","…","…","…","…","…"
"4.  Unclassified Imports","22,254","11,634","1,484","2,583","3,418","147","75","8","14","17","0.7","0.3","...","0.1","0.1"
"5.  Total Imports","3,198,572","3,606,644","3,565,028","2,974,915","4,104,218","20,980","22,233","19,937","16,055","20,637","100.0","100.0","100.0","100.0","100.0"
"(a) Provisional","","","","","","","","","","","","Sources:  Ceylon Petroleum Corporation","","",""
