"","","","","","","","","TABLE 41"
"","","","","Employees’ Trust Fund","","","",""
"","Member","Active","Contributing","Contributions","Refunds","Other Bene-","Total Member","Investments"
"Year","Accounts","Accounts","Employers","Received","Paid","fits Paid","Balances","of the Fund"
"","(million)(a)","(million)(a)","(number)","(Rs. million)","(Rs. million)","(Rs. million)","(Rs. million)","(Rs. million)"
"2012","9.8","2.2","70,194","12,745","8,566","232","153,631","157,951"
"2013","10.0","2.2","72,234","14,404","9,574","248","174,252","178,099"
"2014","12.0","2.4","74,362","15,852","13,859","374","193,869","198,653"
"2015","12.4","2.4","76,674","18,087","11,493","374","218,502","221,941"
"2016","12.5","2.5","77,842","20,318","13,478","393","245,608","248,870"
"2017","12.6","2.6","81,515","22,764","16,839","398","274,160","279,006"
"2018","13.9","2.6","82,416","25,282","18,292","425","306,455","310,771"
"2019","15.3","2.6","82,375","27,476","19,808","455","338,631","343,325"
"2020 (b)","15.9","2.5","75,756","26,751","18,570","405","375,215","376,579"
"2021 (c)","14.7","2.1","44,501","29,687","19,789","441","406,289","409,286"
"(a) Estimated","","","","","","","Source: Employees’ Trust Fund Board",""
