"","2022",""
"","Approved Estimates",""
"Ministry","",""
"","Recurrent","Capital"
"","Expenditure","Expenditure"
"1
HE the President, Prime Minister, Judges of the Supreme Court etc.","11,608","1,177"
"2
Ministry of Buddhasasana, Religious and Cultural Affairs","3,980","1,775"
"3
Ministry of Finance (b)","1,188,732","1,631,285"
"4
Ministry of Defence","326,296","46,750"
"5
Ministry of Economic Policies & Plan Implementation","2,023","5,065"
"6
Ministry of Mass Media","18,624","1,672"
"7
Ministry of Justice","12,812","11,937"
"8
Ministry of Health","121,529","37,000"
"9
Foreign Ministry","12,726","463"
"10 Ministry of Transport","16,690","16,540"
"11 Ministry of Energy","218","34"
"12 Ministry of Trade","16,248","3,200"
"13 Ministry of Highways","191","270,000"
"14 Ministry of Agriculture","9,838","23,557"
"15 Ministry of Power","237","529"
"16 Ministry of Lands","5,752","3,115"
"17 Ministry of Urban Development and Housing","438","15,867"
"18 Ministry of Education","135,455","27,450"
"19 Ministry of Public Services, Provincial Councils and Local Government","338,896","480"
"20 Ministry of Plantation","990","10,059"
"21 Ministry of Industries","1,142","6,500"
"22 Ministry of Fisheries","872","1,300"
"23 Ministry of Tourism","678","245"
"24 Ministry of Environment","1,124","2,475"
"25 Ministry of Wildlife and Forest Conservation","207","3,075"
"26 Ministry of Water Supply","363","47,151"
"27 Ministry of Development Co-ordination and Monitoring","169","50"
"28 Ministry of Ports and Shipping","741","800"
"29 Ministry of Technology","2,107","2,760"
"30 Ministry of Public Security","99,289","7,770"
"31 Ministry of Labour","3,133","800"
"32 Ministry of Youth and Sports","4,774","3,800"
"33 Ministry of Irrigation","3,605","64,242"
"34 State Ministry of National Heritage, Performing Arts and Rural Arts Promotion","1,498","300"
"35 State Ministry of Rural and School Sports Infrastructure Improvement","697","1,170"
"36 State Ministry of Women and Child Development, Pre-Schools and Primary Education, School Infrastructure and Education","",""
"","19,105","4,700"
"Services","",""
"37 State Ministry of Education Reforms, Open Universities and Distance Learning Promotion","690","1,425"
"38 State Ministry of Ornamental Fish, Inland Fish and Prawn Farming, Fishery Harbour Development, Multiday Fishing Activities","",""
"","1,456","375"
"and Fish Exports","",""
"39 State Ministry of Solar, Wind and Hydro Power Generation Projects Development","372","161"
"40 State Ministry of Backward Rural Areas Development and Promotion of Domestic Animal Husbandry and Minor Economic","",""
"","233","292"
"Crop Cultivation","",""
"41 State Ministry of Rattan, Brass, Pottery, Furniture and Rural Industrial Promotion","939","1,150"
"42 State Ministry of Home Affairs","33,646","88,775"
"43 State Ministry of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernisation","",""
"","1,405","2,300"
"and Tea and Rubber Export Promotion","",""
"44 State Ministry of Urban Development, Waste Disposal and Community Cleanliness","419","4,000"
"45 State Ministry of Foreign Employment Promotion and Market Diversification","685","200"
"46 State Ministry of Samurdhi Household Economy, Micro Finance, Self Employment and Business Development","73,864","1,166"
"47 State Ministry of Rural Housing, Construction and Building Material Industries","1,086","11,915"
"48 State Ministry of Indigenous Medicine Promotion, Rural and Ayurvedic Hospitals Development and Community Health","2,179","100"
"49 State Ministry of Estate Housing and Community Infrastructure","446","2,525"
"50 State Ministry of Prison Management and Prisoners' Rehabilitation","8,463","1,390"
"51 State Ministry of Regional Co-operation","113","7"
"52 State Ministry of Provincial Councils and Local Government","288,608","40,500"
"","","(Contd.)"
