"","","","","","Average Retail Prices of Selected Food Items by Province 2020 - 2021 (a)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","Rs. per kg"
"","","Western Province","","","","Central Province","","","","North Central Province","","","","North Western Province","","","","Sabaragamuwa Province","",""
"Consumer Items","2020","","2021 (b)","","2020","","2021 (b)","","2020","","2021 (b)","","2020","","2021 (b)","","2020","","2021 (b)",""
"","1st half","2nd half","1st half","2nd half","1st half","2nd half","1st half","2nd half","1st half","2nd half","1st half","2nd half","1st half","2nd half","1st half","2nd half","1st half","2nd half","1st half","2nd half"
"Samba Rice (Highest)","102.42","109.99","138.28","149.57","105.86","113.91","139.54","158.96","99.70","108.34","135.05","155.34","99.97","110.06","142.77","156.04","112.19","114.38","143.13","163.67"
"Kekulu Red (Highest)","99.91","99.10","105.01","113.67","98.29","98.40","106.38","118.92","94.18","95.73","104.56","124.65","98.23","99.28","108.59","122.27","96.80","97.53","102.19","117.71"
"Dried Chilli (Ord.)","549.24","516.30","564.02","610.30","560.25","546.85","594.24","625.88","514.63","520.96","575.34","637.20","528.39","505.65","568.31","606.15","551.98","519.26","591.09","621.02"
"Red Onion (Local)","424.38","317.15","399.29","335.31","355.37","260.85","334.30","336.64","425.58","277.19","404.39","289.49","395.81","276.00","348.13","316.68","377.19","281.75","335.00","292.29"
"Big Onion (Imported)","138.19","151.31","118.37","172.07","131.48","154.93","116.91","181.58","122.32","164.94","107.91","179.19","131.15","149.70","110.65","178.65","136.72","160.15","116.88","180.03"
"Potato (Local)","196.53","220.86","181.77","250.87","182.29","199.66","164.82","218.53","202.24","217.91","190.32","228.06","174.67","213.80","176.40","231.97","169.58","208.43","173.05","238.76"
"Beans","239.93","223.82","219.07","337.62","237.75","203.53","201.78","285.66","264.41","270.71","249.41","342.88","242.79","237.20","221.30","355.21","211.54","200.84","192.50","325.48"
"Pumpkin","131.28","128.94","140.30","129.62","107.73","103.04","113.80","108.86","116.74","127.41","142.80","100.46","111.03","108.59","129.84","113.34","92.54","93.99","107.04","99.16"
"Brinjal","173.88","145.91","184.11","286.48","153.80","124.49","155.41","236.34","151.88","140.92","169.41","281.21","139.85","122.80","160.35","272.06","122.15","101.38","143.20","235.10"
"Coconut (Large) - each","71.20","84.33","100.02","89.69","68.83","78.92","93.38","83.72","68.99","78.12","88.14","71.41","60.25","78.23","83.69","73.49","68.95","83.60","95.75","77.89"
"Fish - Balaya","700.09","715.25","754.37","813.32","569.24","526.13","564.18","617.69","643.26","601.63","624.80","784.95","513.97","471.79","496.52","562.52","698.40","644.83","705.56","656.00"
"Fish - Kelawalla (Tuna)","993.36","1,018.78","1,075.13","1,248.69","969.39","941.04","1,008.31","1,204.22","1,068.51   1,010.76","","1,148.13","1,375.02","826.52","774.42","791.30","1,004.44","878.30","866.67","1,022.64","1,249.83"
"Fish - Hurulla (Triencheal)","551.17","526.43","561.94","547.30","519.42","494.22","523.16","560.48","519.71","466.67","499.30","577.66","500.00","442.50","481.07","486.94","611.67","578.64","640.38","646.25"
"Dried Fish - Sprats","719.17","668.51","688.93","740.49","758.10","751.91","743.93","778.93","673.77","625.06","649.30","774.65","682.21","626.24","654.73","709.74","666.15","612.12","679.57","758.88"
"Dried Fish - Katta","1,329.23","1,345.33","1,441.81","1,499.84","1,324.83","1,403.60","1,407.38","1,498.15","1,273.81   1,312.57","","1,353.80","","1,471.12   1,190.74   1,313.44","","1,300.44","","1,367.21   1,310.32   1,400.34","","1,468.57","1,529.18"
"Chicken (Broiler - Frozen)","471.12","496.57","522.55","632.38","444.95","489.34","511.45","616.57","444.49","469.17","516.50","615.40","439.24","457.42","490.96","609.95","440.60","482.19","514.96","609.90"
"Eggs (White) - each","18.53","18.61","16.06","21.37","17.99","19.09","16.01","21.68","17.77","18.29","16.13","21.46","17.87","18.19","16.39","21.69","17.74","18.59","16.16","21.61"
"Milk Powder 400 g","380.11","380.00","378.83","438.39","382.18","380.00","384.65","436.70","382.68","380.00","379.55","433.57","382.34","380.00","380.00","430.00","381.51","380.00","380.00","436.25"
