"","","","Deposits (c)","","","","","","Required Reserves against Deposits (d)","","","","Actual Reserves",""
"","","","","","","","","","","","","","Commercial Banks’",""
"","","","","","","","","","","","","","Deposits with Central",""
"","End","","","","","","","","Total","","Required","Required","","Excess/(Deficit)"
"","","","Time and","","Total (e)","","Time and","","","Till","","","Bank",""
"","of","Demand","","Other","","Demand","","Other","Reserves (e)","","Reserves","Reserves","","on SRR"
"","","","Savings","","(1)+(2)+(3)","","Savings","","","Cash","","","(Cumulative",""
"","Period","","","","","","","","(5)+(6)+(7)","","(8) - (9)","Cumulative","","(12) - (11)"
"","","","","","","","","","","","","","total for the",""
"","","","","","","","","","","","","","reserve period)",""
"","","(1)","(2)","(3)","(4)","(5)","(6)","(7)","(8)","(9)","(10)","(11)","(12)","(13)"
"2017","","372,063","4,763,571","31,897","5,167,531","27,905","357,268","2,392","387,565","47,372","340,192","5,443,080","5,456,588","13,508"
"2018","","391,719","5,517,000","32,853","5,967,560","23,503","331,020","1,971","382,483","57,791","324,692","5,195,065","5,203,094","8,029"
"2019","","386,148","5,889,555","29,705","6,305,904","19,307","294,478","1,485","315,767","70,538","245,228","3,923,650","3,927,744","4,094"
"2020","","493,883","7,056,798","33,239","7,584,017","9,878","141,136","665","151,776","51,643","100,133","1,602,122","1,630,027","27,906"
"2021","","662,422","7,953,092","55,172","8,670,757","26,497","318,124","2,207","346,899","57,259","289,641","4,634,254","4,701,711","67,457"
"2020","January","404,907","5,947,989","29,407","6,382,636","20,245","297,399","1,470","319,448","65,727","253,721","4,059,543","4,063,126","3,583"
"","February","408,084","6,024,338","28,427","6,460,985","20,404","301,217","1,421","323,179","58,898","264,281","3,699,929","3,704,081","4,151"
"","March","405,303","6,093,913","28,906","6,528,238","16,212","243,757","1,156","261,241","61,729","199,512","3,192,197","3,219,586","27,388"
"","April","435,125","6,194,562","28,914","6,658,712","17,405","247,782","1,157","266,455","82,170","184,285","2,764,273","2,769,782","5,510"
"","May","437,238","6,347,225","31,334","6,815,905","17,490","253,889","1,253","272,741","93,755","178,986","2,863,776","2,869,605","5,829"
"","June","428,735","6,406,675","29,325","6,864,842","8,575","128,134","587","137,401","50,948","86,453","1,296,792","1,310,419","13,627"
"","July","445,373","6,485,962","29,127","6,960,567","8,907","129,719","583","139,314","46,479","92,835","1,485,359","1,491,267","5,908"
"","August","454,192","6,568,374","30,319","7,052,988","9,084","131,367","606","141,161","42,784","98,377","1,574,036","1,598,754","24,718"
"","September","467,537","6,688,350","30,677","7,186,666","9,351","133,767","614","143,834","42,349","101,485","1,522,275","1,526,609","4,334"
"","October","479,054","6,838,981","31,641","7,349,775","9,581","136,780","633","147,093","44,003","103,090","1,649,443","1,674,309","24,866"
"","November","493,977","6,965,957","32,908","7,492,940","9,880","139,319","658","149,954","47,247","102,707","1,540,607","1,599,785","59,178"
"","December","493,883","7,056,798","33,239","7,584,017","9,878","141,136","665","151,776","51,643","100,133","1,602,122","1,630,027","27,906"
"2021","January","536,396","7,181,804","34,370","7,752,667","10,728","143,636","687","155,149","47,198","107,951","1,727,211","1,889,447","162,236"
"","February","535,336","7,286,737","34,555","7,856,715","10,707","145,735","691","157,220","47,904","109,315","1,421,100","1,518,382","97,282"
"","March","524,828","7,362,789","35,141","7,922,830","10,497","147,256","703","158,527","48,030","110,498","1,767,961","1,836,823","68,862"
"","April","543,221","7,446,748","38,905","8,028,946","10,864","148,935","778","160,650","55,700","104,950","1,574,249","1,684,578","110,329"
"","May","564,167","7,560,764","38,071","8,163,074","11,283","151,215","761","163,332","62,239","101,093","1,617,490","1,742,950","125,460"
"","June","538,900","7,610,710","42,183","8,191,865","10,778","152,214","844","163,908","60,487","103,420","1,551,307","1,601,164","49,857"
"","July","549,145","7,665,349","43,445","8,258,011","10,983","153,307","869","165,231","58,171","107,060","1,712,965","1,722,282","9,316"
"","August","585,395","7,776,255","44,486","8,406,208","11,708","155,525","890","168,195","55,710","112,485","1,799,757","1,803,624","3,867"
"","September","596,621","7,857,425","49,111","8,503,230","23,865","314,297","1,964","340,198","57,096","283,102","4,246,529","4,255,286","8,757"
"","October","601,496","7,915,823","52,342","8,569,733","24,060","316,633","2,094","342,858","55,185","287,673","4,602,773","4,613,670","10,897"
"","November","658,372","7,978,797","49,275","8,686,516","26,335","319,152","1,971","347,530","58,494","289,036","4,335,533","4,360,643","25,110"
"","December","662,422","7,953,092","55,172","8,670,757","26,497","318,124","2,207","346,899","57,259","289,641","4,634,254","4,701,711","67,457"
"","(a)   Under Sections 10c, 93, 94, 96 and 97 of the amended Monetary Law Act (Chapter 422), commercial","","","","","","month  and  from  June  2013  onwards,  Reserve  data  are  for  the  second  reserve  period  of  each  month.","","","","","","","Source: Central Bank of Sri Lanka"
