"","Selected Industrial and Mineral Exports","","","","","","","","",""
"","","","Rs. million","","","","","US$ million","",""
"Item","","","","","","","","","",""
"","2017","2018","2019","2020","2021 (a)","2017","2018","2019","2020","2021 (a)"
"1.  Food, Beverages and Tobacco","59,921","75,060","79,989","85,963","116,860","393","462","447","464","587"
"Milling Industry Products","4,394","4,835","7,693","8,242","9,360","29","30","43","44","47"
"Vegetable, Fruit and Nuts Preparations","19,674","23,856","25,559","34,297","46,176","129","147","143","185","232"
"Cereal Preparations","3,078","3,273","3,343","4,056","4,730","20","20","19","22","24"
"Fish Preparations (b)","79","1,780","3,473","2,199","4,179","1","10","19","12","21"
"Manufactured Tobacco","11,207","15,142","13,999","11,046","16,011","73","93","78","60","80"
"Other","21,488","26,174","25,922","26,124","36,405","141","162","145","141","183"
"2.  Animal Fodder","12,217","17,480","23,082","19,067","29,780","80","108","129","103","149"
"3.  Textiles and Garments","767,254","865,975","1,000,713","817,593","1,081,158","5,032","5,318","5,596","4,423","5,435"
"Garments","722,624","807,787","930,805","728,005","984,941","4,739","4,961","5,206","3,939","4,952"
"Woven Fabrics","18,185","24,175","29,026","22,551","46,578","119","148","162","122","234"
"Yarn","10,516","13,513","16,356","14,011","18,408","69","83","92","76","93"
"Other Made-up Textile Articles","15,929","20,500","24,527","53,026","31,232","104","126","137","286","157"
"4.  Rubber Products","127,426","142,298","154,854","145,501","208,975","835","875","866","786","1,050"
"Rubber Tyres","77,777","88,456","91,426","77,887","117,618","510","545","512","421","591"
"Surgical Gloves and Other Gloves","30,195","30,580","37,053","45,989","72,598","198","188","207","248","365"
"Other Rubber Products","19,454","23,262","26,375","21,625","18,759","128","143","147","117","94"
"5.  Gems, Diamonds and Jewellery","39,258","44,963","54,677","33,483","55,003","257","278","306","181","277"
"Gems","22,108","22,910","27,754","14,448","24,022","145","142","155","78","121"
"Diamonds","14,340","19,584","23,911","17,496","28,647","94","120","134","95","144"
"Jewellery","2,809","2,469","3,011","1,539","2,333","18","15","17","8","12"
"6.  Machinery and Mechanical Appliances","56,522","70,609","71,495","62,467","99,602","371","435","400","338","501"
"Electrical Machinery and Equipment","8,984","9,599","6,860","5,515","9,853","59","59","38","30","49"
"Electronic Equipment","15,154","24,229","24,328","23,010","28,839","99","150","136","124","145"
"Insulated Wires, Cables and Conductors","9,080","11,326","11,366","9,127","14,060","60","70","64","49","71"
"Other","23,305","25,455","28,940","24,815","46,850","153","156","162","134","236"
"7.  Transport Equipment","24,718","19,424","25,950","13,213","29,572","162","120","146","71","148"
"Road Vehicles","5,882","9,235","9,653","8,604","15,398","39","57","54","47","77"
"Ships, Boats and Floating Structures","14,763","4,274","11,571","442","7,597","97","27","65","2","38"
"Other","4,073","5,915","4,727","4,168","6,577","27","37","26","23","33"
"8.  Petroleum Products","66,280","101,467","93,194","68,849","100,975","434","622","521","374","506"
"Bunkering and Aviation Fuel","61,633","91,174","86,709","59,526","73,535","404","559","485","323","369"
"Other Petroleum Products","4,647","10,293","6,485","9,323","27,440","30","63","36","51","137"
"9.  Chemical Products","22,328","27,057","31,505","32,002","44,398","146","167","176","173","223"
"10. Wood and Paper Products","21,168","22,843","23,134","18,370","25,855","139","141","129","99","130"
"11. Leather, Travel Goods and Footwear","24,149","23,860","18,397","9,965","11,636","158","148","103","54","58"
"Footwear","16,524","14,335","9,310","2,880","2,951","108","89","52","16","15"
"Travel Goods","4,980","5,766","6,193","5,048","6,738","33","35","35","27","34"
"Other","2,645","3,758","2,894","2,037","1,947","17","23","16","11","10"
"12. Plastics and Articles Thereof","11,378","12,635","13,139","32,613","15,646","75","78","73","176","79"
"13. Base Metals and Articles","17,672","26,919","31,547","20,534","31,152","116","165","177","111","156"
"14. Ceramic Products","5,146","5,076","5,373","4,436","7,450","34","31","30","24","37"
"Tiles","1,047","1,035","938","983","1,740","7","6","5","5","9"
"Tableware, Household Items and Sanitaryware","3,456","3,424","3,675","2,811","4,912","23","21","21","15","25"
"Other","643","616","760","643","797","4","4","4","3","4"
"15. Other Industrial Exports","47,138","50,534","58,393","54,537","72,453","309","311","326","295","364"
"Total Industrial Exports","1,302,575","1,506,200   1,685,442","","1,418,594","1,930,515","8,542","9,258","9,426","7,672","9,702"
"Mineral Exports","","","","","","","","","",""
"Natural Graphite","722","889","836","656","1,088","5","5","5","4","5"
"Natural Sands","4","1","1","1","1","…","…","…","…","…"
"Quartz","1,981","1,925","1,699","1,914","2,308","13","12","9","10","12"
"Other","2,557","2,756","3,527","2,085","5,444","17","17","20","11","27"
"Total Mineral Exports","5,263","5,570","6,063","4,657","8,841","34","34","34","25","45"
"(a)  Provisional","","","","Sources:  Ceylon Petroleum Corporation and Other Exporters of Petroleum","","","","","",""
