"","","","","","","End period position"
"","","US$ million","","","Rs. million",""
"Item","","","","","",""
"","2019","2020 (a)","2021 (b)","2019","2020 (a)","2021 (b)"
"1. General Government","34,249","28,187","27,344","6,220,787","5,254,202","5,480,601"
"Short term","119","4","1","21,534","665","196"
"Debt Securities","119","4","1","21,534","665","196"
"Treasury Bills (c)","119","4","1","21,534","665","196"
"Long term","34,130","28,183","27,343","6,199,253","5,253,536","5,480,405"
"Debt Securities","14,513","7,613","6,265","2,636,122","1,419,050","1,255,809"
"Treasury Bonds (c)","406","31","8","73,760","5,837","1,646"
"Sri Lanka Development Bonds (d)","5","27","24","943","4,986","4,875"
"International Sovereign Bonds (e)","14,102","7,555","6,233","2,561,420","1,408,226","1,249,288"
"Loans","19,617","20,570","21,077","3,563,131","3,834,486","4,224,596"
"2. Central Bank","2,318","2,690","4,892","421,051","501,516","980,586"
"Short term","456","343","524","82,915","63,908","105,011"
"Currency and Deposits","…","…","1","55","51","255"
"Other Accounts Payable","456","343","523","82,859","63,856","104,756"
"Asian Clearing Union Liabilities","456","343","523","82,859","63,856","104,756"
"Long term","1,862","2,348","4,368","338,136","437,609","875,575"
"Special Drawing Rights (SDRs), Allocation","547","570","1,330","99,327","106,172","266,559"
"Currency and Deposits","-","400","1,774","-","74,563","355,539"
"Loans","1,315","1,378","1,265","238,809","256,873","253,477"
"Credit and Loans with the IMF","1,315","1,378","1,265","238,809","256,873","253,477"
"Extended Fund Facility","1,315","1,378","1,265","238,809","256,873","253,477"
"3. Deposit-taking Corporations, Except the Central Bank","6,997","6,657","7,146","1,270,866","1,240,979","1,432,306"
"Short term","5,519","5,507","5,979","1,002,406","1,026,587","1,198,302"
"Currency and Deposits (f)","1,748","1,333","3,974","317,490","248,525","796,503"
"Commercial Banks","1,748","1,333","3,974","317,490","248,525","796,503"
"Loans","3,771","4,174","2,005","684,916","778,062","401,799"
"Commercial Banks","3,771","4,174","2,005","684,916","778,062","401,799"
"Long term","1,478","1,150","1,167","268,460","214,392","234,003"
"Loans","1,478","1,150","1,167","268,460","214,392","234,003"
"Commercial Banks","1,412","1,109","1,084","256,519","206,751","217,358"
"Other Deposit-taking Corporations","66","41","83","11,941","7,641","16,645"
"4. Other Sectors (g)","6,469","6,517","6,078","1,175,011","1,214,880","1,218,251"
"Short term","2,156","2,341","1,913","391,601","436,356","383,402"
"Trade Credit and Advances (h)","2,156","2,341","1,913","391,601","436,356","383,402"
"Long term","4,313","4,176","4,165","783,410","778,525","834,849"
"Debt Securities (e)","174","96","94","31,577","17,842","18,800"
"Loans","4,139","4,081","4,071","751,833","760,683","816,049"
"Private Sector","2,235","2,315","2,425","406,020","431,456","486,087"
"State Owned Business Enterprises and Public Corporations","1,904","1,766","1,646","345,813","329,226","329,962"
"5. Direct Investment: Intercompany Lending (i)","4,778","4,990","5,264","867,916","930,114","1,055,103"
"Total Outstanding External Debt","54,811","49,041","50,724","9,955,631","9,141,691","10,166,846"
"(a) Revised","","","","","Source: Central Bank of Sri Lanka",""
