"","Period (a)","All Activities","Agriculture","Manufacturing","Utility (b)"
"2018","","102.5","116.5","98.4","99.2"
"2019","","105.5","108.7","104.9","101.5"
"2020","","111.6","126.8","109.0","104.1"
"2021 (c)","","123.7","133.8","123.0","101.8"
"2019","1st   Quarter","105.5","111.5","103.8","101.9"
"","2nd  Quarter","105.8","110.4","104.7","102.9"
"","3rd   Quarter","103.5","102.4","104.7","101.7"
"","4th   Quarter","107.1","110.7","106.6","99.6"
"2020","1st   Quarter","110.5","121.8","106.7","102.8"
"","2nd  Quarter","111.5","126.5","109.0","104.6"
"","3rd   Quarter","111.4","128.3","109.5","104.4"
"","4th   Quarter","112.9","130.5","110.9","104.6"
"2021 (c)","1st   Quarter","118.5","132.6","116.8","99.5"
"","2nd  Quarter","123.7","131.0","122.4","102.9"
"","3rd   Quarter","122.5","125.7","123.0","102.6"
"","4th   Quarter","130.4","145.7","129.7","102.3"
"2020","January","111.0","123.7","106.8","101.2"
"","February","110.2","122.6","105.9","101.8"
"","March","110.2","119.0","107.4","105.6"
"","April","110.4","116.8","108.6","105.1"
"","May","111.8","128.1","110.2","102.6"
"","June","112.3","134.6","108.1","106.3"
"","July","111.4","129.2","109.2","108.0"
"","August","111.1","126.4","110.1","103.0"
"","September","111.5","129.3","109.3","102.1"
"","October","112.1","128.1","110.6","102.7"
"","November","111.9","128.4","110.3","103.5"
"","December","114.8","134.9","111.8","107.7"
"2021 (c)","January","116.0","134.0","113.9","100.1"
"","February","118.0","133.0","117.3","97.7"
"","March","121.3","130.8","119.2","100.6"
"","April","124.0","131.6","122.6","103.1"
"","May","123.1","130.0","122.1","103.3"
"","June","123.9","131.4","122.6","102.2"
"","July","121.7","125.2","122.1","102.8"
"","August","122.3","125.4","122.8","102.6"
"","September","123.4","126.5","124.0","102.6"
"","October","126.8","131.0","127.4","102.5"
"","November","130.7","144.4","130.2","101.8"
"","December","133.7","161.7","131.4","102.5"
"","(a) Annual and quarterly figures are averages of monthly figures.","","","","Source: Department of Census and Statistics"
