"","","","Agriculture (b)","Industry & Commerce (c)","","Services (d)","","","Overall Wages Boards (e)"
"","Period","","","","","","","",""
"","","NWRI","RWRI (f)","NWRI","RWRI (f)","NWRI","RWRI (f)","NWRI","RWRI (f)"
"2018","","4,748.8","107.5","3,545.3","80.2","2,331.2","52.7","4,155.2","94.0"
"2019","","4,784.5","103.8","3,796.6","82.4","2,659.3","57.7","4,275.5","92.8"
"2020","","4,785.6","99.3","3,806.2","79.0","2,684.2","55.7","4,282.0","88.8"
"2021 (g)","","9,492.0","185.5","4,061.1","79.5","2,845.1","55.7","7,469.5","146.0"
"2019","1st   Quarter","4,784.2","105.8","3,767.8","83.4","2,584.5","57.2","4,258.6","94.2"
"","2nd Quarter","4,784.1","104.4","3,806.2","83.0","2,684.2","58.6","4,281.0","93.4"
"","3rd  Quarter","4,784.4","103.0","3,806.2","82.0","2,684.2","57.8","4,281.1","92.2"
"","4th  Quarter","4,785.1","101.9","3,806.2","81.1","2,684.2","57.2","4,281.4","91.2"
"2020","1st   Quarter","4,785.4","100.1","3,806.2","79.6","2,684.2","56.2","4,281.9","89.6"
"","2nd Quarter","4,785.4","100.0","3,806.2","79.5","2,684.2","56.1","4,281.9","89.5"
"","3rd  Quarter","4,785.7","99.0","3,806.2","78.8","2,684.2","55.5","4,282.0","88.6"
"","4th  Quarter","4,785.9","98.0","3,806.2","77.9","2,684.2","54.9","4,282.2","87.6"
"2021(g)","1st   Quarter","6,668.5","134.8","3,806.2","77.0","2,684.2","54.3","5,528.5","111.8"
"","2nd Quarter","10,432.9","208.5","3,806.2","76.1","2,684.2","53.6","8,020.7","160.3"
"","3rd  Quarter","10,432.8","204.1","4,214.0","82.4","2,941.6","57.5","8,135.3","159.1"
"","4th  Quarter","10,434.0","194.4","4,417.9","82.3","3,070.3","57.2","8,193.4","152.7"
"2020","January","4,785.3","99.8","3806.2","79.4","2,684.2","56.0","4,281.8","89.3"
"","February","4,785.6","99.8","3806.2","79.4","2,684.2","56.0","4,281.9","89.3"
"","March","4,785.3","100.7","3806.2","80.1","2,684.2","56.5","4,281.9","90.1"
"","April","4,785.3","100.6","3806.2","80.0","2,684.2","56.4","4,281.9","90.0"
"","May","4,785.4","100.1","3806.2","79.6","2,684.2","56.2","4,281.9","89.6"
"","June","4,785.6","99.3","3806.2","79.0","2,684.2","55.7","4,282.0","88.9"
"","July","4,785.6","99.3","3806.2","78.9","2,684.2","55.7","4,282.0","88.8"
"","August","4,785.6","99.3","3806.2","78.9","2,684.2","55.7","4,282.0","88.8"
"","September","4,785.7","98.6","3806.2","78.4","2,684.2","55.3","4,282.0","88.2"
"","October","4,785.9","98.5","3806.2","78.3","2,684.2","55.2","4,282.1","88.1"
"","November","4,785.9","98.0","3806.2","78.0","2,684.2","55.0","4,282.2","87.7"
"","December","4,786.0","97.4","3806.2","77.5","2,684.2","54.6","4,282.2","87.1"
"2021 (g)","January","4,786.2","96.9","3806.2","77.1","2,684.2","54.3","4,282.4","86.7"
"","February","4,786.4","96.6","3806.2","76.8","2,684.2","54.2","4,282.4","86.5"
"","March","10,432.9","210.9","3806.2","77.0","2,684.2","54.3","8,020.7","162.2"
"","April","10,432.8","211.1","3806.2","77.0","2,684.2","54.3","8,020.6","162.3"
"","May","10,432.9","208.8","3806.2","76.2","2,684.2","53.7","8,020.7","160.5"
"","June","10,433.1","205.7","3806.2","75.1","2,684.2","52.9","8,020.8","158.2"
"","July","10,433.3","204.7","3806.2","74.7","2,684.2","52.7","8,021.0","157.4"
"","August","10,432.5","204.2","4417.9","86.5","3,070.3","60.1","8,192.5","160.3"
"","September","10,432.5","203.3","4417.9","86.1","3,070.3","59.8","8,192.5","159.7"
"","October","10,433.5","199.5","4417.9","84.5","3,070.3","58.7","8,193.1","156.6"
"","November","10,433.9","194.4","4417.9","82.3","3,070.3","57.2","8,193.4","152.7"
"","December","10,434.5","189.4","4417.9","80.2","3,070.3","55.7","8,193.8","148.7"
"(a)   The Index numbers are calculated on fixed weights based on the numbers employed as at 31 December 1978. The wage rates","","","","","","","","Sources: Department of Labour",""
