"","","","Sri Lanka Rupees per unit of Foreign Currency","","","","Monthly Index (Average)",""
"Period","","","","","","","NEER","REER"
"","Indian","Japanese","Pound","US","","","",""
"","","","","","Euro","SDR (a)","(b)(c)","(b)(d)"
"","rupee","yen","sterling","dollar","","","",""
"","","","","","","","(2017=100)","(2017=100)"
"2017","2.3415","1.3594","196.4709","152.4575","171.7312","211.4941","100.00","100.00"
"2018","2.3764","1.4710","216.6688","162.5403","191.7085","229.8968","94.05","95.45"
"2019","2.5388","1.6409","228.1966","178.7776","200.1412","246.9672","88.17","90.42"
"2020","2.5022","1.7392","238.2244","185.5238","212.0652","258.6103","85.93","91.52"
"2021","2.6892","1.8109","273.5105","198.8824","235.0999","283.1840","78.64","86.13"
"2019    1st   Quarter","2.5538","1.6348","234.1653","179.9012","204.4129","250.4681","86.86","88.82"
"2nd  Quarter","2.5280","1.6011","226.2020","175.9425","197.6856","243.6151","89.26","90.47"
"3rd   Quarter","2.5324","1.6602","219.7707","178.1725","198.1330","244.8607","88.98","91.48"
"4th   Quarter","2.5412","1.6660","232.8727","181.0571","200.4606","248.9861","87.58","90.82"
"2020    1st   Quarter","2.5220","1.6777","233.8205","182.6905","201.5265","250.8905","87.28","92.45"
"2nd  Quarter","2.4893","1.7566","234.4075","188.8266","208.0774","258.5683","86.16","91.69"
"3rd   Quarter","2.4876","1.7454","239.0578","185.2822","216.4378","260.2242","85.90","91.70"
"4th   Quarter","2.5101","1.7757","245.0026","185.4861","221.1822","264.3197","84.49","90.31"
"2021    1st   Quarter","2.6592","1.8304","267.5758","194.0027","233.8435","278.6157","79.59","87.00"
"2nd  Quarter","2.6972","1.8180","278.3362","198.9873","239.8215","285.5911","77.99","85.52"
"3rd   Quarter","2.7107","1.8244","276.8661","200.8283","236.8054","285.6077","78.08","86.16"
"4th   Quarter","2.6883","1.7722","271.3119","201.4524","230.2219","282.8554","78.92","85.81"
"2020    January","2.5421","1.6612","237.4162","181.4036","201.5386","250.3132","86.93","92.49"
"February","2.5399","1.6503","235.5854","181.5628","198.0137","248.5697","87.62","93.09"
"March","2.4849","1.7199","228.4567","185.0567","204.6754","253.5853","87.35","92.31"
"April","2.5341","1.7924","239.5347","193.0854","209.7975","263.2515","84.73","89.88"
"May","2.4837","1.7515","230.8521","187.8650","204.8296","256.1597","86.94","92.70"
"June","2.4554","1.7301","232.8908","185.9545","209.2320","256.5303","86.74","92.89"
"July","2.4757","1.7408","235.2325","185.8487","212.9303","258.5510","86.27","92.16"
"August","2.4751","1.7437","242.7873","184.8939","218.7078","261.1099","85.83","91.32"
"September","2.5127","1.7521","239.6956","185.0317","218.1175","261.2132","85.55","91.49"
"October","2.5104","1.7522","239.4255","184.4379","217.1758","260.8423","85.63","91.40"
"November","2.4866","1.7705","243.9048","184.7882","218.5068","262.7636","84.94","91.13"
"December","2.5335","1.8034","251.4119","187.1822","227.6732","269.1876","82.95","88.18"
"2021    January","2.6051","1.8379","259.8135","190.4918","232.0577","274.8180","80.83","88.97"
"February","2.6680","1.8436","269.1843","194.0665","234.8204","279.5421","79.27","87.14"
"March","2.6987","1.8130","272.9635","196.9825","234.5866","281.1376","78.75","86.18"
"April","2.6518","1.8103","273.3573","197.4230","236.0733","282.1824","79.02","86.07"
"May","2.7222","1.8280","280.7094","199.5847","242.1582","287.4772","77.46","85.03"
"June","2.7148","1.8159","280.5697","199.8161","241.0315","286.8962","77.56","86.05"
"July","2.6827","1.8133","276.3311","199.9778","236.5128","284.6943","78.40","87.03"
"August","2.7026","1.8252","276.6523","200.4965","235.9689","285.0596","78.08","86.71"
"September","2.7458","1.8340","277.5996","201.9858","237.9603","287.0517","77.72","86.46"
"October","2.6862","1.7805","274.9808","201.0899","233.2319","284.0026","78.43","88.18"
"November","2.7095","1.7688","271.6009","201.8582","230.3116","283.2039","78.63","90.20"
"December","2.6718","1.7683","268.0297","201.3990","227.6572","281.6045","79.58","93.42"
"(a)  Special Drawing Rights (SDRs), the unit of account of the International Monetary Fund","","","","","","","Source: Central Bank of Sri Lanka",""
