"","Composition of Exports according to the SITC (a)","","","","","","",""
"","","Rs. million","","","","US$ million","",""
"Category","","","","","","","",""
"","2018","2019","2020","2021 (b)","2018","2019","2020","2021 (b)"
"0. Food and Live Animals","427,723","454,526","446,590","566,380","2,633","2,542","2,409","2,846"
"00 Live Animals other than Animals of Division 03","73","137","54","107","…","1","…","1"
"01 Meat and Meat Preparations","760","1,012","668","771","5","6","4","4"
"02 Dairy Products and Birds’ Eggs","916","1,044","951","1,514","6","6","5","8"
"03 Fish, Crustaceans, Molluscs and Aquatic Invertebrates and Preparations Thereof","47,742","53,307","39,709","62,961","292","298","215","316"
"04 Cereals and Cereal Preparations","8,098","11,028","11,844","14,276","50","62","64","72"
"05 Vegetables and Fruit","50,485","61,019","73,059","93,234","311","341","394","468"
"06 Sugars, Sugar Preparations and Honey","405","511","853","1,024","2","3","5","5"
"07 Coffee, Tea, Cocoa, Spices and Manufactures Thereof","286,050","292,150","286,102","346,611","1,761","1,634","1,543","1,743"
"08 Feeding Stuff for Animals","17,480","23,082","19,067","29,780","108","129","103","149"
"09 Miscellaneous Edible Products and Preparations","15,713","11,237","14,281","16,102","98","63","77","81"
"1. Beverages and Tobacco","26,836","29,015","21,575","28,916","165","162","117","145"
"11 Beverages","5,902","8,812","5,801","6,627","36","49","31","33"
"12 Tobacco and Tobacco Manufactures","20,934","20,203","15,775","22,289","129","113","85","112"
"2. Crude Materials, Inedible, except Fuels","56,404","61,323","68,262","86,170","348","343","369","433"
"21 Hides, Skins, Furskins, Raw","-","-","…","-","-","-","…","-"
"22 Oil-seeds and Oleaginous Fruits","1,052","969","341","1,035","7","5","2","5"
"23 Crude Rubber","5,264","4,529","5,758","8,558","33","25","31","43"
"24 Cork and Wood","1,057","1,832","1,860","1,646","6","10","10","8"
"25 Pulp and Waste Paper","5,179","4,553","3,477","7,119","32","25","19","36"
"26 Textile Fibres and Their Wastes","28,193","33,398","43,135","47,806","174","187","233","240"
"27 Crude Fertilisers, other than those of Division 56, and Crude Minerals","3,622","3,353","3,184","4,130","22","19","17","21"
