"","","","","","","2021 (c)","",""
"Sector","2018","2019","2020","","","","",""
"","","","","1st Quarter","2nd Quarter","3rd Quarter","4th Quarter","Annual (d)"
"Agriculture","2,044","2,072","2,170","2,083","2,250","2,391","2,128","2,213"
"Industry","2,239","2,258","2,153","2,228","2,042","1,969","2,199","2,109"
"Mining and Quarrying","62","61","57","59","56","49","54","55"
"Manufacturing","1,464","1,504","1,398","1,454","1,316","1,257","1,423","1,362"
"Construction, Electricity, Gas, Steam and Air Conditioning Supply,","","","","","","","",""
"","713","693","698","715","670","664","722","693"
"Water Supply, Sewerage, Waste Management and Remediation Activities","","","","","","","",""
"Services","3,732","3,850","3,677","3,870","3,790","3,684","3,820","3,791"
"Wholesale and Retail Trade, Repair of Motor Vehicles and Motor Cycles","1,141","1,134","1,095","1,175","1,098","1,161","1,180","1,154"
"Transport and Storage","502","514","524","511","504","455","457","482"
"Accomodation and Food Services Activities","238","232","217","214","222","224","197","214"
"Information and Communication","55","64","58","67","71","83","70","73"
"Financial and Insurance Activities","173","188","183","162","218","183","167","182"
"Professional, Scientific and Technical Activities","86","90","86","90","92","62","79","81"
"Administrative and Support Service Activities","167","205","165","123","122","114","186","136"
"Public Administration and Defence; Compulsory Social Security","434","436","447","511","499","480","470","490"
"Education","425","426","403","467","400","392","434","423"
"Human Health and Social Work Activities","143","169","156","152","200","181","165","175"
"Other (e)","366","390","342","398","364","348","415","381"
"Total Employment","8,015","8,181","7,999","8,181","8,082","8,044","8,146","8,114"
"Percentage of Labour Force","95.6","95.2","94.5","94.3","94.9","94.8","95.4","94.9"
"(a)  Household population aged 15 years and above","","","","","","","Source: Department of Census and Statistics",""
