"","Central Government Debt Service Payments","","","",""
"","","","","","Rs. million"
"Item","2017","2018","2019","2020","2021 (a)"
"Total Interest payments (b)","735,566","852,190","901,353","980,302","1,048,383"
"Domestic","570,623","639,482","667,383","713,623","794,633"
"Short-Term","81,275","74,525","81,029","77,965","98,694"
"Treasury Bills","81,275","74,525","81,029","77,965","98,694"
"Medium and Long Term","489,348","564,957","586,354","635,658","695,939"
"Rupee Loans","2,891","2,891","2,891","2,891","2,891"
"Treasury Bonds","438,152","501,457","494,761","547,373","593,127"
"Offshore Banking Unit Loans","2,366","4,760","10,269","12,671","16,268"
"Sri Lanka Development Bonds","33,827","40,996","35,411","29,120","26,059"
"Other","12,113","14,853","43,022","43,603","57,594"
"Foreign","164,942","212,708","233,970","266,679","253,750"
"Short-Term","981","723","1,343","403","29"
"Treasury Bills","981","723","1,343","403","29"
"Medium and Long Term","163,961","211,985","232,627","266,276","253,721"
"Treasury Bonds","25,415","27,452","13,244","3,107","283"
"International Sovereign Bonds","84,619","110,566","136,085","190,637","185,746"
"Foreign Currency Term Financing Facilities and Project Loans","53,927","73,966","83,297","72,532","67,693"
"Total Amortisation Payments","867,484","1,236,361","1,121,155","961,071","1,327,216"
"Domestic","642,875","921,881","546,315","455,899","795,498"
"Medium and Long Term","642,875","921,881","546,315","455,899","795,498"
"Treasury Bonds","355,857","509,994","427,150","271,048","512,345"
"Offshore Banking Unit Loans","1,782","47,765","2,588","2,755","2,686"
"Sri Lanka Development Bonds","285,235","363,553","111,839","177,449","275,828"
"Other","-","569","4,738","4,646","4,639"
"Foreign","224,609","314,480","574,839","505,172","531,718"
"Medium and Long Term","224,451","314,480","574,839","505,172","531,718"
"Treasury Bonds","5,101","7,464","2,501","963","1,210"
"International Sovereign Bonds","-","-","269,828","185,277","199,902"
"Foreign Currency Term Financing Facilities and Project Loans","219,350","307,015","302,510","318,933","330,606"
"Deferred Payments for Defence Services","158","-","-","-","-"
"Total Debt Service Payments","1,603,049","2,088,551","2,022,507","1,941,373","2,375,599"
"Domestic","1,213,498","1,561,363","1,213,698","1,169,522","1,590,131"
"Foreign","389,551","527,188","808,809","771,851","785,468"
"","As a percentage of GDP (c)","","","",""
"Total Debt Service Payments","12.0","14.6","13.5","12.9","14.1"
"Total Domestic Debt Service Payments","9.1","10.9","8.1","7.8","9.5"
"Total Foreign Debt Service Payments","2.9","3.7","5.4","5.1","4.7"
"Total Interest Payments","5.5","6.0","6.0","6.5","6.2"
"Total Amortisation Payments","6.5","8.7","7.5","6.4","7.9"
"(a) Provisional","","","","Sources: Ministry of Finance",""
