"","Category","December","December","December","December","December"
"","","","","","(a)","(b)"
"1. Capital Adequacy","","","","","",""
"","1.1 Core Capital to Risk Weighted Assets (CCR) (c)","12.4","9.8","11.1","14.5","15.5"
"","1.2 Capital Base to Risk Weighted Assets (RWCAR) (d)","13.1","11.1","12.5","15.7","17.0"
"","1.3 Capital Funds to Total Assets (Net)","12.3","12.7","14.2","17.7","19.2"
"1.4 Capital Funds to Deposits","","24.3","25.3","26.9","33.2","36.5"
"1.5","Borrowings to Equity (Times)","2.3","2.5","2.0","1.3","1.1"
"2. Asset Quality","","","","","",""
"","2.1 Gross Non Performing Advances to Total Advances","5.9","7.7","10.6","13.9","11.0"
"","2.2 Net Non Performing Advances to Total Advances (e)","1.6","2.4","3.4","4.2","2.7"
"2.3","Provision made against Total Advances","3.8","4.4","6.0","8.2","7.3"
"2.4","Provision Coverage Ratio (Specific Provisions to NPA)","61.9","55.6","54.4","56.7","63.4"
"2.5","Provision Coverage Ratio (Total Provisions to NPA) (f)","64.0","57.0","56.6","58.9","66.8"
"3. Liquidity","","","","","",""
"3.1","Regulatory Liquid Assets to Total Assets","8.9","7.5","8.6","9.2","9.7"
"3.2","Regulatory Liquid Assets to Deposits and Borrowings","11.7","9.6","11.3","13.0","14.1"
"4. Earnings (g)","","","","","",""
"4.1","Return on Assets (h)","3.2","2.7","2.2","1.7","5.4"
"4.2","Return on Equity (i)","16.1","12.1","7.5","6.1","20.2"
"4.3","Interest Income to Interest Expenses","179.7","182.0","182.4","194.7","253.5"
"","4.4 Net Interest Margin (NIM) (j)","7.7","7.4","7.7","7.3","8.6"
"4.5","Efficiency Ratio (k)","64.9","67.2","74.1","74.7","51.3"
"4.6 Cost to Income Ratio","","83.7","85.8","89.0","89.8","69.0"
"5. Assets/Funding Structure (as a % of Total Net Assets)","","","","","",""
"5.1","Equity","12.5","12.8","14.2","17.7","20.4"
"5.2","Total Deposits and borrowings","79.9","82.5","81.1","76.8","74.6"
"5.3","Loans and Advances","78.0","79.4","77.0","74.2","76.8"
"5.4","Investments","9.5","8.0","9.5","11.6","11.5"
