"","","","Volume (kg ‘000)","","","","","Value (US$ million)","",""
"Country","","","","","","","","","",""
"","2017","2018","2019","2020","2021 (a)","2017","2018","2019","2020","2021 (a)"
"Middle East Countries","137,256","134,186","137,509","121,528","134,568","681","625","566","526","572"
"Iran","27,419","23,914","22,264","15,127","15,834","160","129","101","75","71"
"Iraq","35,033","38,436","38,408","33,377","42,455","138","138","112","104","137"
"Israel","1,843","1,793","1,988","2,117","1,786","10","10","10","11","9"
"Jordan","4,688","4,719","5,168","4,680","5,224","28","27","26","25","28"
"Kuwait","2,435","2,261","2,260","1,852","1,442","15","14","14","12","9"
"Saudi Arabia","4,416","5,591","6,848","6,804","6,533","27","36","42","47","45"
"Syria","7,400","10,180","10,986","9,537","7,779","41","56","55","45","37"
"Turkey","37,816","35,634","39,087","38,866","29,742","183","163","161","167","128"
"United Arab Emirates","15,785","11,078","9,901","8,670","23,149","76","48","40","38","104"
"Other","421","580","599","497","625","3","4","4","3","4"
"CIS Countries","52,897","47,547","47,915","47,220","45,047","279","244","226","222","198"
"Azerbaijan","12,271","10,551","11,721","10,303","10,591","63","52","53","51","47"
"Russia","33,380","30,581","29,068","29,608","27,357","174","154","134","132","115"
"Ukraine","4,096","3,675","4,134","4,557","4,281","24","21","23","24","21"
"Other","3,149","2,740","2,992","2,752","2,819","19","16","17","15","15"
"European Union (b)","23,751","23,995","24,337","23,007(c)","23,429","154","152","151","142","144"
"Belgium","2,632","3,510","2,212","2,238","3,533","12","15","9","9","14"
"France","769","852","768","632","805","6","6","5","5","6"
"Germany","6,809","6,043","7,424","6,431","6,403","37","31","35","32","33"
"Ireland, Republic of","1,947","2,166","2,263","2,223","2,426","16","17","19","18","21"
"Italy","907","1,404","1,003","1,127","1,031","5","6","4","4","5"
"Netherlands","2,911","3,145","3,342","2,896","2,563","22","24","25","22","21"
"Poland","2,584","2,409","2,604","2,978","3,349","18","17","19","20","23"
"United Kingdom (b)","1,527","1,294","1,280","1,216","","14","13","13","10",""
"Other","3,666","3,173","3,440","3,266(c)","3,319","25","22","22","21","21"
"Other Countries","75,081","76,636","82,896","73,813","82,971","415","408","404","351","410"
"Australia","2,829","2,300","2,994","1,796","2,253","28","23","28","16","22"
"Canada","666","572","639","637","716","5","4","4","4","5"
"Chile","7,097","7,540","7,231","9,419","8,835","32","31","26","36","36"
"China","9,903","10,020","11,870","14,123","14,117","49","47","50","57","60"
"Egypt","1,360","2,025","2,172","2,477","2,425","6","10","9","11","11"
"Hong Kong","4,981","4,873","4,847","3,763","4,503","24","24","20","15","19"
"Japan","7,924","7,416","7,538","5,612","6,595","45","43","41","30","37"
"Lebanon","4,128","3,573","2,825","2,574","2,832","25","21","16","14","14"
"Libya","11,609","13,686","12,329","7,806","12,340","52","56","46","29","46"
"New Zealand","1,055","879","956","1,015","1,117","9","8","8","9","10"
"South Africa","1,759","1,724","1,573","1,706","1,313","9","8","6","7","5"
"Taiwan","4,317","4,477","4,670","4,504","4,893","19","19","19","20","20"
"United Kingdom (b)","","","","","1,117","","","","","9"
"United States of America","4,840","5,561","7,114","5,707","5,975","33","36","40","32","36"
"Other","12,611","11,988","16,136","12,673","13,938","79","78","91","71","81"
"Total","288,984","282,364","292,657","265,570","286,016","1,530","1,428","1,346","1,241","1,324"
