"","","","Labour Force Trends (a)","","","","",""
"","","","","","","2021 (b)","",""
"Item","2018","2019","2020","","","","",""
"","","","","1st Quarter","2nd Quarter","3rd Quarter","4th Quarter","Annual (c)"
"Household Population, ‘000","16,196","16,424","16,739","17,025","17,092","17,158","17,260","17,134"
"Labour Force, ‘000","8,388","8,592","8,467","8,673","8,515","8,487","8,538","8,553"
"Employed","8,015","8,181","7,999","8,181","8,082","8,044","8,146","8,114"
"Unemployed","373","411","468","492","432","444","392","440"
"Labour Force Participation Rate","","","","","","","",""
"( % of Household Population)","51.8","52.3","50.6","50.9","49.8","49.5","49.5","49.9"
"Male","73.0","73.0","71.9","71.7","71.1","71.0","70.2","71.0"
"Female","33.6","34.5","32.0(d)","33.4","30.9","30.9","32.0","31.8"
"Employment Status (%)","","","","","","","",""
"Public Sector Employees","14.5","14.9","14.8","15.7","15.6","14.9","14.8","15.2"
"Private Sector Employees","43.4","43.0","42.7","42.3","41.4","42.2","42.3","42.0"
"Employers","2.8","2.6","2.5","2.7","2.7","2.7","2.9","2.7"
"Own Account Workers","32.3","32.5","33.2","33.2","33.1","33.2","33.9","33.4"
"Unpaid Family Workers","7.2","7.0","6.8","6.1","7.3","7.0","6.2","6.6"
"Total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Unemployment, % of Labour Force","","","","","","","",""
"By Gender","","","","","","","",""
"Male","3.0","3.3","4.0","3.9","3.8","3.7","3.3","3.7"
"Female","7.1","7.4","8.5(d)","8.9","7.7","8.2","7.0","7.9"
"By Level of Education","","","","","","","",""
"Grade 5 and below","...","...","...","...","...","...","...","..."
"Grade 6-10","2.9","3.3","4.0","3.8","3.2","3.3","3.4","3.4"
"GCE(O/L)","5.2","6.5","7.2","7.4","7.2","7.6","6.3","7.1"
"GCE(A/L) and above","9.1","8.5","9.8","10.1","9.1","9.6","7.6","9.1"
"By Age Group","","","","","","","",""
"15 - 19 years","26.5","26.0","31.7(d)","25.0","29.0","22.3","24.4","25.2"
"20 - 29 years","15.0","15.3","18.1","20.3","18.2","18.3","16.3","18.3"
"30 - 39 years","3.0","3.1","3.5","4.5","3.7","3.8","3.1","3.8"
"40 years and above","0.7","1.2","1.1(d)","0.8","0.9","1.2","1.0","1.0"
"Youth Unemployment (age 15-24 years)","21.4","21.5","26.5","28.1","30.0","24.2","23.8","26.5"
"Overall Unemployment Rate","4.4","4.8","5.5","5.7","5.1","5.2","4.6","5.1"
"(a) Household population aged 15 years and above","","","","","","","Source: Department of Census and Statistics",""
