"Period","Desiccated
Coconut","Coconut Oil","","Total Million 
Nuts (b)","Desiccated
Coconut","Coconut Oil","","Non Kernel
Products","","","Desiccated
Coconut","Coconut Oil","","Desiccated
Coconut","Coconut Oil","","Desiccated
Coconut","Coconut Oil","Copra (d)","Philippine 
Copra (US$/","Sri Lanka 
Desiccated  
Coconut 
(US$/kg)"
"2017","37,030","20,126","Copra
501","466","14,344","14,406","Copra
171","24,116","Total
53,037","Total
348","387.35","715.78","Copra
 342.28","2.54","4.69","Copra
 2.24","440.55","376.60","219.07","kg) (e )
 0.82","3.05"
"2018","26,630","16,613","629","355","11,473","12,548","242","26,202","50,465","311","430.84","755.32","383.98","2.64","4.66","2.31","378.22","364.59","215.48","0.61","2.59"
"2019","67,819","16,400","3,915","768","16,976","10,875","928","30,073","58,852","330","250.31","663.14","236.98","1.40","3.71","1.32","251.03","310.09","158.19","0.47","1.55"
"2020","43,043","19,764","1,082","574","15,342","14,582","296","33,753","63,974","345","356.43","737.83","274.06","1.92","3.98","1.50","447.56 (f)","447.93 (f)","230.00","0.64","2.45"
"2021 (g)","48,490","18,785","828","613","22,715","17,064","271","44,625","84,674","425","468.44","908.38","326.74","2.35","4.56","1.63","537.25","601.13","-","1.02","n.a."
"2019      1st    Quarter","15,339","3,990","952","177","4,299","3,044","237","8,195","15,776","88","280.30","763.01","249.30","1.56","4.25","1.39","260.19","323.34","167.18","0.43","1.61"
"2nd   Quarter","15,760","4,114","802","181","4,260","2,761","183","7,822","15,026","85","270.31","671.14","227.92","1.54","3.81","1.29","239.06","308.28","156.46","0.40","1.56"
"3rd   Quarter","19,702","4,042","745","214","4,530","2,463","167","8,030","15,191","85","229.95","609.37","224.67","1.29","3.42","1.26","221.51","290.99","138.53","0.45","1.30"
"4th    Quarter","17,018","4,255","1,415","196","3,886","2,607","340","6,026","12,859","71","228.34","612.83","240.29","1.26","3.39","1.33","283.39","317.76","176.00","0.58","1.72"
"2020  
   1st    Quarter","11,794","3,208","902","140","3,503","2,199","230","6,919","12,852","70","297.01","685.33","255.30","1.63","3.76","1.40","389.19","393.04","230.00(f)","0.54","2.28"
"2nd   Quarter","8,198","4,208","53","113","3,112","2,997","17","8,230","14,357","76","379.65","712.39","318.94","2.02","3.79","1.67","415.17","496.73","-","0.54","2.17"
"3rd   Quarter","13,426","7,134","66","187","4,988","5,273","25","10,189","20,474","110","371.48","739.09","384.17","2.00","3.99","2.07","439.26","450.23","-","0.62","2.31"
"4th    Quarter","9,624","5,214","61","135","3,739","4,114","24","8,415","16,291","88","388.45","788.94","393.51","2.09","4.26","2.13","535.81","467.99","-","0.87","3.03"
"2021 (g)  1st    Quarter","10,553","3,835","23","130","4,422","3,555","13","10,732","18,721","96","418.98","927.06","549.86","2.15","4.76","2.82","567.83","511.80","-","0.91","n.a."
"2nd   Quarter","9,857","4,402","42","129","5,095","3,983","18","10,802","19,898","100","516.84","904.76","428.54","2.60","4.54","2.16","552.54","694.67","-","1.02","n.a."
"3rd   Quarter","13,980","4,929","637","174","6,457","4,627","200","12,101","23,385","116","461.91","938.57","314.15","2.30","4.68","1.56","513.14","598.51","-","0.96","n.a."
"4th    Quarter","14,100","5,618","126","179","6,741","4,899","40","10,990","22,670","113","478.10","871.98","316.12","2.37","4.33","1.57","515.50","599.56","-","1.19","n.a."
"2020  
   January","3,964","1,279","515","50","1,097","845","130","2,382","4,454","25","276.82","660.51","252.35","1.53","3.64","1.39","376.67","373.57","230.33(f)","0.56","2.33"
"February","4,653","1,082","272","53","1,392","792","70","2,497","4,751","26","299.13","732.30","256.94","1.65","4.03","1.42","399.79","405.56","229.67","0.51","2.33"
"March","3,177","847","116","37","1,014","562","31","2,041","3,647","20","319.10","662.81","264.57","1.72","3.58","1.43","391.11","400.00","-","0.54","2.17"
"April","1,810","780","32","24","688","527","9","1,534","2,758","14","380.16","675.33","293.14","1.97","3.50","1.52","-","-","-","0.51","2.16"
"May","2,653","1,571","21","38","1,013","1,103","6","3,110","5,233","28","382.02","702.36","281.66","2.03","3.74","1.50","415.00","492.21","-","0.55","2.16"
"June","3,735","1,857","...","51","1,411","1,368","2","3,586","6,366","34","377.72","736.43","-","2.03","3.96","-","415.34","501.25","-","0.55","2.20"
"July","5,139","2,366","44","68","1,834","1,740","15","3,994","7,583","41","356.83","735.57","341.77","1.92","3.96","1.84","406.09","461.74","-","0.57","2.25"
"August","3,982","2,319","-","57","1,468","1,681","-","3,124","6,273","34","368.54","724.93","-","1.99","3.92","-","446.21","440.97","-","0.64","2.24"
"September","4,306","2,449","22","61","1,687","1,851","10","3,071","6,619","36","391.69","755.91","467.35","2.12","4.09","2.53","465.49","447.98","-","0.66","2.43"
"October","3,771","2,054","29","53","1,334","1,572","10","3,079","5,995","33","353.71","765.29","361.50","1.92","4.15","1.96","476.22","445.28","-","0.74","2.72"
"November","2,972","1,773","22","43","1,188","1,355","9","2,732","5,285","29","399.58","764.49","426.24","2.16","4.14","2.31","549.50","470.60","-","0.94","3.00"
"December","2,882","1,387","10","39","1,217","1,186","4","2,604","5,011","27","422.42","855.22","413.91","2.26","4.57","2.21","581.73","488.10","-","0.93","3.37"
"2021 (g)  January","2,382","865","1","29","992","804","1","2,805","4,602","24","416.32","929.49","-","2.19","4.88","-","578.79","505.39","-","0.88","n.a."
"February","3,617","1,261","11","44","1,431","1,113","5","3,448","5,998","31","395.68","882.60","475.89","2.04","4.55","2.45","612.02","516.25","-","0.95","n.a."
"March","4,553","1,709","11","57","1,998","1,638","6","4,479","8,122","41","438.89","958.63","583.55","2.23","4.87","2.96","512.68","513.75","-","0.91","n.a."
"April","2,591","1,125","21","34","1,448","1,035","7","2,905","5,395","27","558.84","919.54","340.43","2.83","4.66","1.72","534.75","652.67","-","1.01","n.a."
"May","3,268","1,376","10","42","1,809","1,314","5","3,668","6,796","34","553.52","954.61","515.82","2.77","4.78","2.58","572.58","741.09","-","1.05","n.a."
"June","3,998","1,901","11","53","1,838","1,635","6","4,229","7,707","39","459.63","859.92","517.37","2.30","4.30","2.59","550.30","690.24","-","1.00","n.a."
"July","4,479","1,705","11","56","2,175","1,695","5","4,246","8,121","41","485.57","994.18","486.95","2.43","4.97","2.44","507.56","615.63","-","0.97","n.a."
"August","4,647","1,700","283","59","2,273","1,546","94","4,122","8,034","40","489.09","909.26","331.13","2.44","4.54","1.65","512.44","591.82","-","0.89","n.a."
"September","4,854","1,524","343","59","2,010","1,386","101","3,733","7,229","36","414.05","909.05","294.58","2.05","4.50","1.46","519.40","588.10","-","1.03","n.a."
"October","5,487","1,793","85","66","2,528","1,478","28","4,080","8,113","40","460.71","823.90","327.84","2.29","4.10","1.63","500.20","576.05","-","1.27","n.a."
"November","4,472","2,266","10","61","2,242","2,032","3","3,960","8,236","41","501.35","896.73","259.21","2.48","4.44","1.28","534.88","613.50","-","1.10","n.a."
"December","4,142","1,559","32","52","1,972","1,390","10","2,950","6,321","31","476.05","891.32","303.48","2.36","4.43","1.51","511.41","609.13","-","1.20","n.a."
"","(a)  Prices in rupee terms also include the impact of exchange rate movements.","","","","","","","","","","","","","","","","","Sources:   Coconut Development Authority","","",""
