"","","","","","Rs. million"
"Item","2017","2018","2019 (b)","2020 (b)(c)","2021 (c)"
"1.  Consumption Expenditure","10,079,907","11,086,732","11,971,144","12,214,284","13,425,152"
"1.1   Private","8,942,501","9,776,077","10,558,212","10,661,955","11,814,865"
"1.2   Government","1,137,406","1,310,655","1,412,932","1,552,329","1,610,287"
"2.  Gross Domestic Capital Formation","4,210,997","4,266,053","3,945,423","3,779,064","4,655,829"
"3.  Gross Domestic Expenditure (1+2)","14,290,904","15,352,785","15,916,567","15,993,349","18,080,981"
"4. 
Export of Goods and Services","2,909,720","3,292,414","3,472,337","2,418,541","2,981,613"
"5. 
Import of Goods and Services","3,872,521","4,354,292","4,391,746","3,384,516","4,253,285"
"6.  Gross Domestic Product (3+4-5)","13,328,103","14,290,907","14,997,157","15,027,374","16,809,309"
"7.  Net Primary Income from Rest of the World","-352,856","-389,601","-441,394","-423,063","-406,605"
"8.  Gross National Income (6+7)","12,975,247","13,901,306","14,555,763","14,604,312","16,402,705"
"(a) Based on the GDP estimates (base year 2010)","","","","Sources:  Department of Census and Statistics",""
