"","","","","","","","","","","","","","","","","","","","","","Per cent per annum","",""
"","","Central Bank of","","","","","","","","","","","","Commercial Banks’ Rates on Advances","","","","","","","","",""
"","","","","","","Commercial Banks’ Deposit Rates","","","","","","","","","","","","","","","","",""
"","","Sri Lanka","","","","","","","","","","","Loans and Overdrafts","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","Over-","","Interbank Call",""
"End","","Standing","","","","","","","","","","","","","Bills","","","","","","","",""
"","Bank","","Standing","","Fixed Deposits","","","","","","","Secured by","","","","","","","","","","Money",""
"","","","","","","","","","","","","","","","","","","","","night","","",""
"of","Rate","Deposit","Lending","","","Saving","","","","","","","","","Purchased","","","","","","","",""
"","","","","","","","","","","","","","","Unsecured","","","AWPR (h)","AWLR (i)","AWNLR (j)","SLI-","","Market Rate",""
"","(b)","Facility","Facility","","","Deposits","AWDR (d)","AWFDR (e)","AWNDR (f)","AWNFDR (g)
Stock in","","Immovable","","","and","","","","","","","",""
"Period","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","3-month","6-month
1-year
2-year","","","","","","","","Others","","","","","","","BOR","","",""
"","","Rate","Rate","","","","","","","Trade","","Property","","","Discounted","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","(k)","","","Average"
"","","","","","","","","","","","","","","","","","","","","","Max. Min.","",""
"","","(c)","(c)","","Max. Min. Max. Min. Max. Min. Max. Min. Max. Min.","","","","","Max.","Min.","Max. Min. Max. Min. Max. Min. Max.","","","","Min.","","","","","","","Weighted"
"2017","15.00","7.25","8.75","12.75 4.00","13.50 4.00 15.00 4.89 13.00 5.13","9.50 0.50","9.07","11.48","10.06","10.65 28.00","5.25 30.00","4.00","30.00 1.00","36.87 4.07","27.00","6.00","11.33","13.88","14.31","8.15","8.25","8.10","8.15"
"2018","15.00","8.00","9.00","13.80 4.00","14.00 4.50 15.00 4.53 13.50 5.40","8.50 0.50","8.81","10.85","10.94","11.27 28.00","7.93 28.00","4.00","28.00 1.00","29.00 3.50","27.00","6.00","11.94","14.40","14.54","9.00","9.00","8.90","8.95"
"2019","15.00","7.00","8.00","11.75 2.50","12.00 3.05 15.00 3.55 12.63 5.30","7.50 0.20","8.20","10.05","8.89","9.17 28.00","4.47 28.00","4.00","28.00 1.00","28.00 6.75","24.00","6.00","10.00","13.59","12.80","7.51","7.55","7.40","7.45"
"2020","8.50","4.50","5.50","8.33 0.15","11.30 0.20 15.00 0.25 12.50 3.00","7.00 0.10","5.80","7.14","4.93","5.08 28.00","3.95 28.00","4.00","28.00 1.00","28.00 4.00","17.42","2.90","5.74","10.29","8.38","","4.55","4.53","4.55"
"2021","9.00","5.00","6.00","8.25 0.08","8.00 0.01 15.00 0.15 10.83 0.15","6.35 0.05","4.94","5.94","6.45","6.67 28.00","4.00 28.00","3.02","28.00 1.00","28.00 3.03","18.00","3.14","8.33","9.87","9.48","","6.00","5.88","5.95"
"2020 January","15.00","6.50","7.50","11.50 2.40","11.30 2.85 15.00 3.20 12.63 5.30","7.50 0.20","8.14","9.97","9.34","9.57 28.00","4.47 28.00","4.00","28.00 1.00","28.00 7.70","24.00","6.00","9.68","13.47","12.53","7.00","7.05","6.95","6.98"
"February","15.00","6.50","7.50","11.50 2.30","11.30 3.00 15.00 3.50 12.50 5.30","8.25 0.25","8.06","9.83","8.55","8.82 28.00","7.59 28.00","4.00","28.00 1.00","28.00 7.25","24.00","6.00","9.51","13.36","12.54","6.97","7.00","6.90","6.95"
"March","15.00","6.25","7.25","11.50 0.30","11.30 0.50 15.00 0.95 12.50 5.30","7.50 0.20","7.90","9.65","8.22","8.44 28.00","7.37 28.00","4.00","28.00 1.00","28.00 6.92","24.00","6.00","9.35","13.22","12.19","6.75","6.75","6.75","6.75"
"April","10.00","6.00","7.00","11.50 2.05","11.30 2.40 15.00 3.00 12.50 5.30","7.50 0.20","7.77","9.51","7.83","7.88 28.00","7.31 28.00","4.00","28.00 1.00","28.00 6.50","24.00","6.00","9.38","13.08","11.67","6.47","6.45","6.40","6.40"
"May","9.50","5.50","6.50","11.50 2.00","11.30 2.25 15.00 2.50 12.50 5.30","7.50 0.20","7.57","9.26","7.83","7.96 28.00","4.00 28.00","4.00","28.00 1.00","28.00 6.92","24.00","6.00","9.28","12.96","11.68","5.90","5.85","5.80","5.84"
"June","9.50","5.50","6.50","11.50 1.80","11.30 1.85 15.00 2.00 12.50 5.30","7.00 0.25","7.38","9.00","7.20","7.37 28.00","4.00 28.00","5.00","28.00 1.00","28.00 3.67","20.00","6.00","8.78","12.64","11.18","5.53","5.60","5.50","5.52"
"July","8.50","4.50","5.50","11.50 0.32","11.30 1.25 15.00 1.60 12.50 4.35","7.00 0.20","7.16","8.69","5.78","5.96 28.00","6.11 28.00","4.00","28.00 1.00","28.00 4.00","20.00","6.00","7.79","12.29","9.85","","4.55","4.53","4.53"
"August","8.50","4.50","5.50","11.25 0.32","11.30 1.25 15.00 2.00 12.50 4.35","7.00 0.20","6.74","8.26","5.49","5.66 28.00","4.00 28.00","4.00","28.00 1.00","28.00 4.00","20.00","6.00","7.01","11.84","9.12","","4.53","4.53","4.53"
"September","8.50","4.50","5.50","11.25 0.15","11.30 0.20 15.00 0.25 12.50 3.00","7.00 0.10","6.44","7.90","5.31","5.46 28.00","4.00 28.00","4.00","28.00 1.00","28.00 4.00","16.00","5.72","6.42","11.21","8.82","","4.55","4.52","4.53"
"October","8.50","4.50","5.50","11.25 0.15","11.30 0.20 15.00 0.25 12.50 3.00","7.00 0.10","6.23","7.59","5.10","5.25 28.00","4.00 28.00","4.00","28.00 1.00","28.00 4.00","16.00","5.72","6.10","10.82","8.73","","4.55","4.52","4.53"
"November","8.50","4.50","5.50","11.25 0.15","11.30 0.20 15.00 0.25 12.50 3.00","7.00 0.10","6.01","7.37","4.96","5.07 28.00","4.00 28.00","4.00","28.00 1.00","28.00 4.00","17.45","4.05","5.95","10.55","8.71","","4.55","4.53","4.54"
