"","","","","Clothing and","","Equipment and","","","","Recreation","","Restaurants",""
"Period (b)","All Items","Alcoholic","Beverages and","","Electricity,","","Health","Transport","Communication","","Education","","Goods and"
"","","","","Footwear","","Routine","","","","and Culture","","and Hotels",""
"","","Beverages","Tobacco","","Gas and","","","","","","","","Services"
"","","","","","","Household","","","","","","",""
"","","","","","Other Fuels","","","","","","","",""
"","","","","","","Maintenance","","","","","","",""
"Base Weights","100.0","44.0","2.3","3.4","18.0","3.3","4.1","9.8","2.3","1.6","2.8","3.9","4.5"
"2018","125.2","126.8","183.4","122.8","117.3","124.0","151.3","112.0","119.7","115.7","127.0","114.6","133.8"
"2019","129.6","127.6","200.6","128.6","126.7","129.3","162.3","116.4","110.3","123.3","137.1","119.1","141.5"
"2020","137.6","143.1","214.4","132.2","127.7","130.6","162.2","119.3","98.9","124.9","143.7","122.0","144.2"
"2021","147.2","159.2","220.4","137.7","129.1","138.7","169.3","127.9","98.9","126.4","144.6","131.9","148.3"
"2019
1st   Quarter","126.8","123.4","192.9","126.4","126.5","127.8","160.6","113.7","111.3","120.6","134.3","118.2","138.5"
"2nd  Quarter","128.4","124.6","204.1","128.3","126.6","129.1","162.6","116.7","111.3","122.4","137.0","118.9","142.0"
"3rd  Quarter","129.9","127.4","202.3","129.3","126.9","129.8","163.4","117.8","111.3","125.0","137.8","119.7","142.5"
"4th   Quarter","133.3","135.1","202.9","130.4","126.7","130.3","162.6","117.6","107.2","125.1","139.3","119.7","142.9"
"2020
1st   Quarter","136.4","141.5","208.5","131.2","127.8","130.3","162.9","117.8","98.9","125.1","143.7","120.2","142.9"
"2nd  Quarter","135.8","139.9","206.8","131.6","127.7","130.4","163.6","118.3","98.9","124.7","143.7","120.4","143.9"
"3rd  Quarter","138.0","143.8","219.6","132.8","127.6","130.7","162.0","119.0","98.9","124.7","143.7","123.4","144.4"
"4th   Quarter","140.0","147.4","222.8","133.4","127.7","131.0","160.4","122.1","98.9","125.1","143.6","123.9","145.6"
"2021
1st   Quarter","142.3","151.6","215.0","134.6","127.9","133.8","163.6","124.8","98.9","125.1","143.9","124.8","145.9"
"2nd  Quarter","143.8","153.8","215.8","136.3","128.1","135.7","166.6","126.3","98.9","125.1","143.9","126.5","146.5"
"3rd  Quarter","147.1","159.2","220.0","137.5","128.3","138.3","170.2","129.6","98.9","126.6","144.3","128.6","147.3"
"4th   Quarter","155.6","172.1","230.8","142.3","132.3","146.9","176.7","131.1","98.9","129.0","146.1","147.7","153.5"
"2020
January","137.0","143.0","206.3","130.9","127.8","130.2","162.6","117.7","98.9","125.0","143.7","120.2","142.8"
"February","137.0","142.9","208.0","131.2","127.8","130.3","162.6","117.8","98.9","125.1","143.7","120.2","142.9"
"March","135.2","138.5","211.1","131.4","127.8","130.3","163.5","117.9","98.9","125.1","143.7","120.2","142.9"
"April","134.8","137.5","211.1","131.4","127.8","130.3","163.5","117.9","98.9","125.1","143.7","120.2","142.9"
"May","135.4","139.0","204.9","131.4","127.8","130.4","163.5","118.3","98.9","124.6","143.7","120.2","144.5"
"June","137.3","143.2","204.3","132.0","127.6","130.6","163.9","118.7","98.9","124.3","143.7","120.9","144.4"
"July","137.3","142.8","207.1","132.3","127.6","130.5","165.4","118.7","98.9","124.3","143.7","122.9","143.9"
"August","137.8","143.5","221.4","133.0","127.6","130.8","160.3","118.7","98.9","124.8","143.7","123.7","144.4"
"September","138.9","145.1","230.4","133.1","127.6","130.9","160.3","119.6","98.9","125.1","143.6","123.7","144.9"
"October","139.1","145.6","228.1","133.2","127.7","131.3","160.3","119.6","98.9","125.1","143.6","123.9","145.6"
"November","139.8","146.7","223.4","133.4","127.7","130.9","160.3","122.6","98.9","125.1","143.6","123.9","145.6"
"December","141.2","149.9","216.9","133.5","127.7","130.8","160.7","124.0","98.9","125.1","143.6","123.9","145.6"
"2021
January","142.1","151.4","214.5","133.9","127.9","132.8","163.6","124.3","98.9","125.1","143.9","123.9","145.8"
"February","142.8","152.8","214.6","134.4","127.9","134.1","163.6","124.9","98.9","125.1","143.9","123.9","145.9"
"March","142.1","150.7","216.0","135.4","127.9","134.5","163.6","125.2","98.9","125.1","143.9","126.5","146.0"
"April","142.2","150.8","216.0","136.2","127.9","135.0","163.6","125.5","98.9","125.1","143.9","126.5","146.5"
"May","143.6","153.3","215.8","136.4","128.2","136.0","167.2","125.5","98.9","125.1","143.9","126.5","146.5"
"June","145.7","157.3","215.7","136.4","128.3","136.0","169.1","127.9","98.9","125.1","143.9","126.5","146.5"
"July","146.6","158.5","217.5","137.2","128.3","137.0","169.2","129.6","98.9","126.6","143.9","127.9","147.2"
"August","147.1","159.4","220.3","137.7","128.2","137.7","170.1","129.6","98.9","126.6","143.9","128.7","147.3"
"September","147.5","159.6","222.3","137.7","128.3","140.3","171.3","129.6","98.9","126.6","145.2","129.1","147.4"
"October","150.6","162.6","223.1","140.3","131.7","144.4","176.7","130.1","98.9","128.8","146.1","139.6","152.5"
"November","155.3","171.5","229.8","141.5","132.4","146.6","176.7","131.0","98.9","128.8","146.1","147.2","153.2"
"December","161.0","182.1","239.6","145.0","132.7","149.8","176.7","132.1","98.9","129.3","146.1","156.3","154.9"
"","","","","","","","","","","","","Source: Department of Census and Statistics",""
"","(a) The Index was based on the Household Income and Expenditure Survey conducted in 2012/13. The weights are based on","","","","","","","","","","","",""
