"","","","","","Rs. million"
"Item","2017","2018","2019 (b)","2020 (b)(c)","2021 (c)"
"1.   Gross Domestic Product","13,328,103","14,290,907","14,997,157","15,027,374","16,809,309"
"2.   Investment","4,210,997","4,266,053","3,945,423","3,779,064","4,655,829"
"3.   Private Savings","3,344,359","3,373,915","3,559,697","3,993,489","4,674,599"
"4.   Government Savings","-96,162","-169,740","-533,683","-1,180,399","-1,290,441"
"5.   Domestic Savings (3+4)","3,248,197","3,204,175","3,026,014","2,813,090","3,384,158"
"6.   Net Primary Income from Rest of the World","-352,856","-389,601","-441,394","-423,063","-406,605"
"7.   Net Current Transfers from Rest of the World","964,316","999,504","1,030,690","1,150,789","1,030,321(d)"
"8.   National Savings (5+6+7)","3,859,656","3,814,078","3,615,310","3,540,816","4,007,874"
"9.   Investment Ratio (2 as a % of 1)","31.6","29.9","26.3","25.1","27.7"
"10. Domestic Savings Ratio (5 as a % of 1)","24.4","22.4","20.2","18.7","20.1"
"11. National Savings Ratio (8 as a % of 1)","29.0","26.7","24.1","23.6","23.8"
"(a)  Based on the GDP estimates (base year 2010)","","","","Sources:  Department of Census and Statistics",""
