"Item","Unit","","Effective Date","Item 
Unit","Effective Date"
"","","Price (Rs.)","","Price (Rs.)",""
"","","","","Minimum Bus Fare 
 17.00","05.01.2022"
"Milk Powder","","","","",""
"","","","","20.00","15.03.2022"
"Imported","","","","",""
"","","","","27.00","20.04.2022"
"Anchor","400g","790.00","19.03.2022","",""
"","","","","32.00","25.05.2022"
"","400g","1,020.00","05.04.2022","40.00","01.07.2022"
"","400g","1,160.00","16.06.2022","38.00","20.07.2022"
"","400g","1,240.00","05.10.2022","34.00","05.08.2022"
"","","","","Minimum Train Fare
 20.00","25.07.2022"
"Local","","","","",""
"","","","","Electricity – Fixed Charge",""
"Highland","400g","495.00","10.03.2022","",""
"","","","","< 60 units
0-30
 120.00","10.08.2022"
"","400g","625.00","12.04.2022","",""
"","","","","31-60
 240.00","10.08.2022"
"","400g","850.00","23.06.2022","",""
"","","","","> 60 units
0-60
-","10.08.2022"
"","400g","950.00","05.10.2022","",""
"","","","","61-90
 360.00","10.08.2022"
"LPG","","","","",""
"","","","","91-120
 960.00","10.08.2022"
"Litro Gas Lanka Ltd.","12.5kg","4,860.00","27.04.2022","121-180
 960.00","10.08.2022"
"","12.5kg","4,910.00","11.07.2022","Above",""
"","","","","1,500.00","10.08.2022"
"","","","","180",""
"","12.5kg","4,664.00","09.08.2022","",""
"","","","","Electricity – Unit Charge",""
"","12.5kg","4,551.00","06.09.2022","",""
"","","","","< 60 units
0-30
 8.00","10.08.2022"
"","12.5kg","4,280.00","06.10.2022","",""
"","","","","31-60
 10.00","10.08.2022"
"","12.5kg","4,360.00","06.11.2022","",""
"","","","","> 60 units
0-60
 16.00","10.08.2022"
"","12.5kg","4,610.00","06.12.2022","",""
"","","","","61-90
 16.00","10.08.2022"
"Laugfs Gas PLC","12.5kg","4,199.00","20.03.2022","",""
"","","","","91-120
 50.00","10.08.2022"
"","12.5kg","6,850.00","05.06.2022","",""
"","","","","121-180
 50.00","10.08.2022"
"","12.5kg","5,800.00","18.08.2022","",""
"","","","","Above",""
"","","","","75.00","10.08.2022"
"","12.5kg","5,300.00","11.10.2022","180",""
"Fuel","","","","Water - Domestic",""
"Petrol (92 Octane)","","","","Unit Charge
0-5
 20.00","01.09.2022"
"","","","","6-10
 27.00","01.09.2022"
"LIOC","1l","184.00","07.02.2022","",""
"","","","","11-15
 34.00","01.09.2022"
"LIOC","1l","204.00","26.02.2022","",""
"","","","","16-20
 68.00","01.09.2022"
"LIOC","1l","254.00","11.03.2022","",""
"","","","","21-25
 99.00","01.09.2022"
"CPC","1l","254.00","12.03.2022","",""
"","","","","26-30
 150.00","01.09.2022"
"LIOC","1l","303.00","26.03.2022","",""
"","","","","31-40
 179.00","01.09.2022"
"CPC and LIOC","1l","338.00","18.04.2022","",""
"","","","","41-50
 204.00","01.09.2022"
"CPC and LIOC","1l","420.00","24.05.2022","",""
"","","","","51-75
 221.00","01.09.2022"
"CPC and LIOC","1l","470.00","26.06.2022","Above 75
 238.00","01.09.2022"
"CPC and LIOC","1l","450.00","17.07.2022","Sources: Consumer Affairs Authority",""
"","","","","","National Transport Commission"
"CPC and LIOC","1l","410.00","02.10.2022","Ceylon Electricity Board",""
"","","","","","National Water Supply and Drainage Board"
"CPC and LIOC","1l","370.00","17.10.2022","",""
"","","","","","Central Bank of Sri Lanka"
"Auto Diesel","","","","",""
"LIOC","1l","124.00","07.02.2022","",""
"","","","","the  prices  of 
imported 
food 
items","towards 
the"
"LIOC","1l","139.00","26.02.2022","",""
"","","","","latter  part  of  2022.  However, 
the","imposition  of"
"LIOC","1l","214.00","11.03.2022","",""
"","","","","",""
"CPC","1l","176.00","12.03.2022","","the  social  security  contribution  levy  (SSCL)  w.e.f."
"CPC and LIOC","1l","289.00","18.04.2022","",""
"","","","","","01  October  2022  induced  some  upward  pressure"
"CPC and LIOC","1l","400.00","24.05.2022","",""
"CPC and LIOC","1l","460.00","26.06.2022","","on prices of items in the Food category towards the"
"CPC and LIOC","1l","440.00","17.07.2022","",""
"","","","","end of the year.",""
"CPC and LIOC","1l","430.00","01.08.2022","",""
"CPC and LIOC","1l","415.00","17.10.2022","",""
"","","","","Prices 
of 
Non-food 
items","exhibited 
a"
"CPC and LIOC","1l","430.00","13.11.2022","",""
"CPC and LIOC","1l","420.00","06.12.2022","","significant  upturn  during  2022  mainly  due  to"
"Kerosene","","","","",""
"","","","","","adverse conditions such as severe depreciation"
"CPC","1l","340.00","22.08.2022","",""
"CPC","1l","365.00","13.11.2022","of 
the  exchange 
rate  and","the  shortage 
in"
"","","","(Contd.)","",""
"","","","","","foreign currency, arisen as a result of internal"
