"Sri Lankan Citizen (residing outside 
Sri Lanka/PR holders/TR holders)
Sri  Lankan  Dual  Citizens  (residing 
in  SL),  Sri  Lankan  Dual  Citizens 
(residing outside Sri Lanka)","","National Identity Card (NIC) 
Number","","","Sri  Lankan  Passport  Number  can  be  used  only 
when NIC has been temporarily surrendered by a 
depositor.",""
"Non-Sri Lankan Citizens","","Foreign Passport Number","","","Including  Foreign  Nationals  of  Sri  Lankan  origin 
(residing outside Sri Lanka), Foreign Nationals on 
Lanka, Foreign Diplomats.","temporary visit to Sri Lanka or intending to visit Sri"
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"Minor Depositors","","Date of Birth + Birth Certificate 
Number
E.g.:
Date of Birth — 07th Jan-
uary 2005 (2005.01.07)                                                
Birth Certificate Number - 0325
UIN — 200501070325","","","Date  of  birth 
followed  by 
the  Birth  Certificate 
Number  in  the  same  field  to  create  a  12-digit 
number",""
"","","","","","",""
"","","","","","",""
"Institutions","","-","","","-",""
"Companies 
registered  under 
the 
Companies Act","","Company Registration Number","","","-",""
"","","","","","",""
"Non-Governmental Organizations","","Registration Number issued by 
the National Secretariat for Non-
Governmental Organizations","","","-",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"Institutions 
registered 
under 
divisional/local government 
bodies 
such 
as 
Proprietorships/
Partnerships/Joint Ventures, etc.","","Business Registration Number","","","-",""
"","","","","","",""
"All  other  entities 
such  as  clubs, 
associations, societies, etc.","","Registration Number issued by 
the relevant Authorities","","","-",""
