"No.","HS code"
"341","62042290"
"342","62042390"
"343","62042990"
"344","620431"
"345","62043290"
"346","62043390"
"347","62043990"
"348","620441"
"349","62044219"
"350","62044290"
"351","62044390"
"352","62044419"
"353","62044490"
"354","62044990"
"355","62045290"
"356","62045390"
"357","62045990"
"358","620461"
"359","62046219"
"360","62046290"
"361","62046390"
"362","62046919"
"363","62046990"
"364","62052090"
"365","62053090"
"366","62059090"
"367","62061090"
"368","620620"
"369","62063090"
"370","62064019"
"371","62064090"
"372","62069090"
"373","62072290"
"374","62082190"
"375","62082290"
"376","62082990"
"377","62089190"
"378","620920"
"379","620930"
"380","620990"
"381","621010"
"382","621020"
"383","621030"
"384","621040"
