"","","Actual","IT","PC/IT","IT","PC/IT"
"Central government primary balance (floor)","Rs. bn","","","","",""
"","","-895","-56","-113","-160","-209"
"Program net official international reserves","","","","","",""
"","US$ mn","","","","",""
"(Program NIR, floor, end of period stock)","","-3,540","-3,188","-2,830","-2,068","-1,592"
"Net credit to the government of the CBSL","","","","","",""
"","Rs. bn","","","","",""
"(ceiling, end of period stock)","","2,834","2,890","2,890","2,840","2,740"
"Stock of expenditure arrears of the central","","","","","",""
"","Rs. bn","60","30","0","0","0"
"government (ceiling)","","","","","",""
