"increased  risk  aversion  among  participants.  The","Table 1.4","","","",""
"","","Global Economic Developments and Outlook (a)","","",""
"measures  adopted  by  the  Central  Bank  to  limit","","","","",""
"the reliance on standing facilities from early 2023","","2021","2022","2023","2024"
"","Item","","","",""
"","","(b)","(c)","(Proj)","(Proj)"
"helped  activate  the  interbank  call  money  market","","","","",""
"","World Output","6.2","3.4","2.9","3.1"
"and repo market to a large extent. The domestic","Advanced Economies","5.4","2.7","1.2","1.4"
"","United States","5.9","2.0","1.4","1.0"
"foreign  exchange  market  experienced  strained","","","","",""
"","Euro Area","5.3","3.5","0.7","1.6"
"liquidity  conditions  with  a  large  depreciation  of","United Kingdom","7.6","4.1","-0.6","0.9"
"","Japan","2.1","1.4","1.8","0.9"
"the  exchange 
rate  due 
to  BOP  stresses  and","","","","",""
"","Emerging Market and Developing Economies","6.7","3.9","4.0","4.2"
"","","","","",""
"unfavourable  market  sentiments  during  2022,","Emerging Market and Developing Asia","7.4","4.3","5.3","5.2"
"","China","8.4","3.0","5.2","4.5"
"while  improvements  were  witnessed  from  early","","","","",""
"","India","8.7","6.8","6.1","6.8"
"","","","","",""
"2023,  with  measures 
to 
remove  daily  market","World Trade Volume (Goods and Services)  10.4","","5.4","2.4","3.4"
"","Price Movements","","","",""
"guidance  on  the  exchange  rates  and  mandatory","Consumer Prices","","","",""
"","Advanced Economies","3.1","7.3","4.6","2.6"
"sales  requirements  of 
foreign  exchange 
to 
the","","","","",""
"","Emerging Market and Developing Economies","5.9","9.9","8.1","5.5"
"Central  Bank,  along  with 
the  positive  market","Commodity Prices","","","",""
"","Oil","65.8","39.8","-16.2","-7.1"
"sentiments  following  the  finalisation  of  the  IMF-","","","","",""
"","Non Fuel","26.4","7.0","-6.3","-0.4"
"EFF  arrangement.  The  equity  market  recorded","","","","",""
"","(a) Annual percentage change unless","","Source: World Economic Outlook","",""
"","otherwise indicated","","(January 2023), IMF","",""
"a  dismal  performance  during  2022, 
reflecting","","","","",""
"","(b) Revised","","","",""
