"","Category","2017","2018","2019","2020 (a) 2021 (b)",""
"1.  Capital Adequacy (%)","","","","","",""
"1.1","Capital Adequacy Ratio (CAR) (Regulatory Capital to Risk Weighted Assets)","16.4","16.2","17.2","17.1","16.7"
"1.2","Core Capital Ratio (Tier 1) (Core Capital to Risk Weighted Assets)","13.4","13.0","13.7","13.6","13.2"
"1.3","Core Capital to Total Assets","7.9","7.9","8.3","7.5","6.8"
"1.4","Net Non-Performing Loans (Net of Interest in Suspense and Specific","7.5","13.2","18.3","15.5","9.9"
"","Provisions) to Total Capital Funds","","","","",""
"1.5","Borrowings to Capital Funds","169.2","167.0","147.5","137.9","154.6"
"1.6","Capital to Assets Ratio","8.9","9.1","9.5","9.0","9.0"
"1.7","Leverage Ratio","","","6.9","6.4","6.1"
"2.  Assets Quality (%)","","","","","",""
"2.1","Gross Non-Performing Loans (NPL) to Total Gross Loans and Advances (excluding Interest in","2.3","3.3","4.6","4.7","4.3"
"","Suspense)","","","","",""
"2.2","Gross Non-Performing Loans (NPL) to Total Gross Loans and Advances (with Interest in Suspense)","3.7","4.6","6.2","6.5","6.1"
"2.3","Net Non-Performing Loans to Total Net Loans and Advances (Net of IIS and Specific Provisions)","1.0","1.8","2.6","2.2","1.4"
"2.4","Total Provisions Made against Gross Loans and Advances","1.8","2.0","2.5","3.1","3.4"
"2.5","Total Provision Coverage Ratio","77.8","61.1","54.0","64.7","80.4"
"2.6","Specific Provision Coverage Ratio","55.4","45.9","43.8","54.6","67.9"
"2.7","Total Provisions Made against Total Assets","1.2","1.3","1.7","2.0","2.2"
"2.8","Total Loans and Advances (Gross) to Total Assets","64.9","67.3","67.3","64.6","64.5"
"2.9","Total Investments to Total Assets","22.3","20.5","21.7","26.2","26.4"
"2.10 Total Income to Total Assets","","10.5","10.5","10.6","8.7","7.9"
"2.11 Net Interest Income to Total Assets","","3.4","3.4","3.5","2.9","3.1"
"2.12 Non Interest Income to Total Assets","","1.3","1.4","1.2","1.1","1.1"
"3.  Earnings and Profitability (%)","","","","","",""
"3.1","Return on Equity (ROE) - After Tax","17.4","13.7","10.6","11.1","13.8"
"3.2","Return on Assets (ROA) - Before Tax","2.1","1.9","1.5","1.4","1.6"
"3.3","Return on Assets (ROA) - After Tax","1.5","1.2","1.0","1.0","1.2"
"3.4","Interest Income to Total Income","88.0","87.0","89.1","87.9","86.3"
"3.5","Net Interest Income to Total Income","32.0","32.3","32.5","33.0","39.7"
"3.6","Non Interest Income to Total Income","12.0","13.0","10.9","12.1","13.7"
"3.7","Non Interest Expenses (Operating Expenses) to Total Income","19.2","20.4","20.0","19.7","22.2"
"3.8","Personal Expenses to Non Interest Expenses","48.9","45.9","45.8","48.8","47.2"
"3.9","Personal Expenses to Total Income","9.4","9.4","9.2","9.6","10.5"
"3.10 Provisions to Total Income","","2.9","4.4","5.7","8.4","9.6"
"3.11 Efficiency Ratio","","45.2","48.5","51.8","51.7","48.2"
"","3.12 Interest Margin (Net interest income to Average Assets)","3.5","3.7","3.6","3.1","3.3"
"4.  Liquidity (%)","","","","","",""
"4.1","Total Liquid Assets to Total Assets","26.7","24.5","27.1","31.8","27.5"
"4.2","Statutory Liquid Assets Ratio - DBU","27.2","25.0","27.8","34.4","30.9"
"4.3","Statutory Liquid Assets Ratio - OBU","35.5","45.4","47.1","43.2","34.0"
"4.4","Rupee Liquidity Coverage Ratio","161.0","161.8","196.8","244.1","213.1"
"4.5","All Currency Liquidity Coverage Ratio","130.7","130.5","159.0","184.9","159.9"
"4.6","Liquid Assets to Deposits","37.1","34.2","37.6","42.6","37.4"
"4.7","Current & Savings Deposits to Total Deposits","35.4","33.1","32.8","36.3","38.6"
"4.8","Liquid Assets to Short Term Liabilities","39.5","37.9","46.1","51.1","44.0"
"4.9","Deposit to Total Loans & Advances","110.9","106.1","107.1","115.7","114.2"
"4.10 Net Stable Funding Ratio","","","","127.3","133.8","133.2"
"5.  Assets / Funding Structure","","","","","",""
"5.1","Deposits (% of Total Assets)","72.0","71.4","72.0","74.7","73.6"
"5.2","Borrowings (% of Total Assets)","15.0","15.1","14.0","12.4","13.9"
"5.3","Capital Funds (% of Total Assets)","8.9","9.1","9.5","9.0","9.0"
"5.4","Other (% of Total Assets)","4.1","4.4","4.4","3.9","3.6"
"5.5","Credit to Deposits","90.1","94.2","93.4","86.5","87.6"
"5.6","Credit to Deposits and Borrowings","74.6","77.7","78.1","74.2","73.7"
"5.7","Credit to Deposits, Borrowings and Capital","67.7","70.4","70.4","67.3","66.9"
"6.  Financial Infrastructure","","","","","",""
"6.1","No. of Branches (excluding Student Savings Units)","2,855","2,877","2,907","2,915","2,919"
"6.2","No. of ATMs","3,889","4,837","5,393","5,744","5,891"
"(a) Revised","","","","Source: Central Bank of Sri Lanka","",""
