"CENTRAL BANK OF SRI LANKA | ANNUAL REPORT 2021","","",""
"Date","","Item","Revision"
"","","","SCL was increased to Rs. 40 per kg from 25 Cents"
"07.09.2021","B’onions","","per kg for a period of six months (Extraordinary"
"","","","Gazette Notification No. 2244/8)."
"","","","SCL of Rs. 65 per kg was imposed for a period of"
"","","","four  months  (Extraordinary  Gazette  Notification"
"","","","No. 2249/3)."
"","","","The  balance  amount  after  collecting  25  cents"
"","","","per kg from the applicable SCL of Rs. 65 per kg"
"11.10.2021","Rice","",""
"","","","on importation of Rice by Sri Lanka State Trading"
"","","","(General) Corporation, on the recommendation"
"","","","of 
the 
Secretary  of 
the  Ministry  of 
Trade,"
